,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
3696,4.228260869565217,2169.0,0.9130434782608695,1864.0,2361.0,-1.1739130434782608,28544.921875,710.0,81899.99999999984,154.02439024390245,-5052.0,3.0,3.0,10555167.0,9.03052503052503,-2184.0,254.66463414634148,-8353.0,66.58536585365854,710.0,0.012210012210012234,0.012210012210012234,744.0,-3.5598086124401913,1124.0,-3.5598086124401913,744.0,5.37799043062201,4.482176949646177
3697,6.184782608695652,2291.0,-0.41304347826086957,1684.0,2254.0,-0.010869565217391304,28549.8046875,710.0,81899.99999999984,167.50000000000003,-5494.0,3.0,3.0,10555327.0,9.035409035409035,-580.0,192.77439024390245,-6323.0,17.682926829268293,710.0,0.012210012210012234,0.012210012210012234,468.0,-2.2392344497607652,1392.0,-3.923444976076555,820.0,6.660287081339713,6.198569107399388
3698,7.0,2343.0,-0.9782608695652174,1609.0,2300.0,-0.5108695652173912,28554.6875,711.0,79026.31578947355,176.21951219512198,-5780.0,3.0,3.0,10555487.0,9.04029304029304,-899.0,179.2378048780488,-5879.0,27.408536585365855,711.0,0.012654012654012677,0.012654012654012677,1140.0,-5.454545454545454,1124.0,-3.5215311004784686,736.0,5.37799043062201,7.086464706861094
3699,7.467391304347826,2414.0,-1.75,1566.0,2366.0,-1.2282608695652173,28559.5703125,711.0,79026.31578947355,179.02439024390245,-5872.0,3.0,3.0,10555647.0,9.045177045177045,-758.0,192.8048780487805,-6324.0,23.10975609756098,711.0,0.012654012654012677,0.012654012654012677,908.0,-4.344497607655502,1128.0,-4.976076555023924,1040.0,5.3971291866028706,7.767435719460743
3700,7.130434782608695,2434.0,-1.967391304347826,1597.0,2386.0,-1.4456521739130435,28564.453125,710.0,81899.99999999984,173.2926829268293,-5684.0,3.0,3.0,10555807.0,9.05006105006105,-760.0,201.89024390243904,-6622.0,23.170731707317074,710.0,0.012210012210012234,0.012210012210012234,832.0,-3.9808612440191387,1040.0,-5.167464114832535,1080.0,4.976076555023924,7.536818887395323
3701,6.760869565217391,2408.0,-1.684782608695652,1631.0,2372.0,-1.2934782608695652,28569.3359375,707.0,91928.57142857119,170.0609756097561,-5578.0,3.0,3.0,10555967.0,9.054945054945055,-772.0,194.66463414634148,-6385.0,23.53658536585366,707.0,0.010878010878010906,0.010878010878010906,684.0,-3.2727272727272725,1068.0,-4.688995215311005,980.0,5.110047846889952,7.08667310716307
3702,6.554347826086956,2393.0,-1.5217391304347825,1650.0,2356.0,-1.1195652173913042,28574.21875,709.0,84990.56603773567,168.75000000000003,-5535.0,3.0,3.0,10556127.0,9.05982905982906,-785.0,189.84756097560978,-6227.0,23.932926829268293,709.0,0.011766011766011792,0.01176601176601179,760.0,-3.6363636363636362,1052.0,-4.382775119617225,916.0,5.033492822966507,6.821186970199516
3703,6.391304347826087,2381.0,-1.391304347826087,1665.0,2357.0,-1.1304347826086956,28579.1015625,711.0,79026.31578947355,168.8719512195122,-5539.0,3.0,3.0,10556287.0,9.064713064713064,-808.0,186.6768292682927,-6123.0,24.634146341463417,711.0,0.012654012654012677,0.012654012654012677,776.0,-3.712918660287081,1000.0,-4.344497607655502,908.0,4.784688995215311,6.637950124289274
3704,6.173913043478261,2381.0,-1.391304347826087,1685.0,2386.0,-1.4456521739130435,28583.984375,711.0,79026.31578947355,170.85365853658539,-5604.0,3.0,3.0,10556447.0,9.06959706959707,-723.0,182.59146341463418,-5989.0,22.04268292682927,711.0,0.012654012654012677,0.012654012654012677,744.0,-3.5598086124401913,992.0,-4.45933014354067,932.0,4.746411483253588,6.491751710027909
3705,6.065217391304348,2388.0,-1.467391304347826,1695.0,2381.0,-1.391304347826087,28588.8671875,711.0,79026.31578947355,170.94512195121953,-5607.0,3.0,3.0,10556607.0,9.074481074481074,-593.0,182.13414634146343,-5974.0,18.07926829268293,711.0,0.012654012654012677,0.012654012654012677,664.0,-3.177033492822966,964.0,-4.669856459330143,976.0,4.6124401913875595,6.393420604976345
