,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4894,2039.0,6.967391304347826,2.3260869565217392,1612.0,7.608695652173913,1553.0,36401.3671875,84990.56603773567,709.0,-4574.0,139.45121951219514,3.0,3.0,1764842.0,5.880341880341881,-1261.0,-132.25609756097563,38.44512195121951,4338.0,709.0,0.011766011766011792,0.01176601176601179,5.990430622009569,-1252.0,1168.0,-0.21052631578947367,44.0,5.588516746411483,10.575796501664188
4895,2045.0,6.945652173913043,2.260869565217391,1614.0,7.673913043478261,1547.0,36406.25,91928.57142857119,707.0,-4562.0,139.08536585365854,3.0,3.0,1765002.0,5.885225885225886,-1085.0,-131.3109756097561,33.07926829268293,4307.0,707.0,0.010878010878010906,0.010878010878010906,6.162679425837321,-1288.0,1180.0,-0.15311004784688995,32.0,5.645933014354067,10.59445877384848
4896,2050.0,7.0,2.2065217391304346,1609.0,7.717391304347826,1543.0,36411.1328125,84990.56603773567,709.0,-4553.0,138.8109756097561,3.0,3.0,1765162.0,5.8901098901098905,-911.0,-130.51829268292684,27.77439024390244,4281.0,709.0,0.011766011766011792,0.01176601176601179,6.105263157894736,-1276.0,1188.0,-0.3253588516746411,68.0,5.684210526315789,10.650205008809861
4897,2051.0,7.010869565217391,2.1956521739130435,1608.0,7.673913043478261,1547.0,36416.015625,88323.5294117645,708.0,-4562.0,139.08536585365854,3.0,3.0,1765322.0,5.894993894993895,-731.0,-129.1768292682927,22.28658536585366,4237.0,708.0,0.01132201132201135,0.011322011322011348,6.105263157894736,-1276.0,1192.0,-0.3253588516746411,68.0,5.70334928229665,10.623658594296334
4898,2062.0,7.0,2.0760869565217392,1609.0,7.673913043478261,1547.0,36420.8984375,84990.56603773567,709.0,-4597.0,140.15243902439025,3.0,3.0,1765482.0,5.8998778998779,-541.0,-127.16463414634147,16.493902439024392,4171.0,709.0,0.011766011766011792,0.01176601176601179,6.028708133971292,-1260.0,1176.0,-0.4401913875598086,92.0,5.626794258373206,10.592406641075742
4899,2073.0,6.9021739130434785,1.9565217391304348,1618.0,7.532608695652174,1560.0,36425.78125,84990.56603773567,709.0,-4602.0,140.3048780487805,3.0,3.0,1765642.0,5.904761904761905,-415.0,-125.33536585365854,12.652439024390246,4111.0,709.0,0.011766011766011792,0.01176601176601179,5.837320574162679,-1220.0,1144.0,-0.631578947368421,132.0,5.473684210526316,10.402315886541931
4900,2093.0,6.706521739130435,1.7391304347826086,1636.0,7.423913043478261,1570.0,36430.6640625,91928.57142857119,707.0,-4593.0,140.03048780487805,3.0,3.0,1765802.0,5.90964590964591,-347.0,-123.65853658536587,10.579268292682928,4056.0,707.0,0.010878010878010906,0.010878010878010906,5.779904306220096,-1208.0,1116.0,-0.8612440191387559,180.0,5.339712918660287,10.154629160325989
4901,2110.0,6.5978260869565215,1.5543478260869565,1646.0,7.369565217391304,1575.0,36435.546875,81899.99999999984,710.0,-4565.0,139.1768292682927,3.0,3.0,1765962.0,5.914529914529915,-229.0,-122.43902439024392,6.981707317073171,4016.0,710.0,0.012210012210012234,0.012210012210012234,5.722488038277512,-1196.0,1076.0,-1.0526315789473684,220.0,5.148325358851674,10.012881589810647
4902,2125.0,6.478260869565217,1.391304347826087,1657.0,7.358695652173913,1576.0,36440.4296875,84990.56603773567,709.0,-4513.0,137.59146341463415,3.0,3.0,1766122.0,5.91941391941392,-65.0,-120.85365853658537,1.981707317073171,3964.0,709.0,0.011766011766011792,0.01176601176601179,5.722488038277512,-1196.0,1072.0,-1.3779904306220094,288.0,5.1291866028708135,9.90222163879111
4903,2149.0,6.5,1.1304347826086956,1655.0,7.391304347826087,1573.0,36445.3125,84990.56603773567,709.0,-4471.0,136.3109756097561,3.0,3.0,1766282.0,5.924297924297925,46.0,-118.87195121951221,-1.402439024390244,3899.0,709.0,0.011766011766011792,0.01176601176601179,5.779904306220096,-1208.0,1056.0,-1.6076555023923444,336.0,5.052631578947368,9.907535655243658
4904,2170.0,6.510869565217391,0.9021739130434783,1654.0,7.456521739130435,1567.0,36450.1953125,81899.99999999984,710.0,-4463.0,136.06707317073173,3.0,3.0,1766442.0,5.929181929181929,137.0,-117.07317073170732,-4.176829268292684,3840.0,710.0,0.012210012210012234,0.012210012210012234,5.818181818181818,-1216.0,1064.0,-1.8181818181818181,380.0,5.090909090909091,9.94007327491981
4905,2185.0,6.641304347826087,0.7391304347826086,1642.0,7.532608695652174,1560.0,36455.078125,79026.31578947355,711.0,-4483.0,136.6768292682927,3.0,3.0,1766602.0,5.934065934065934,224.0,-115.76219512195124,-6.829268292682928,3797.0,711.0,0.012654012654012677,0.012654012654012677,5.837320574162679,-1220.0,1096.0,-1.9521531100478469,408.0,5.244019138755981,10.069430520237495
4906,2194.0,6.739130434782608,0.6413043478260869,1633.0,7.413043478260869,1571.0,36459.9609375,81899.99999999984,710.0,-4490.0,136.89024390243904,3.0,3.0,1766762.0,5.938949938949939,283.0,-113.75000000000001,-8.628048780487806,3731.0,710.0,0.012210012210012234,0.012210012210012234,5.7990430622009566,-1212.0,1140.0,-2.0669856459330145,432.0,5.454545454545454,10.038942369300656
4907,2201.0,6.858695652173913,0.5652173913043478,1622.0,7.413043478260869,1571.0,36464.84375,81899.99999999984,710.0,-4518.0,137.7439024390244,3.0,3.0,1766922.0,5.943833943833944,265.0,-111.52439024390245,-8.079268292682928,3658.0,710.0,0.012210012210012234,0.012210012210012234,5.684210526315789,-1188.0,1160.0,-2.2200956937799043,464.0,5.55023923444976,10.115057605331184
4908,2212.0,7.0,0.44565217391304346,1609.0,7.554347826086956,1558.0,36469.7265625,73844.26229508186,713.0,-4517.0,137.71341463414635,3.0,3.0,1767082.0,5.948717948717949,244.0,-109.75609756097562,-7.439024390243903,3600.0,713.0,0.013542013542013561,0.01354201354201356,5.779904306220096,-1208.0,1208.0,-2.2583732057416266,472.0,5.779904306220096,10.308577832932055
4909,2215.0,7.141304347826087,0.41304347826086957,1596.0,7.543478260869565,1559.0,36474.609375,81899.99999999984,710.0,-4512.0,137.5609756097561,3.0,3.0,1767242.0,5.953601953601954,191.0,-108.75000000000001,-5.823170731707318,3567.0,710.0,0.012210012210012234,0.012210012210012234,5.7990430622009566,-1212.0,1240.0,-2.373205741626794,496.0,5.9330143540669855,10.395811511153198
4910,2224.0,7.380434782608695,0.31521739130434784,1574.0,7.576086956521739,1556.0,36479.4921875,79026.31578947355,711.0,-4516.0,137.6829268292683,3.0,3.0,1767402.0,5.958485958485959,134.0,-108.38414634146342,-4.085365853658537,3555.0,711.0,0.012654012654012677,0.012654012654012677,5.85645933014354,-1224.0,1280.0,-2.5071770334928227,524.0,6.124401913875598,10.581458933289861
4911,2232.0,7.478260869565217,0.22826086956521738,1565.0,7.619565217391304,1552.0,36484.375,88323.5294117645,708.0,-4513.0,137.59146341463415,3.0,3.0,1767562.0,5.9633699633699635,89.0,-107.28658536585367,-2.713414634146342,3519.0,708.0,0.01132201132201135,0.011322011322011348,5.9330143540669855,-1240.0,1320.0,-2.602870813397129,544.0,6.315789473684211,10.67868263223158
4912,2244.0,7.5978260869565215,0.09782608695652173,1554.0,7.5978260869565215,1554.0,36489.2578125,81899.99999999984,710.0,-4508.0,137.4390243902439,3.0,3.0,1767722.0,5.968253968253968,6.0,-106.15853658536587,-0.1829268292682927,3482.0,710.0,0.012210012210012234,0.012210012210012234,5.913875598086124,-1236.0,1332.0,-2.77511961722488,580.0,6.373205741626794,10.74539401039177
4913,2261.0,7.619565217391304,-0.08695652173913043,1552.0,7.5,1563.0,36494.140625,81899.99999999984,710.0,-4508.0,137.4390243902439,3.0,3.0,1767882.0,5.973137973137973,-163.0,-104.48170731707319,4.969512195121951,3427.0,710.0,0.012210012210012234,0.012210012210012234,5.818181818181818,-1216.0,1320.0,-2.92822966507177,612.0,6.315789473684211,10.691834993992021
4914,2278.0,7.489130434782608,-0.2717391304347826,1564.0,7.423913043478261,1570.0,36499.0234375,91928.57142857119,707.0,-4522.0,137.8658536585366,3.0,3.0,1768042.0,5.978021978021978,-299.0,-102.92682926829269,9.115853658536587,3376.0,707.0,0.010878010878010906,0.010878010878010906,5.741626794258373,-1200.0,1280.0,-3.1578947368421053,660.0,6.124401913875598,10.548715642262959
4915,2289.0,7.413043478260869,-0.3913043478260869,1571.0,7.4021739130434785,1572.0,36503.90625,81899.99999999984,710.0,-4523.0,137.89634146341464,3.0,3.0,1768202.0,5.982905982905983,-456.0,-101.46341463414635,13.902439024390246,3328.0,710.0,0.012210012210012234,0.012210012210012234,5.779904306220096,-1208.0,1264.0,-3.4258373205741623,716.0,6.047846889952153,10.483249083283054
4916,2319.0,7.293478260869565,-0.717391304347826,1582.0,7.467391304347826,1566.0,36508.7890625,84990.56603773567,709.0,-4545.0,138.56707317073173,3.0,3.0,1768362.0,5.987789987789988,-527.0,-100.57926829268294,16.06707317073171,3299.0,709.0,0.011766011766011792,0.01176601176601179,5.779904306220096,-1208.0,1244.0,-3.5980861244019136,752.0,5.952153110047846,10.462858515605587
4917,2329.0,7.119565217391304,-0.8260869565217391,1598.0,7.434782608695652,1569.0,36513.671875,81899.99999999984,710.0,-4565.0,139.1768292682927,3.0,3.0,1768522.0,5.992673992673993,-558.0,-99.60365853658537,17.012195121951223,3267.0,710.0,0.012210012210012234,0.012210012210012234,5.760765550239234,-1204.0,1196.0,-3.8086124401913874,796.0,5.722488038277512,10.326985086799862
4918,2347.0,6.891304347826087,-1.0217391304347825,1619.0,7.380434782608695,1574.0,36518.5546875,79026.31578947355,711.0,-4570.0,139.32926829268294,3.0,3.0,1768682.0,5.997557997557998,-606.0,-98.17073170731709,18.475609756097562,3220.0,711.0,0.012654012654012677,0.012654012654012677,5.760765550239234,-1204.0,1140.0,-4.0,836.0,5.454545454545454,10.149130211272718
4919,2360.0,6.728260869565217,-1.1630434782608696,1634.0,7.3478260869565215,1577.0,36523.4375,73844.26229508186,713.0,-4565.0,139.1768292682927,3.0,3.0,1768842.0,6.002442002442002,-682.0,-97.04268292682927,20.79268292682927,3183.0,713.0,0.013542013542013561,0.01354201354201356,5.70334928229665,-1192.0,1096.0,-4.1913875598086126,876.0,5.244019138755981,10.030588849384985
4920,2374.0,6.543478260869565,-1.315217391304348,1651.0,7.358695652173913,1576.0,36528.3203125,84990.56603773567,709.0,-4548.0,138.65853658536588,3.0,3.0,1769002.0,6.007326007326007,-705.0,-96.21951219512196,21.493902439024392,3156.0,709.0,0.011766011766011792,0.01176601176601179,5.626794258373206,-1176.0,1048.0,-4.363636363636363,912.0,5.0143540669856455,9.934651792498077
4921,2387.0,6.456521739130435,-1.4565217391304348,1659.0,7.326086956521739,1579.0,36533.203125,81899.99999999984,710.0,-4504.0,137.31707317073173,3.0,3.0,1769162.0,6.012210012210012,-727.0,-95.39634146341464,22.164634146341466,3129.0,710.0,0.012210012210012234,0.012210012210012234,5.626794258373206,-1176.0,1056.0,-4.45933014354067,932.0,5.052631578947368,9.873179763325563
4922,2395.0,6.413043478260869,-1.5434782608695652,1663.0,7.217391304347826,1589.0,36538.0859375,84990.56603773567,709.0,-4479.0,136.5548780487805,3.0,3.0,1769322.0,6.017094017094017,-754.0,-94.54268292682927,22.98780487804878,3101.0,709.0,0.011766011766011792,0.01176601176601179,5.4162679425837315,-1132.0,1028.0,-4.535885167464115,948.0,4.918660287081339,9.777534916118523
