,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
3539,1281.0,3.3804347826086953,1942.0,10.565217391304348,1984.0,2.9239130434782608,59555.6640625,88323.5294117645,708.0,-6.463414634146342,212.0,3.0,3.0,3880353.0,12.263736263736265,774.0,-11.250000000000002,369.0,-23.59756097560976,708.0,0.01132201132201135,0.011322011322011348,1.014354066985646,-212.0,372.0,9.358851674641148,1.7799043062200957,-1956.0,11.471722858002316
3540,1288.0,3.4239130434782608,1938.0,10.489130434782608,1993.0,2.8260869565217392,59560.546875,84990.56603773567,709.0,-6.737804878048781,221.0,3.0,3.0,3880513.0,12.26862026862027,963.0,-12.073170731707318,396.0,-29.35975609756098,709.0,0.011766011766011792,0.01176601176601179,0.9569377990430622,-200.0,380.0,9.263157894736842,1.8181818181818181,-1936.0,11.389987062898959
3541,1298.0,3.5869565217391304,1923.0,10.380434782608695,1998.0,2.7717391304347827,59565.4296875,84990.56603773567,709.0,-8.323170731707318,273.0,3.0,3.0,3880673.0,12.273504273504274,1064.0,-12.134146341463415,398.0,-32.43902439024391,709.0,0.011766011766011792,0.01176601176601179,0.8803827751196172,-184.0,420.0,9.129186602870814,2.0095693779904304,-1908.0,11.327057039320614
3542,1308.0,3.6956521739130435,1913.0,10.271739130434783,2001.0,2.7391304347826084,59570.3125,88323.5294117645,708.0,-9.817073170731708,322.0,3.0,3.0,3880833.0,12.27838827838828,1265.0,-10.731707317073171,352.0,-38.56707317073171,708.0,0.01132201132201135,0.011322011322011348,0.8803827751196172,-184.0,412.0,8.995215311004785,1.971291866028708,-1880.0,11.254745900863586
3543,1309.0,3.6739130434782608,1915.0,10.26086956521739,1998.0,2.7717391304347827,59575.1953125,88323.5294117645,708.0,-10.121951219512196,332.0,3.0,3.0,3880993.0,12.283272283272284,1394.0,-8.414634146341465,276.0,-42.50000000000001,708.0,0.01132201132201135,0.011322011322011348,0.9186602870813396,-192.0,452.0,8.937799043062201,2.1626794258373203,-1868.0,11.245693357575938
3544,1305.0,3.8804347826086953,1896.0,10.304347826086957,1994.0,2.8152173913043477,59580.078125,84990.56603773567,709.0,-9.451219512195124,310.0,3.0,3.0,3881153.0,12.288156288156289,1472.0,-5.2439024390243905,172.0,-44.87804878048781,709.0,0.011766011766011792,0.01176601176601179,1.0526315789473684,-220.0,488.0,9.07177033492823,2.3349282296650715,-1896.0,11.364981618258994
3545,1302.0,4.163043478260869,1870.0,10.33695652173913,1992.0,2.8369565217391304,59584.9609375,81899.99999999984,710.0,-8.414634146341465,276.0,3.0,3.0,3881313.0,12.293040293040294,1406.0,-2.7743902439024395,91.0,-42.86585365853659,710.0,0.012210012210012234,0.012210012210012234,1.0334928229665072,-216.0,540.0,9.148325358851674,2.5837320574162677,-1912.0,11.499214035770171
3546,1289.0,4.467391304347826,1842.0,10.478260869565217,1984.0,2.9239130434782608,59589.84375,88323.5294117645,708.0,-7.408536585365854,243.0,3.0,3.0,3881473.0,12.297924297924299,1360.0,-1.3719512195121952,45.0,-41.463414634146346,708.0,0.01132201132201135,0.011322011322011348,1.186602870813397,-248.0,624.0,9.24401913875598,2.985645933014354,-1932.0,11.760136198303423
3547,1281.0,4.728260869565217,1818.0,10.565217391304348,1971.0,3.0652173913043477,59594.7265625,84990.56603773567,709.0,-6.585365853658537,216.0,3.0,3.0,3881633.0,12.302808302808304,1256.0,-0.9756097560975611,32.0,-38.29268292682927,709.0,0.011766011766011792,0.01176601176601179,1.186602870813397,-248.0,692.0,9.358851674641148,3.311004784688995,-1956.0,11.973964549477174
3548,1271.0,4.9021739130434785,1802.0,10.67391304347826,1964.0,3.141304347826087,59599.609375,84990.56603773567,709.0,-6.036585365853659,198.0,3.0,3.0,3881793.0,12.307692307692308,1077.0,-0.48780487804878053,16.0,-32.83536585365854,709.0,0.011766011766011792,0.01176601176601179,1.2248803827751196,-256.0,752.0,9.39712918660287,3.5980861244019136,-1964.0,12.158598674976092
