,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
2420,3.0217391304347827,1298.0,10.380434782608695,1975.0,1717.0,5.826086956521739,19248.046875,81899.99999999984,710.0,3.9939024390243905,-131.0,3.0,3.0,12502267.0,9.802197802197803,6.829268292682928,-557.0,-224.0,16.981707317073173,0.012210012210012234,0.012210012210012234,710.0,4.057416267942584,-848.0,9.129186602870814,288.0,1.3779904306220094,-1908.0,12.281189798767297
2421,3.0869565217391304,1301.0,10.347826086956522,1969.0,1728.0,5.706521739130435,19252.9296875,88323.5294117645,708.0,4.969512195121951,-163.0,3.0,3.0,12502427.0,9.807081807081808,6.371951219512196,-576.0,-209.0,17.5609756097561,0.011322011322011348,0.01132201132201135,708.0,3.942583732057416,-824.0,9.129186602870814,300.0,1.4354066985645932,-1908.0,12.213566049773256
2422,3.184782608695652,1305.0,10.304347826086957,1960.0,1730.0,5.684782608695652,19257.8125,88323.5294117645,708.0,5.579268292682928,-183.0,3.0,3.0,12502587.0,9.811965811965813,6.067073170731708,-618.0,-199.0,18.84146341463415,0.011322011322011348,0.01132201132201135,708.0,3.9808612440191387,-832.0,9.09090909090909,324.0,1.5502392344497606,-1900.0,12.191766799515229
2423,3.3152173913043477,1302.0,10.33695652173913,1948.0,1724.0,5.75,19262.6953125,81899.99999999984,710.0,6.371951219512196,-209.0,3.0,3.0,12502747.0,9.816849816849818,5.975609756097562,-666.0,-196.0,20.30487804878049,0.012210012210012234,0.012210012210012234,710.0,3.942583732057416,-824.0,9.09090909090909,352.0,1.6842105263157894,-1900.0,12.28437367080357
2424,3.3804347826086953,1308.0,10.271739130434783,1942.0,1725.0,5.739130434782608,19267.578125,88323.5294117645,708.0,6.920731707317074,-227.0,3.0,3.0,12502907.0,9.821733821733822,5.731707317073171,-720.0,-188.0,21.951219512195124,0.011322011322011348,0.01132201132201135,708.0,4.038277511961723,-844.0,9.014354066985646,372.0,1.7799043062200957,-1884.0,12.242286642234113
2425,3.4130434782608696,1300.0,10.358695652173912,1939.0,1726.0,5.728260869565217,19272.4609375,91928.57142857119,707.0,7.560975609756098,-248.0,3.0,3.0,12503067.0,9.826617826617827,5.731707317073171,-799.0,-188.0,24.35975609756098,0.010878010878010906,0.010878010878010906,707.0,3.9808612440191387,-832.0,9.033492822966506,372.0,1.7799043062200957,-1888.0,12.319270026615126
2426,3.4565217391304346,1311.0,10.239130434782608,1935.0,1729.0,5.695652173913043,19277.34375,84990.56603773567,709.0,7.896341463414635,-259.0,3.0,3.0,12503227.0,9.831501831501832,5.884146341463415,-865.0,-193.0,26.371951219512198,0.01176601176601179,0.011766011766011792,709.0,3.9617224880382773,-828.0,8.976076555023923,368.0,1.7607655502392343,-1876.0,12.215882623853798
2427,3.4891304347826084,1309.0,10.26086956521739,1932.0,1731.0,5.673913043478261,19282.2265625,88323.5294117645,708.0,8.292682926829269,-272.0,3.0,3.0,12503387.0,9.836385836385837,5.823170731707318,-952.0,-191.0,29.02439024390244,0.011322011322011348,0.01132201132201135,708.0,4.057416267942584,-848.0,9.014354066985646,384.0,1.8373205741626792,-1884.0,12.233264676703579
2428,3.467391304347826,1307.0,10.282608695652174,1934.0,1727.0,5.717391304347826,19287.109375,88323.5294117645,708.0,8.810975609756099,-289.0,3.0,3.0,12503547.0,9.841269841269842,5.884146341463415,-1023.0,-193.0,31.189024390243905,0.011322011322011348,0.01132201132201135,708.0,4.019138755980861,-840.0,9.052631578947368,392.0,1.875598086124402,-1892.0,12.265537386205335
2429,3.4456521739130435,1308.0,10.271739130434783,1936.0,1725.0,5.739130434782608,19291.9921875,91928.57142857119,707.0,9.207317073170733,-302.0,3.0,3.0,12503707.0,9.846153846153847,5.701219512195123,-1081.0,-187.0,32.957317073170735,0.010878010878010906,0.010878010878010906,707.0,4.019138755980861,-840.0,9.052631578947368,368.0,1.7607655502392343,-1892.0,12.260455204222428
