,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4968,1965.0,3.0869565217391304,1969.0,3.1304347826086953,1243.0,10.978260869565217,139941.40625,709.0,84990.56603773567,1.6463414634146343,-54.0,3.0,3.0,4.239316239316239,3968160.0,0.39634146341463417,-45.0,1.3719512195121952,-13.0,0.01176601176601179,709.0,0.011766011766011792,-1984.0,9.492822966507177,312.0,0.708133971291866,-148.0,1.492822966507177,11.825867165476742
4969,1977.0,3.1304347826086953,1965.0,3.0,1239.0,11.021739130434783,139946.2890625,713.0,73844.26229508186,1.7987804878048783,-59.0,3.0,3.0,4.244200244200244,3968320.0,0.3353658536585366,-44.0,1.3414634146341464,-11.0,0.01354201354201356,713.0,0.013542013542013561,-1992.0,9.531100478468899,328.0,0.7655502392344498,-160.0,1.569377990430622,11.843916387222752
4970,1979.0,3.141304347826087,1964.0,2.9782608695652173,1246.0,10.945652173913043,139951.171875,710.0,81899.99999999984,1.5853658536585367,-52.0,3.0,3.0,4.249084249084249,3968480.0,0.7317073170731708,-39.0,1.1890243902439026,-24.0,0.012210012210012234,710.0,0.012210012210012234,-1980.0,9.473684210526315,304.0,0.7464114832535885,-156.0,1.4545454545454546,11.77051962851011
4971,1979.0,3.1630434782608696,1962.0,2.9782608695652173,1246.0,10.945652173913043,139956.0546875,711.0,79026.31578947355,1.6158536585365855,-53.0,3.0,3.0,4.253968253968254,3968640.0,0.6707317073170732,-47.0,1.4329268292682928,-22.0,0.012654012654012677,711.0,0.012654012654012677,-1976.0,9.454545454545455,324.0,0.784688995215311,-164.0,1.5502392344497606,11.776339981710757
4972,1983.0,3.2282608695652173,1956.0,2.934782608695652,1245.0,10.956521739130434,139960.9375,710.0,81899.99999999984,1.6158536585365855,-53.0,3.0,3.0,4.258852258852259,3968800.0,0.4573170731707317,-48.0,1.4634146341463417,-15.0,0.012210012210012234,710.0,0.012210012210012234,-1984.0,9.492822966507177,304.0,0.7272727272727273,-152.0,1.4545454545454546,11.793217789149246
4973,1976.0,3.152173913043478,1963.0,3.010869565217391,1245.0,10.956521739130434,139965.8203125,710.0,81899.99999999984,1.676829268292683,-55.0,3.0,3.0,4.263736263736264,3968960.0,0.48780487804878053,-38.0,1.1585365853658538,-16.0,0.012210012210012234,710.0,0.012210012210012234,-2000.0,9.569377990430622,316.0,0.784688995215311,-164.0,1.5119617224880382,11.791815150215932
4974,1979.0,3.141304347826087,1964.0,2.9782608695652173,1247.0,10.934782608695652,139970.703125,709.0,84990.56603773567,1.4329268292682928,-47.0,3.0,3.0,4.2686202686202686,3969120.0,0.853658536585366,-51.0,1.5548780487804879,-28.0,0.01176601176601179,709.0,0.011766011766011792,-1988.0,9.511961722488039,296.0,0.784688995215311,-164.0,1.416267942583732,11.760412472030364
4975,1979.0,3.141304347826087,1964.0,2.9782608695652173,1249.0,10.91304347826087,139975.5859375,710.0,81899.99999999984,1.707317073170732,-56.0,3.0,3.0,4.273504273504273,3969280.0,0.701219512195122,-39.0,1.1890243902439026,-23.0,0.012210012210012234,710.0,0.012210012210012234,-1988.0,9.511961722488039,324.0,0.7272727272727273,-152.0,1.5502392344497606,11.740202245756524
4976,1980.0,3.119565217391304,1966.0,2.967391304347826,1252.0,10.880434782608695,139980.46875,711.0,79026.31578947355,1.5243902439024393,-50.0,3.0,3.0,4.278388278388278,3969440.0,0.7621951219512196,-42.0,1.2804878048780488,-25.0,0.012654012654012677,711.0,0.012654012654012677,-1992.0,9.531100478468899,304.0,0.7464114832535885,-156.0,1.4545454545454546,11.7013229746588
4977,1979.0,3.25,1954.0,2.9782608695652173,1254.0,10.858695652173912,139985.3515625,710.0,81899.99999999984,1.2195121951219514,-40.0,3.0,3.0,4.283272283272283,3969600.0,0.8231707317073171,-42.0,1.2804878048780488,-27.0,0.012210012210012234,710.0,0.012210012210012234,-1980.0,9.473684210526315,316.0,0.7272727272727273,-152.0,1.5119617224880382,11.719377503678427
4978,1986.0,3.1956521739130435,1959.0,2.902173913043478,1251.0,10.891304347826086,139990.234375,710.0,81899.99999999984,1.2195121951219514,-40.0,3.0,3.0,4.288156288156288,3969760.0,1.0975609756097562,-42.0,1.2804878048780488,-36.0,0.012210012210012234,710.0,0.012210012210012234,-1972.0,9.435406698564593,296.0,0.8229665071770335,-172.0,1.416267942583732,11.71560142012183
4979,1980.0,3.1956521739130435,1959.0,2.967391304347826,1257.0,10.826086956521738,139995.1171875,707.0,91928.57142857119,1.0060975609756098,-33.0,3.0,3.0,4.293040293040293,3969920.0,1.0670731707317074,-47.0,1.4329268292682928,-35.0,0.010878010878010906,707.0,0.010878010878010906,-1968.0,9.416267942583731,296.0,0.7655502392344498,-160.0,1.416267942583732,11.67140791678212
4980,1984.0,3.0978260869565215,1968.0,2.9239130434782608,1250.0,10.902173913043478,140000.0,707.0,91928.57142857119,1.0060975609756098,-33.0,3.0,3.0,4.297924297924298,3970080.0,0.8841463414634148,-39.0,1.1890243902439026,-29.0,0.010878010878010906,707.0,0.010878010878010906,-1976.0,9.454545454545455,304.0,0.7464114832535885,-156.0,1.4545454545454546,11.704836179165277
4981,1980.0,3.119565217391304,1966.0,2.967391304347826,1252.0,10.880434782608695,140004.8828125,711.0,79026.31578947355,1.0670731707317074,-35.0,3.0,3.0,4.302808302808303,3970240.0,0.8841463414634148,-48.0,1.4634146341463417,-29.0,0.012654012654012677,711.0,0.012654012654012677,-1984.0,9.492822966507177,300.0,0.708133971291866,-148.0,1.4354066985645932,11.7013229746588
4982,1977.0,3.141304347826087,1964.0,3.0,1250.0,10.902173913043478,140009.765625,710.0,81899.99999999984,0.7621951219512196,-25.0,3.0,3.0,4.3076923076923075,3970400.0,1.0975609756097562,-43.0,1.3109756097560976,-36.0,0.012210012210012234,710.0,0.012210012210012234,-1976.0,9.454545454545455,308.0,0.8229665071770335,-172.0,1.4736842105263157,11.73563756410008
4983,1980.0,3.0978260869565215,1968.0,2.967391304347826,1248.0,10.92391304347826,140014.6484375,711.0,79026.31578947355,0.5487804878048781,-18.0,3.0,3.0,4.312576312576312,3970560.0,1.0670731707317074,-46.0,1.402439024390244,-35.0,0.012654012654012677,711.0,0.012654012654012677,-1988.0,9.511961722488039,308.0,0.6698564593301435,-140.0,1.4736842105263157,11.736005018728559
4984,1970.0,3.043478260869565,1973.0,3.0760869565217392,1245.0,10.956521739130434,140019.53125,710.0,81899.99999999984,0.5792682926829269,-19.0,3.0,3.0,4.317460317460317,3970720.0,1.0975609756097562,-45.0,1.3719512195121952,-36.0,0.012210012210012234,710.0,0.012210012210012234,-1980.0,9.473684210526315,300.0,0.7655502392344498,-160.0,1.4354066985645932,11.780086566256912
4985,1979.0,3.0978260869565215,1968.0,2.9782608695652173,1241.0,11.0,140024.4140625,712.0,76347.45762711852,0.39634146341463417,-13.0,3.0,3.0,4.322344322344322,3970880.0,0.9146341463414634,-55.0,1.676829268292683,-30.0,0.013098013098013117,712.0,0.013098013098013119,-1996.0,9.55023923444976,308.0,0.784688995215311,-164.0,1.4736842105263157,11.809596278967868
4986,1980.0,3.0978260869565215,1968.0,2.967391304347826,1244.0,10.967391304347826,140029.296875,710.0,81899.99999999984,0.426829268292683,-14.0,3.0,3.0,4.327228327228327,3971040.0,1.128048780487805,-50.0,1.5243902439024393,-37.0,0.012210012210012234,710.0,0.012210012210012234,-1992.0,9.531100478468899,312.0,0.7655502392344498,-160.0,1.492822966507177,11.776485453684039
4987,1977.0,3.119565217391304,1966.0,3.0,1245.0,10.956521739130434,140034.1796875,710.0,81899.99999999984,0.1829268292682927,-6.0,3.0,3.0,4.332112332112332,3971200.0,1.1585365853658538,-46.0,1.402439024390244,-38.0,0.012210012210012234,710.0,0.012210012210012234,-1992.0,9.531100478468899,316.0,0.784688995215311,-164.0,1.5119617224880382,11.780367386698746
4988,1976.0,3.119565217391304,1966.0,3.010869565217391,1245.0,10.956521739130434,140039.0625,711.0,79026.31578947355,0.12195121951219513,-4.0,3.0,3.0,4.336996336996337,3971360.0,0.9756097560975611,-45.0,1.3719512195121952,-32.0,0.012654012654012677,711.0,0.012654012654012677,-1980.0,9.473684210526315,316.0,0.7464114832535885,-156.0,1.5119617224880382,11.783140129199337
4989,1979.0,3.0760869565217392,1970.0,2.9782608695652173,1238.0,11.032608695652174,140043.9453125,711.0,79026.31578947355,-0.09146341463414635,3.0,3.0,3.0,4.3418803418803416,3971520.0,1.1585365853658538,-39.0,1.1890243902439026,-38.0,0.012654012654012677,711.0,0.012654012654012677,-1988.0,9.511961722488039,308.0,0.708133971291866,-148.0,1.4736842105263157,11.834306207067929
4990,1979.0,3.184782608695652,1960.0,2.9782608695652173,1243.0,10.978260869565217,140048.828125,712.0,76347.45762711852,0.0,0.0,3.0,3.0,4.346764346764346,3971680.0,0.8841463414634148,-34.0,1.0365853658536586,-29.0,0.013098013098013117,712.0,0.013098013098013119,-1992.0,9.531100478468899,316.0,0.6889952153110047,-144.0,1.5119617224880382,11.812497186965189
4991,1979.0,3.0978260869565215,1968.0,2.9782608695652173,1246.0,10.945652173913043,140053.7109375,709.0,84990.56603773567,-0.030487804878048783,1.0,3.0,3.0,4.351648351648351,3971840.0,0.853658536585366,-35.0,1.0670731707317074,-28.0,0.01176601176601179,709.0,0.011766011766011792,-1980.0,9.473684210526315,300.0,0.6889952153110047,-144.0,1.4354066985645932,11.758990848899366
4992,1977.0,3.108695652173913,1967.0,3.0,1246.0,10.945652173913043,140058.59375,712.0,76347.45762711852,0.06097560975609757,-2.0,3.0,3.0,4.356532356532356,3972000.0,1.402439024390244,-37.0,1.128048780487805,-46.0,0.013098013098013117,712.0,0.013098013098013119,-1984.0,9.492822966507177,308.0,0.6698564593301435,-140.0,1.4736842105263157,11.767382468932176
4993,1979.0,3.152173913043478,1963.0,2.9782608695652173,1243.0,10.978260869565217,140063.4765625,709.0,84990.56603773567,-0.1829268292682927,6.0,3.0,3.0,4.361416361416361,3972160.0,1.1585365853658538,-37.0,1.128048780487805,-38.0,0.01176601176601179,709.0,0.011766011766011792,-1996.0,9.55023923444976,312.0,0.8038277511961722,-168.0,1.492822966507177,11.803747282345638
