,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2792,1278.0,3.260869565217391,10.597826086956522,1953.0,1825.0,4.6521739130434785,29394.53125,76347.45762711852,712.0,0.15243902439024393,-5.0,3.0,3.0,8164433.0,3.614163614163614,-42.0,-0.9146341463414634,30.0,1.2804878048780488,712.0,0.013098013098013119,0.013098013098013117,-620.0,2.9665071770334928,9.339712918660286,352.0,-1952.0,1.6842105263157894,12.0245544702471
2793,1280.0,3.3260869565217392,10.576086956521738,1947.0,1823.0,4.673913043478261,29399.4140625,79026.31578947355,711.0,0.06097560975609757,-2.0,3.0,3.0,8164593.0,3.619047619047619,-40.0,-0.5487804878048781,18.0,1.2195121951219514,711.0,0.012654012654012677,0.012654012654012677,-616.0,2.9473684210526314,9.320574162679426,356.0,-1948.0,1.7033492822966507,12.031705319373872
2794,1278.0,3.3152173913043477,10.597826086956522,1948.0,1827.0,4.630434782608695,29404.296875,81899.99999999984,710.0,0.30487804878048785,-10.0,3.0,3.0,8164753.0,3.623931623931624,-43.0,-0.853658536585366,28.0,1.3109756097560976,710.0,0.012210012210012234,0.012210012210012234,-604.0,2.889952153110048,9.358851674641148,340.0,-1956.0,1.6267942583732056,12.031022832534871
2795,1282.0,3.3043478260869565,10.554347826086957,1949.0,1820.0,4.706521739130435,29409.1796875,81899.99999999984,710.0,0.6097560975609757,-20.0,3.0,3.0,8164913.0,3.628815628815629,-42.0,-0.48780487804878053,16.0,1.2804878048780488,710.0,0.012210012210012234,0.012210012210012234,-604.0,2.889952153110048,9.339712918660286,352.0,-1952.0,1.6842105263157894,12.019331074177941
2796,1279.0,3.293478260869565,10.58695652173913,1950.0,1828.0,4.619565217391305,29414.0625,79026.31578947355,711.0,0.2134146341463415,-7.0,3.0,3.0,8165073.0,3.6336996336996337,-41.0,-0.3658536585365854,12.0,1.2500000000000002,711.0,0.012654012654012677,0.012654012654012677,-592.0,2.832535885167464,9.358851674641148,376.0,-1956.0,1.7990430622009568,12.01128761814264
2797,1280.0,3.293478260869565,10.576086956521738,1950.0,1824.0,4.663043478260869,29418.9453125,79026.31578947355,711.0,0.030487804878048783,-1.0,3.0,3.0,8165233.0,3.6385836385836385,-41.0,-0.39634146341463417,13.0,1.2500000000000002,711.0,0.012654012654012677,0.012654012654012677,-592.0,2.832535885167464,9.301435406698564,344.0,-1944.0,1.645933014354067,12.018510259049616
2798,1284.0,3.3043478260869565,10.532608695652174,1949.0,1823.0,4.673913043478261,29423.828125,76347.45762711852,712.0,0.4573170731707317,-15.0,3.0,3.0,8165393.0,3.6434676434676434,-34.0,-0.1829268292682927,6.0,1.0365853658536586,712.0,0.013098013098013119,0.013098013098013117,-604.0,2.889952153110048,9.320574162679426,336.0,-1948.0,1.6076555023923444,11.987494468382023
2799,1278.0,3.3152173913043477,10.597826086956522,1948.0,1832.0,4.576086956521739,29428.7109375,79026.31578947355,711.0,-0.09146341463414635,3.0,3.0,3.0,8165553.0,3.6483516483516483,-36.0,-0.09146341463414635,3.0,1.0975609756097562,711.0,0.012654012654012677,0.012654012654012677,-596.0,2.851674641148325,9.416267942583731,340.0,-1968.0,1.6267942583732056,12.010210487523995
2800,1275.0,3.391304347826087,10.630434782608695,1941.0,1829.0,4.608695652173913,29433.59375,79026.31578947355,711.0,0.1829268292682927,-6.0,3.0,3.0,8165713.0,3.653235653235653,-38.0,0.030487804878048783,-1.0,1.1585365853658538,711.0,0.012654012654012677,0.012654012654012677,-604.0,2.889952153110048,9.37799043062201,344.0,-1960.0,1.645933014354067,12.072579031062403
2801,1275.0,3.3043478260869565,10.630434782608695,1949.0,1827.0,4.630434782608695,29438.4765625,84990.56603773567,709.0,0.2134146341463415,-7.0,3.0,3.0,8165873.0,3.658119658119658,-38.0,0.30487804878048785,-10.0,1.1585365853658538,709.0,0.011766011766011792,0.01176601176601179,-604.0,2.889952153110048,9.492822966507177,352.0,-1984.0,1.6842105263157894,12.056773386733898
2802,1277.0,3.3804347826086953,10.608695652173912,1942.0,1829.0,4.608695652173913,29443.359375,79026.31578947355,711.0,-0.30487804878048785,10.0,3.0,3.0,8166033.0,3.663003663003663,-37.0,0.1829268292682927,-6.0,1.128048780487805,711.0,0.012654012654012677,0.012654012654012677,-608.0,2.909090909090909,9.511961722488039,348.0,-1988.0,1.6650717703349283,12.050387478180571
2803,1268.0,3.3260869565217392,10.706521739130434,1947.0,1831.0,4.58695652173913,29448.2421875,79026.31578947355,711.0,-0.27439024390243905,9.0,3.0,3.0,8166193.0,3.6678876678876677,-43.0,0.1829268292682927,-6.0,1.3109756097560976,711.0,0.012654012654012677,0.012654012654012677,-616.0,2.9473684210526314,9.473684210526315,364.0,-1980.0,1.7416267942583732,12.113324577717785
2804,1269.0,3.3260869565217392,10.695652173913043,1947.0,1824.0,4.663043478260869,29453.125,81899.99999999984,710.0,-0.3658536585365854,12.0,3.0,3.0,8166353.0,3.6727716727716726,-46.0,0.15243902439024393,-5.0,1.402439024390244,710.0,0.012210012210012234,0.012210012210012234,-608.0,2.909090909090909,9.435406698564593,352.0,-1972.0,1.6842105263157894,12.132757491511402
2805,1269.0,3.358695652173913,10.695652173913043,1944.0,1820.0,4.706521739130435,29458.0078125,79026.31578947355,711.0,-0.39634146341463417,13.0,3.0,3.0,8166513.0,3.6776556776556775,-42.0,0.24390243902439027,-8.0,1.2804878048780488,711.0,0.012654012654012677,0.012654012654012677,-612.0,2.92822966507177,9.492822966507177,340.0,-1984.0,1.6267942583732056,12.15850150265937
2806,1272.0,3.3369565217391304,10.66304347826087,1946.0,1822.0,4.684782608695652,29462.890625,84990.56603773567,709.0,-0.39634146341463417,13.0,3.0,3.0,8166673.0,3.6825396825396823,-41.0,0.3658536585365854,-12.0,1.2500000000000002,709.0,0.011766011766011792,0.01176601176601179,-608.0,2.909090909090909,9.416267942583731,364.0,-1968.0,1.7416267942583732,12.115401897502046
2807,1274.0,3.3260869565217392,10.641304347826086,1947.0,1827.0,4.630434782608695,29467.7734375,79026.31578947355,711.0,-0.24390243902439027,8.0,3.0,3.0,8166833.0,3.687423687423687,-54.0,0.5182926829268293,-17.0,1.6463414634146343,711.0,0.012654012654012677,0.012654012654012677,-620.0,2.9665071770334928,9.454545454545455,340.0,-1976.0,1.6267942583732056,12.072329474521428
2808,1268.0,3.3043478260869565,10.706521739130434,1949.0,1820.0,4.706521739130435,29472.65625,79026.31578947355,711.0,-0.06097560975609757,2.0,3.0,3.0,8166993.0,3.6923076923076925,-49.0,0.5182926829268293,-17.0,1.4939024390243905,711.0,0.012654012654012677,0.012654012654012677,-628.0,3.004784688995215,9.492822966507177,360.0,-1984.0,1.7224880382775118,12.153175271802244
2809,1268.0,3.2717391304347827,10.706521739130434,1952.0,1815.0,4.760869565217392,29477.5390625,81899.99999999984,710.0,0.1829268292682927,-6.0,3.0,3.0,8167153.0,3.6971916971916974,-53.0,0.701219512195122,-23.0,1.6158536585365855,710.0,0.012210012210012234,0.012210012210012234,-616.0,2.9473684210526314,9.454545454545455,348.0,-1976.0,1.6650717703349283,12.165515348932159
2810,1266.0,3.3043478260869565,10.728260869565217,1949.0,1820.0,4.706521739130435,29482.421875,76347.45762711852,712.0,0.030487804878048783,-1.0,3.0,3.0,8167313.0,3.7020757020757022,-48.0,0.4573170731707317,-15.0,1.4634146341463417,712.0,0.013098013098013119,0.013098013098013117,-628.0,3.004784688995215,9.473684210526315,356.0,-1980.0,1.7033492822966507,12.172331030748268
2811,1271.0,3.3043478260869565,10.67391304347826,1949.0,1813.0,4.782608695652174,29487.3046875,71499.99999999991,714.0,0.2134146341463415,-7.0,3.0,3.0,8167473.0,3.706959706959707,-40.0,0.48780487804878053,-16.0,1.2195121951219514,714.0,0.013986013986014003,0.013986013986014003,-620.0,2.9665071770334928,9.416267942583731,348.0,-1968.0,1.6650717703349283,12.15419598950209
2812,1270.0,3.293478260869565,10.684782608695652,1950.0,1819.0,4.717391304347826,29492.1875,79026.31578947355,711.0,0.06097560975609757,-2.0,3.0,3.0,8167633.0,3.711843711843712,-45.0,0.4573170731707317,-15.0,1.3719512195121952,711.0,0.012654012654012677,0.012654012654012677,-624.0,2.985645933014354,9.454545454545455,352.0,-1976.0,1.6842105263157894,12.135293946511636
2813,1270.0,3.260869565217391,10.684782608695652,1953.0,1820.0,4.706521739130435,29497.0703125,76347.45762711852,712.0,0.030487804878048783,-1.0,3.0,3.0,8167793.0,3.716727716727717,-53.0,0.2134146341463415,-7.0,1.6158536585365855,712.0,0.013098013098013119,0.013098013098013117,-612.0,2.92822966507177,9.435406698564593,344.0,-1972.0,1.645933014354067,12.122260374919914
2814,1274.0,3.3043478260869565,10.641304347826086,1949.0,1818.0,4.728260869565217,29501.953125,73844.26229508186,713.0,0.6097560975609757,-20.0,3.0,3.0,8167953.0,3.7216117216117217,-45.0,0.30487804878048785,-10.0,1.3719512195121952,713.0,0.013542013542013561,0.01354201354201356,-616.0,2.9473684210526314,9.39712918660287,340.0,-1964.0,1.6267942583732056,12.10423577221997
2815,1277.0,3.3260869565217392,10.608695652173912,1947.0,1817.0,4.739130434782608,29506.8359375,81899.99999999984,710.0,0.6402439024390244,-21.0,3.0,3.0,8168113.0,3.7264957264957266,-50.0,0.5792682926829269,-19.0,1.5243902439024393,710.0,0.012210012210012234,0.012210012210012234,-620.0,2.9665071770334928,9.435406698564593,348.0,-1972.0,1.6650717703349283,12.085803041613763
2816,1277.0,3.3369565217391304,10.608695652173912,1946.0,1820.0,4.706521739130435,29511.71875,81899.99999999984,710.0,0.6707317073170732,-22.0,3.0,3.0,8168273.0,3.7313797313797314,-52.0,0.48780487804878053,-16.0,1.5853658536585367,710.0,0.012210012210012234,0.012210012210012234,-628.0,3.004784688995215,9.416267942583731,340.0,-1968.0,1.6267942583732056,12.0760527139185
2817,1279.0,3.217391304347826,10.58695652173913,1957.0,1818.0,4.728260869565217,29516.6015625,84990.56603773567,709.0,0.9146341463414634,-30.0,3.0,3.0,8168433.0,3.7362637362637363,-48.0,0.27439024390243905,-9.0,1.4634146341463417,709.0,0.011766011766011792,0.01176601176601179,-636.0,3.0430622009569377,9.339712918660286,324.0,-1952.0,1.5502392344497606,12.032942534939213
2818,1279.0,3.25,10.58695652173913,1954.0,1815.0,4.760869565217392,29521.484375,79026.31578947355,711.0,0.853658536585366,-28.0,3.0,3.0,8168593.0,3.741147741147741,-54.0,0.27439024390243905,-9.0,1.6463414634146343,711.0,0.012654012654012677,0.012654012654012677,-632.0,3.0239234449760763,9.39712918660287,328.0,-1964.0,1.569377990430622,12.054543849113825
2819,1277.0,3.2065217391304346,10.608695652173912,1958.0,1815.0,4.760869565217392,29526.3671875,88323.5294117645,708.0,0.8231707317073171,-27.0,3.0,3.0,8168753.0,3.746031746031746,-68.0,0.2134146341463415,-7.0,2.073170731707317,708.0,0.01132201132201135,0.011322011322011348,-640.0,3.062200956937799,9.37799043062201,332.0,-1960.0,1.588516746411483,12.062009953609845
2820,1280.0,3.217391304347826,10.576086956521738,1957.0,1818.0,4.728260869565217,29531.25,88323.5294117645,708.0,0.7621951219512196,-25.0,3.0,3.0,8168913.0,3.750915750915751,-64.0,0.3353658536585366,-11.0,1.9512195121951221,708.0,0.01132201132201135,0.011322011322011348,-616.0,2.9473684210526314,9.416267942583731,324.0,-1968.0,1.5502392344497606,12.023380263797026
2821,1279.0,3.2391304347826084,10.58695652173913,1955.0,1818.0,4.728260869565217,29536.1328125,81899.99999999984,710.0,0.5182926829268293,-17.0,3.0,3.0,8169073.0,3.755799755799756,-60.0,0.39634146341463417,-13.0,1.829268292682927,710.0,0.012210012210012234,0.012210012210012234,-612.0,2.92822966507177,9.358851674641148,312.0,-1956.0,1.492822966507177,12.038773410002836
2822,1279.0,3.2065217391304346,10.58695652173913,1958.0,1818.0,4.728260869565217,29541.015625,81899.99999999984,710.0,0.30487804878048785,-10.0,3.0,3.0,8169233.0,3.7606837606837606,-62.0,0.1829268292682927,-6.0,1.8902439024390245,710.0,0.012210012210012234,0.012210012210012234,-628.0,3.004784688995215,9.320574162679426,336.0,-1948.0,1.6076555023923444,12.03004076914839
