,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4937,1251.0,1.934782608695652,2075.0,10.891304347826086,1846.0,4.423913043478261,51625.9765625,707.0,91928.57142857119,-4.5426829268292686,149.0,3.0,3.0,10484384.0,14.09035409035409,-0.7926829268292683,689.0,26.0,-21.00609756097561,0.010878010878010906,707.0,0.010878010878010906,-572.0,2.736842105263158,36.0,9.665071770334928,-2020.0,0.17224880382775118,11.913643471085729
4938,1254.0,1.934782608695652,2075.0,10.858695652173912,1840.0,4.489130434782608,51630.859375,707.0,91928.57142857119,-4.847560975609756,159.0,3.0,3.0,10484544.0,14.095238095238095,-0.7621951219512196,692.0,25.0,-21.09756097560976,0.010878010878010906,707.0,0.010878010878010906,-572.0,2.736842105263158,44.0,9.626794258373206,-2012.0,0.21052631578947367,11.908272211783842
4939,1252.0,1.8804347826086956,2080.0,10.880434782608695,1838.0,4.510869565217392,51635.7421875,708.0,88323.5294117645,-5.060975609756098,166.0,3.0,3.0,10484704.0,14.1001221001221,-0.5792682926829269,687.0,19.0,-20.945121951219512,0.01132201132201135,708.0,0.011322011322011348,-580.0,2.77511961722488,56.0,9.665071770334928,-2020.0,0.2679425837320574,11.927608321228957
4940,1258.0,2.0217391304347827,2067.0,10.815217391304348,1834.0,4.554347826086956,51640.625,709.0,84990.56603773567,-5.609756097560976,184.0,3.0,3.0,10484864.0,14.105006105006105,-0.7317073170731708,662.0,24.0,-20.182926829268293,0.011766011766011792,709.0,0.01176601176601179,-576.0,2.755980861244019,56.0,9.645933014354066,-2016.0,0.2679425837320574,11.907915033862402
4941,1262.0,2.0543478260869565,2064.0,10.771739130434783,1839.0,4.5,51645.5078125,707.0,91928.57142857119,-6.00609756097561,197.0,3.0,3.0,10485024.0,14.10989010989011,-0.6097560975609757,646.0,20.0,-19.695121951219512,0.010878010878010906,707.0,0.010878010878010906,-568.0,2.7177033492822966,60.0,9.68421052631579,-2024.0,0.28708133971291866,11.85329949358777
4942,1261.0,2.0978260869565215,2060.0,10.782608695652174,1840.0,4.489130434782608,51650.390625,708.0,88323.5294117645,-6.707317073170732,220.0,3.0,3.0,10485184.0,14.114774114774114,-0.426829268292683,622.0,14.0,-18.963414634146343,0.01132201132201135,708.0,0.011322011322011348,-576.0,2.755980861244019,64.0,9.588516746411482,-2004.0,0.3062200956937799,11.866668303915834
4943,1256.0,2.0760869565217392,2062.0,10.83695652173913,1839.0,4.5,51655.2734375,707.0,91928.57142857119,-7.164634146341464,235.0,3.0,3.0,10485344.0,14.11965811965812,-0.6402439024390244,593.0,21.0,-18.07926829268293,0.010878010878010906,707.0,0.010878010878010906,-584.0,2.7942583732057416,76.0,9.665071770334928,-2020.0,0.36363636363636365,11.916365373095271
4944,1263.0,2.108695652173913,2059.0,10.76086956521739,1833.0,4.565217391304348,51660.15625,708.0,88323.5294117645,-7.560975609756098,248.0,3.0,3.0,10485504.0,14.124542124542124,-0.701219512195122,574.0,23.0,-17.5,0.01132201132201135,708.0,0.011322011322011348,-576.0,2.755980861244019,76.0,9.588516746411482,-2004.0,0.36363636363636365,11.87788369125522
4945,1257.0,2.2282608695652173,2048.0,10.826086956521738,1843.0,4.456521739130435,51665.0390625,707.0,91928.57142857119,-8.201219512195122,269.0,3.0,3.0,10485664.0,14.129426129426129,-0.5792682926829269,555.0,19.0,-16.920731707317074,0.010878010878010906,707.0,0.010878010878010906,-576.0,2.755980861244019,60.0,9.588516746411482,-2004.0,0.28708133971291866,11.917629433085583
4946,1261.0,2.0760869565217392,2062.0,10.782608695652174,1842.0,4.467391304347826,51669.921875,704.0,104755.81395348875,-8.231707317073171,270.0,3.0,3.0,10485824.0,14.134310134310134,-0.7926829268292683,536.0,26.0,-16.34146341463415,0.009546009546009513,704.0,0.009546009546009511,-580.0,2.77511961722488,64.0,9.68421052631579,-2024.0,0.3062200956937799,11.854635059788055
4947,1259.0,2.0652173913043477,2063.0,10.804347826086957,1842.0,4.467391304347826,51674.8046875,707.0,91928.57142857119,-8.75,287.0,3.0,3.0,10485984.0,14.139194139194139,-0.7621951219512196,531.0,25.0,-16.189024390243905,0.010878010878010906,707.0,0.010878010878010906,-580.0,2.77511961722488,52.0,9.68421052631579,-2024.0,0.24880382775119617,11.872516156509471
4948,1257.0,2.0760869565217392,2062.0,10.826086956521738,1842.0,4.467391304347826,51679.6875,707.0,91928.57142857119,-9.115853658536587,299.0,3.0,3.0,10486144.0,14.144078144078144,-0.7621951219512196,539.0,25.0,-16.432926829268293,0.010878010878010906,707.0,0.010878010878010906,-572.0,2.736842105263158,60.0,9.645933014354066,-2016.0,0.28708133971291866,11.894195261024278
4949,1261.0,2.0978260869565215,2060.0,10.782608695652174,1843.0,4.456521739130435,51684.5703125,708.0,88323.5294117645,-9.02439024390244,296.0,3.0,3.0,10486304.0,14.148962148962148,-0.701219512195122,530.0,23.0,-16.158536585365855,0.01132201132201135,708.0,0.011322011322011348,-564.0,2.6985645933014353,60.0,9.626794258373206,-2012.0,0.28708133971291866,11.854370948557808
4950,1259.0,2.0760869565217392,2062.0,10.804347826086957,1841.0,4.478260869565217,51689.453125,707.0,91928.57142857119,-9.51219512195122,312.0,3.0,3.0,10486464.0,14.153846153846153,-0.5182926829268293,529.0,17.0,-16.128048780487806,0.010878010878010906,707.0,0.010878010878010906,-572.0,2.736842105263158,80.0,9.569377990430622,-2000.0,0.3827751196172249,11.878505352694365
4951,1262.0,2.0543478260869565,2064.0,10.771739130434783,1840.0,4.489130434782608,51694.3359375,706.0,95840.42553191462,-9.390243902439025,308.0,3.0,3.0,10486624.0,14.158730158730158,-0.6707317073170732,531.0,22.0,-16.189024390243905,0.010434010434010463,706.0,0.010434010434010463,-576.0,2.755980861244019,60.0,9.607655502392344,-2008.0,0.28708133971291866,11.849177226507315
4952,1263.0,2.0652173913043477,2063.0,10.76086956521739,1841.0,4.478260869565217,51699.21875,708.0,88323.5294117645,-9.298780487804878,305.0,3.0,3.0,10486784.0,14.163614163614163,-0.5792682926829269,534.0,19.0,-16.28048780487805,0.01132201132201135,708.0,0.011322011322011348,-576.0,2.755980861244019,72.0,9.588516746411482,-2004.0,0.34449760765550236,11.83707130538829
4953,1262.0,2.032608695652174,2066.0,10.771739130434783,1842.0,4.467391304347826,51704.1015625,708.0,88323.5294117645,-9.756097560975611,320.0,3.0,3.0,10486944.0,14.168498168498168,-0.48780487804878053,539.0,16.0,-16.432926829268293,0.01132201132201135,708.0,0.011322011322011348,-572.0,2.736842105263158,68.0,9.588516746411482,-2004.0,0.3253588516746411,11.837206049990991
4954,1259.0,2.0978260869565215,2060.0,10.804347826086957,1840.0,4.489130434782608,51708.984375,709.0,84990.56603773567,-10.000000000000002,328.0,3.0,3.0,10487104.0,14.173382173382173,-0.1829268292682927,535.0,6.0,-16.3109756097561,0.011766011766011792,709.0,0.01176601176601179,-564.0,2.6985645933014353,72.0,9.511961722488039,-1988.0,0.34449760765550236,11.886424958694551
4955,1258.0,2.0,2069.0,10.815217391304348,1833.0,4.565217391304348,51713.8671875,707.0,91928.57142857119,-9.817073170731708,322.0,3.0,3.0,10487264.0,14.178266178266178,-0.06097560975609757,541.0,2.0,-16.493902439024392,0.010878010878010906,707.0,0.010878010878010906,-576.0,2.755980861244019,64.0,9.626794258373206,-2012.0,0.3062200956937799,11.908406150742412
4956,1264.0,2.0978260869565215,2060.0,10.75,1825.0,4.6521739130434785,51718.75,711.0,79026.31578947355,-9.603658536585368,315.0,3.0,3.0,10487424.0,14.183150183150182,-0.1829268292682927,530.0,6.0,-16.158536585365855,0.012654012654012677,711.0,0.012654012654012677,-580.0,2.77511961722488,80.0,9.607655502392344,-2008.0,0.3827751196172249,11.89983598241243
4957,1264.0,2.0760869565217392,2062.0,10.75,1833.0,4.565217391304348,51723.6328125,709.0,84990.56603773567,-9.725609756097562,319.0,3.0,3.0,10487584.0,14.188034188034187,-0.12195121951219513,536.0,4.0,-16.34146341463415,0.011766011766011792,709.0,0.01176601176601179,-596.0,2.851674641148325,84.0,9.607655502392344,-2008.0,0.4019138755980861,11.862286747541866
4958,1264.0,2.141304347826087,2056.0,10.75,1833.0,4.565217391304348,51728.515625,710.0,81899.99999999984,-9.786585365853659,321.0,3.0,3.0,10487744.0,14.192918192918192,0.12195121951219513,540.0,-4.0,-16.463414634146343,0.012210012210012234,710.0,0.012210012210012234,-588.0,2.813397129186603,88.0,9.511961722488039,-1988.0,0.42105263157894735,11.87387443675764
4959,1261.0,2.2282608695652173,2048.0,10.782608695652174,1829.0,4.608695652173913,51733.3984375,709.0,84990.56603773567,-9.756097560975611,320.0,3.0,3.0,10487904.0,14.197802197802197,0.06097560975609757,531.0,-2.0,-16.189024390243905,0.011766011766011792,709.0,0.01176601176601179,-592.0,2.832535885167464,92.0,9.569377990430622,-2000.0,0.4401913875598086,11.93607441333859
4960,1262.0,2.2717391304347827,2044.0,10.771739130434783,1828.0,4.619565217391305,51738.28125,708.0,88323.5294117645,-9.908536585365855,325.0,3.0,3.0,10488064.0,14.202686202686202,-0.09146341463414635,529.0,3.0,-16.128048780487806,0.01132201132201135,708.0,0.011322011322011348,-592.0,2.832535885167464,100.0,9.55023923444976,-1996.0,0.4784688995215311,11.938657603291086
4961,1262.0,2.3043478260869565,2041.0,10.771739130434783,1831.0,4.58695652173913,51743.1640625,708.0,88323.5294117645,-9.756097560975611,320.0,3.0,3.0,10488224.0,14.207570207570207,-0.15243902439024393,521.0,5.0,-15.884146341463417,0.01132201132201135,708.0,0.011322011322011348,-592.0,2.832535885167464,112.0,9.645933014354066,-2016.0,0.5358851674641149,11.93233225023745
4962,1260.0,2.25,2046.0,10.793478260869565,1830.0,4.5978260869565215,51748.046875,706.0,95840.42553191462,-9.969512195121952,327.0,3.0,3.0,10488384.0,14.212454212454212,-0.09146341463414635,514.0,3.0,-15.670731707317074,0.010434010434010463,706.0,0.010434010434010463,-596.0,2.851674641148325,112.0,9.55023923444976,-1996.0,0.5358851674641149,11.945780748605836
4963,1262.0,2.25,2046.0,10.771739130434783,1830.0,4.5978260869565215,51752.9296875,708.0,88323.5294117645,-9.51219512195122,312.0,3.0,3.0,10488544.0,14.217338217338217,-0.15243902439024393,514.0,5.0,-15.670731707317074,0.01132201132201135,708.0,0.011322011322011348,-596.0,2.851674641148325,116.0,9.665071770334928,-2020.0,0.5550239234449761,11.926142235443857
4964,1263.0,2.282608695652174,2043.0,10.76086956521739,1834.0,4.554347826086956,51757.8125,708.0,88323.5294117645,-9.573170731707318,314.0,3.0,3.0,10488704.0,14.222222222222221,-0.1829268292682927,514.0,6.0,-15.670731707317074,0.01132201132201135,708.0,0.011322011322011348,-580.0,2.77511961722488,100.0,9.531100478468899,-1992.0,0.4784688995215311,11.905826320674757
4965,1264.0,2.358695652173913,2036.0,10.75,1835.0,4.543478260869565,51762.6953125,707.0,91928.57142857119,-9.02439024390244,296.0,3.0,3.0,10488864.0,14.227106227106226,-0.27439024390243905,517.0,9.0,-15.76219512195122,0.010878010878010906,707.0,0.010878010878010906,-580.0,2.77511961722488,112.0,9.531100478468899,-1992.0,0.5358851674641149,11.90668467234177
