,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2628,2702.0,7.217391304347826,-4.880434782608695,1589.0,1.6739130434782608,2099.0,30683.59375,712.0,76347.45762711852,1.6463414634146343,-54.0,3.0,3.0,4228004.0,2.813186813186813,-1.128048780487805,-379.0,11.55487804878049,37.0,712.0,0.013098013098013117,0.013098013098013119,-0.3827751196172249,80.0,1212.0,-8.17224880382775,1708.0,5.7990430622009566,8.871942616163556
2629,2684.0,7.173913043478261,-4.684782608695652,1593.0,1.641304347826087,2102.0,30688.4765625,711.0,79026.31578947355,1.3109756097560976,-43.0,3.0,3.0,4228164.0,2.8180708180708183,-1.3414634146341464,-361.0,11.006097560975611,44.0,711.0,0.012654012654012677,0.012654012654012677,-0.28708133971291866,60.0,1184.0,-8.153110047846889,1704.0,5.665071770334928,8.723880811216851
2630,2686.0,7.1521739130434785,-4.706521739130435,1595.0,1.7717391304347825,2090.0,30693.359375,711.0,79026.31578947355,1.1585365853658538,-38.0,3.0,3.0,4228324.0,2.822954822954823,-1.3414634146341464,-326.0,9.939024390243903,44.0,711.0,0.012654012654012677,0.012654012654012677,-0.4019138755980861,84.0,1196.0,-8.057416267942584,1684.0,5.722488038277512,8.743225841166455
2631,2685.0,7.173913043478261,-4.695652173913043,1593.0,1.7608695652173914,2091.0,30698.2421875,711.0,79026.31578947355,0.9146341463414634,-30.0,3.0,3.0,4228484.0,2.827838827838828,-1.4939024390243905,-299.0,9.115853658536587,49.0,711.0,0.012654012654012677,0.012654012654012677,-0.34449760765550236,72.0,1184.0,-8.153110047846889,1704.0,5.665071770334928,8.7529903072876
2632,2685.0,7.141304347826087,-4.695652173913043,1596.0,1.7065217391304348,2096.0,30703.125,712.0,76347.45762711852,0.6097560975609757,-20.0,3.0,3.0,4228644.0,2.832722832722833,-1.3719512195121952,-292.0,8.902439024390246,45.0,712.0,0.013098013098013117,0.013098013098013119,-0.2679425837320574,56.0,1200.0,-8.095693779904305,1692.0,5.741626794258373,8.715480111432692
2633,2688.0,7.163043478260869,-4.728260869565217,1594.0,1.7608695652173914,2091.0,30708.0078125,712.0,76347.45762711852,0.5182926829268293,-17.0,3.0,3.0,4228804.0,2.8376068376068377,-1.5243902439024393,-284.0,8.658536585365855,50.0,712.0,0.013098013098013117,0.013098013098013119,-0.3062200956937799,64.0,1208.0,-8.153110047846889,1704.0,5.779904306220096,8.76163822283402
2634,2688.0,7.184782608695652,-4.728260869565217,1592.0,1.6956521739130435,2097.0,30712.890625,711.0,79026.31578947355,0.030487804878048783,-1.0,3.0,3.0,4228964.0,2.8424908424908426,-1.707317073170732,-270.0,8.231707317073171,56.0,711.0,0.012654012654012677,0.012654012654012677,-0.42105263157894735,88.0,1196.0,-8.095693779904305,1692.0,5.722488038277512,8.766572208096683
2635,2690.0,7.163043478260869,-4.75,1594.0,1.6956521739130435,2097.0,30717.7734375,710.0,81899.99999999984,0.09146341463414635,-3.0,3.0,3.0,4229124.0,2.8473748473748475,-1.4634146341463417,-266.0,8.109756097560977,48.0,710.0,0.012210012210012234,0.012210012210012234,-0.4019138755980861,84.0,1208.0,-8.133971291866029,1700.0,5.779904306220096,8.760532413406825
2636,2684.0,7.25,-4.684782608695652,1586.0,1.717391304347826,2095.0,30722.65625,713.0,73844.26229508186,-0.030487804878048783,1.0,3.0,3.0,4229284.0,2.8522588522588523,-1.5243902439024393,-256.0,7.8048780487804885,50.0,713.0,0.01354201354201356,0.013542013542013561,-0.34449760765550236,72.0,1228.0,-8.153110047846889,1704.0,5.875598086124402,8.801086352433249
2637,2691.0,7.228260869565217,-4.760869565217392,1588.0,1.8043478260869565,2087.0,30727.5390625,711.0,79026.31578947355,-0.030487804878048783,1.0,3.0,3.0,4229444.0,2.857142857142857,-1.4939024390243905,-258.0,7.865853658536586,49.0,711.0,0.012654012654012677,0.012654012654012677,-0.2296650717703349,48.0,1212.0,-8.153110047846889,1704.0,5.7990430622009566,8.841340695449173
