,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
5648,9.434782608695652,1642.0,6.641304347826087,1385.0,1919.0,3.6304347826086953,47968.75,709.0,84990.56603773567,121.0,-3.689024390243903,3.0,3.0,15160446.0,17.562881562881564,-323.0,-9.695121951219512,318.0,9.847560975609756,0.01176601176601179,709.0,0.011766011766011792,1.7607655502392343,-368.0,1744.0,4.784688995215311,-1000.0,8.344497607655502,12.095540625560092
5649,9.434782608695652,1644.0,6.619565217391304,1385.0,1916.0,3.6630434782608696,47973.6328125,709.0,84990.56603773567,107.0,-3.26219512195122,3.0,3.0,15160606.0,17.56776556776557,-267.0,-9.207317073170733,302.0,8.140243902439025,0.01176601176601179,709.0,0.011766011766011792,1.7990430622009568,-376.0,1748.0,4.842105263157895,-1012.0,8.363636363636363,12.093455009395463
5650,9.478260869565217,1638.0,6.684782608695652,1381.0,1920.0,3.619565217391304,47978.515625,708.0,88323.5294117645,91.0,-2.7743902439024395,3.0,3.0,15160766.0,17.572649572649574,-224.0,-8.841463414634147,290.0,6.829268292682928,0.011322011322011348,708.0,0.01132201132201135,1.7990430622009568,-376.0,1748.0,4.899521531100478,-1024.0,8.363636363636363,12.150102880222867
5651,9.445652173913043,1642.0,6.641304347826087,1384.0,1919.0,3.6304347826086953,47983.3984375,709.0,84990.56603773567,81.0,-2.4695121951219514,3.0,3.0,15160926.0,17.57753357753358,-164.0,-8.567073170731708,281.0,5.000000000000001,0.01176601176601179,709.0,0.011766011766011792,1.7607655502392343,-368.0,1736.0,4.842105263157895,-1012.0,8.30622009569378,12.104021031945413
5652,9.434782608695652,1640.0,6.663043478260869,1385.0,1901.0,3.8260869565217392,47988.28125,710.0,81899.99999999984,72.0,-2.1951219512195124,3.0,3.0,15161086.0,17.582417582417584,-118.0,-8.140243902439025,267.0,3.5975609756097566,0.012210012210012234,710.0,0.012210012210012234,1.7799043062200957,-372.0,1740.0,4.899521531100478,-1024.0,8.325358851674642,12.167588613419111
5653,9.402173913043478,1642.0,6.641304347826087,1388.0,1914.0,3.684782608695652,47993.1640625,708.0,88323.5294117645,76.0,-2.3170731707317076,3.0,3.0,15161246.0,17.58730158730159,-80.0,-8.170731707317074,268.0,2.439024390243903,0.011322011322011348,708.0,0.01132201132201135,1.7607655502392343,-368.0,1748.0,4.784688995215311,-1000.0,8.363636363636363,12.086580186509124
5654,9.467391304347826,1645.0,6.608695652173913,1382.0,1915.0,3.6739130434782608,47998.046875,710.0,81899.99999999984,60.0,-1.829268292682927,3.0,3.0,15161406.0,17.592185592185594,-67.0,-7.957317073170732,261.0,2.0426829268292686,0.012210012210012234,710.0,0.012210012210012234,1.7990430622009568,-376.0,1756.0,4.899521531100478,-1024.0,8.401913875598085,12.116269780082602
5655,9.521739130434783,1646.0,6.5978260869565215,1377.0,1917.0,3.652173913043478,48002.9296875,709.0,84990.56603773567,75.0,-2.2865853658536586,3.0,3.0,15161566.0,17.5970695970696,-41.0,-7.591463414634147,249.0,1.2500000000000002,0.01176601176601179,709.0,0.011766011766011792,1.7416267942583732,-364.0,1772.0,4.784688995215311,-1000.0,8.47846889952153,12.146324523611753
5656,9.532608695652174,1644.0,6.619565217391304,1376.0,1914.0,3.684782608695652,48007.8125,708.0,88323.5294117645,38.0,-1.1585365853658538,3.0,3.0,15161726.0,17.601953601953603,-5.0,-7.195121951219513,236.0,0.15243902439024393,0.011322011322011348,708.0,0.01132201132201135,1.7607655502392343,-368.0,1772.0,4.803827751196172,-1004.0,8.47846889952153,12.176489440108185
5657,9.532608695652174,1643.0,6.630434782608695,1376.0,1912.0,3.7065217391304346,48012.6953125,710.0,81899.99999999984,38.0,-1.1585365853658538,3.0,3.0,15161886.0,17.60683760683761,5.0,-6.829268292682928,224.0,-0.15243902439024393,0.012210012210012234,710.0,0.012210012210012234,1.7799043062200957,-372.0,1760.0,4.842105263157895,-1012.0,8.421052631578947,12.188994927946156
