,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
6482,2751.0,4.5978260869565215,1830.0,-5.413043478260869,1706.0,5.945652173913043,31640.625,91928.57142857119,707.0,-76.0,2.3170731707317076,3.0,3.0,10332370.0,18.63736263736264,1.7987804878048783,-199.0,-59.0,6.067073170731708,707.0,0.010878010878010906,0.010878010878010906,4.133971291866029,-864.0,608.0,-8.842105263157894,1848.0,2.909090909090909,9.262387607771407
6483,2745.0,4.532608695652174,1836.0,-5.3478260869565215,1705.0,5.956521739130435,31645.5078125,88323.5294117645,708.0,-68.0,2.073170731707317,3.0,3.0,10332530.0,18.642246642246644,1.5243902439024393,-234.0,-50.0,7.134146341463415,708.0,0.01132201132201135,0.011322011322011348,4.1913875598086126,-876.0,600.0,-8.78468899521531,1836.0,2.8708133971291865,9.199126951671438
6484,2737.0,4.456521739130435,1843.0,-5.260869565217392,1702.0,5.989130434782608,31650.390625,88323.5294117645,708.0,-57.0,1.7378048780487807,3.0,3.0,10332690.0,18.64713064713065,1.4634146341463417,-265.0,-48.0,8.079268292682928,708.0,0.01132201132201135,0.011322011322011348,4.15311004784689,-868.0,572.0,-8.746411483253588,1828.0,2.736842105263158,9.132744273131275
6485,2740.0,4.521739130434782,1837.0,-5.293478260869565,1702.0,5.989130434782608,31655.2734375,84990.56603773567,709.0,-56.0,1.707317073170732,3.0,3.0,10332850.0,18.652014652014653,1.3109756097560976,-257.0,-43.0,7.835365853658537,709.0,0.011766011766011792,0.01176601176601179,4.172248803827751,-872.0,588.0,-8.746411483253588,1828.0,2.813397129186603,9.183502612121538
6486,2727.0,4.467391304347826,1842.0,-5.1521739130434785,1702.0,5.989130434782608,31660.15625,84990.56603773567,709.0,-61.0,1.8597560975609757,3.0,3.0,10333010.0,18.656898656898658,1.1890243902439026,-283.0,-39.0,8.628048780487806,709.0,0.011766011766011792,0.01176601176601179,4.2105263157894735,-880.0,600.0,-8.727272727272727,1824.0,2.8708133971291865,9.075911219334818
6487,2733.0,4.543478260869565,1835.0,-5.217391304347826,1708.0,5.923913043478261,31665.0390625,91928.57142857119,707.0,-65.0,1.981707317073171,3.0,3.0,10333170.0,18.661782661782663,0.6097560975609757,-312.0,-20.0,9.51219512195122,707.0,0.010878010878010906,0.010878010878010906,4.15311004784689,-868.0,612.0,-8.688995215311005,1816.0,2.92822966507177,9.10807951636186
6488,2734.0,4.532608695652174,1836.0,-5.228260869565217,1703.0,5.978260869565217,31669.921875,88323.5294117645,708.0,-54.0,1.6463414634146343,3.0,3.0,10333330.0,18.666666666666668,0.15243902439024393,-341.0,-5.0,10.396341463414634,708.0,0.01132201132201135,0.011322011322011348,4.2105263157894735,-880.0,600.0,-8.631578947368421,1804.0,2.8708133971291865,9.14433465773772
6489,2736.0,4.5,1839.0,-5.25,1703.0,5.978260869565217,31674.8046875,88323.5294117645,708.0,-48.0,1.4634146341463417,3.0,3.0,10333490.0,18.671550671550673,0.09146341463414635,-367.0,-3.0,11.189024390243903,708.0,0.01132201132201135,0.011322011322011348,4.229665071770334,-884.0,588.0,-8.669856459330143,1812.0,2.813397129186603,9.140683947308027
6490,2730.0,4.521739130434782,1837.0,-5.184782608695652,1711.0,5.891304347826087,31679.6875,81899.99999999984,710.0,-48.0,1.4634146341463417,3.0,3.0,10333650.0,18.676434676434678,0.1829268292682927,-397.0,-6.0,12.103658536585368,710.0,0.012210012210012234,0.012210012210012234,4.0,-836.0,592.0,-8.708133971291865,1820.0,2.832535885167464,9.057348529335313
6491,2746.0,4.565217391304348,1833.0,-5.358695652173913,1709.0,5.913043478260869,31684.5703125,84990.56603773567,709.0,-49.0,1.4939024390243905,3.0,3.0,10333810.0,18.681318681318682,-0.3353658536585366,-414.0,11.0,12.621951219512196,709.0,0.011766011766011792,0.01176601176601179,4.0,-836.0,616.0,-8.822966507177034,1844.0,2.9473684210526314,9.193525553252064
6492,2746.0,4.641304347826087,1826.0,-5.358695652173913,1718.0,5.815217391304348,31689.453125,81899.99999999984,710.0,-36.0,1.0975609756097562,3.0,3.0,10333970.0,18.686202686202687,-0.3353658536585366,-443.0,11.0,13.506097560975611,710.0,0.012210012210012234,0.012210012210012234,4.0,-836.0,604.0,-8.880382775119617,1856.0,2.889952153110048,9.169191810072766
6493,2749.0,4.510869565217392,1838.0,-5.391304347826087,1722.0,5.771739130434782,31694.3359375,88323.5294117645,708.0,-34.0,1.0365853658536586,3.0,3.0,10334130.0,18.691086691086692,-0.24390243902439027,-438.0,8.0,13.353658536585368,708.0,0.01132201132201135,0.011322011322011348,3.9617224880382773,-828.0,564.0,-8.937799043062201,1868.0,2.6985645933014353,9.095442781694857
6494,2752.0,4.3478260869565215,1853.0,-5.423913043478261,1724.0,5.75,31699.21875,81899.99999999984,710.0,-22.0,0.6707317073170732,3.0,3.0,10334290.0,18.695970695970697,-0.27439024390243905,-417.0,9.0,12.713414634146343,710.0,0.012210012210012234,0.012210012210012234,3.9617224880382773,-828.0,556.0,-8.899521531100477,1860.0,2.660287081339713,9.021359342451296
6495,2756.0,4.25,1862.0,-5.467391304347826,1725.0,5.739130434782608,31704.1015625,84990.56603773567,709.0,-11.0,0.3353658536585366,3.0,3.0,10334450.0,18.700854700854702,-0.5487804878048781,-389.0,18.0,11.859756097560977,709.0,0.011766011766011792,0.01176601176601179,3.9617224880382773,-828.0,516.0,-8.880382775119617,1856.0,2.4688995215311005,8.99402500676456
6496,2760.0,4.184782608695652,1868.0,-5.510869565217392,1728.0,5.706521739130435,31708.984375,88323.5294117645,708.0,8.0,-0.24390243902439027,3.0,3.0,10334610.0,18.705738705738707,-0.853658536585366,-353.0,28.0,10.76219512195122,708.0,0.01132201132201135,0.011322011322011348,3.8086124401913874,-796.0,504.0,-8.91866028708134,1864.0,2.4114832535885165,8.969196129311097
