,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4888,1283.0,4.532608695652174,1836.0,10.543478260869565,1.326086956521739,2131.0,62705.078125,707.0,91928.57142857119,-3976.0,121.21951219512196,3.0,3.0,13.851037851037852,9158725.0,591.0,-84.84756097560977,2783.0,-18.01829268292683,0.010878010878010906,707.0,0.010878010878010906,-0.6698564593301435,140.0,636.0,9.224880382775119,-1928.0,3.0430622009569377,11.552834372637212
4889,1285.0,4.532608695652174,1836.0,10.521739130434783,1.2934782608695652,2134.0,62709.9609375,709.0,84990.56603773567,-3915.0,119.35975609756099,3.0,3.0,13.855921855921856,9158885.0,457.0,-83.8109756097561,2749.0,-13.932926829268293,0.01176601176601179,709.0,0.011766011766011792,-0.7464114832535885,156.0,628.0,9.148325358851674,-1912.0,3.004784688995215,11.52929407761665
4890,1286.0,4.554347826086956,1834.0,10.51086956521739,1.2282608695652173,2140.0,62714.84375,706.0,95840.42553191462,-3845.0,117.22560975609757,3.0,3.0,13.860805860805861,9159045.0,313.0,-82.07317073170732,2692.0,-9.542682926829269,0.010434010434010463,706.0,0.010434010434010463,-0.8421052631578947,176.0,632.0,9.24401913875598,-1932.0,3.0239234449760763,11.520811078292246
4891,1294.0,4.532608695652174,1836.0,10.42391304347826,1.1630434782608696,2146.0,62719.7265625,706.0,95840.42553191462,-3775.0,115.09146341463416,3.0,3.0,13.865689865689866,9159205.0,179.0,-80.57926829268294,2643.0,-5.457317073170732,0.010434010434010463,706.0,0.010434010434010463,-0.8038277511961722,168.0,616.0,9.167464114832535,-1916.0,2.9473684210526314,11.426074341532312
4892,1296.0,4.576086956521739,1832.0,10.402173913043478,1.108695652173913,2151.0,62724.609375,706.0,95840.42553191462,-3709.0,113.07926829268294,3.0,3.0,13.870573870573871,9159365.0,50.0,-79.08536585365854,2594.0,-1.5243902439024393,0.010434010434010463,706.0,0.010434010434010463,-0.8612440191387559,180.0,620.0,9.033492822966506,-1888.0,2.9665071770334928,11.418187246669236
4893,1300.0,4.467391304347826,1842.0,10.358695652173912,1.076086956521739,2154.0,62729.4921875,704.0,104755.81395348875,-3633.0,110.76219512195122,3.0,3.0,13.875457875457876,9159525.0,-101.0,-77.19512195121952,2532.0,3.079268292682927,0.009546009546009511,704.0,0.009546009546009513,-0.8612440191387559,180.0,608.0,9.052631578947368,-1892.0,2.909090909090909,11.332172069754566
4894,1302.0,4.445652173913043,1844.0,10.33695652173913,1.0434782608695652,2157.0,62734.375,707.0,91928.57142857119,-3534.0,107.7439024390244,3.0,3.0,13.88034188034188,9159685.0,-234.0,-75.57926829268294,2479.0,7.134146341463415,0.010878010878010906,707.0,0.010878010878010906,-0.9186602870813396,192.0,608.0,9.033492822966506,-1888.0,2.909090909090909,11.300678752386968
4895,1303.0,4.489130434782608,1840.0,10.326086956521738,1.0108695652173914,2160.0,62739.2578125,707.0,91928.57142857119,-3457.0,105.39634146341464,3.0,3.0,13.885225885225886,9159845.0,-346.0,-73.62804878048782,2415.0,10.54878048780488,0.010878010878010906,707.0,0.010878010878010906,-0.9952153110047847,208.0,616.0,9.033492822966506,-1888.0,2.9473684210526314,11.304964448065402
4896,1306.0,4.521739130434782,1837.0,10.293478260869565,1.0,2161.0,62744.140625,705.0,100099.99999999968,-3358.0,102.37804878048782,3.0,3.0,13.89010989010989,9160005.0,-467.0,-72.19512195121952,2368.0,14.237804878048781,0.009990009990010021,705.0,0.009990009990010023,-0.9760765550239234,204.0,600.0,9.033492822966506,-1888.0,2.8708133971291865,11.287241446460664
4897,1300.0,4.434782608695652,1845.0,10.358695652173912,0.9565217391304348,2165.0,62749.0234375,703.0,109865.85365853697,-3282.0,100.06097560975611,3.0,3.0,13.894993894993895,9160165.0,-554.0,-70.70121951219512,2319.0,16.890243902439025,0.00910200910200907,703.0,0.00910200910200907,-0.9952153110047847,208.0,592.0,9.014354066985646,-1884.0,2.832535885167464,11.308616459947045
4898,1305.0,4.315217391304348,1856.0,10.304347826086957,1.0326086956521738,2158.0,62753.90625,704.0,104755.81395348875,-3211.0,97.89634146341464,3.0,3.0,13.8998778998779,9160325.0,-632.0,-69.42073170731707,2277.0,19.26829268292683,0.009546009546009511,704.0,0.009546009546009513,-0.9569377990430622,200.0,564.0,8.995215311004785,-1880.0,2.6985645933014353,11.219044788819366
4899,1305.0,4.239130434782608,1863.0,10.304347826086957,0.9891304347826086,2162.0,62758.7890625,707.0,91928.57142857119,-3117.0,95.03048780487806,3.0,3.0,13.904761904761905,9160485.0,-684.0,-68.01829268292684,2231.0,20.853658536585368,0.010878010878010906,707.0,0.010878010878010906,-0.9186602870813396,192.0,544.0,9.07177033492823,-1896.0,2.602870813397129,11.186071248704632
4900,1303.0,4.141304347826087,1872.0,10.326086956521738,0.9891304347826086,2162.0,62763.671875,706.0,95840.42553191462,-3044.0,92.8048780487805,3.0,3.0,13.90964590964591,9160645.0,-715.0,-66.85975609756098,2193.0,21.79878048780488,0.010434010434010463,706.0,0.010434010434010463,-0.9760765550239234,204.0,536.0,9.033492822966506,-1888.0,2.5645933014354068,11.169460709988861
