,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4184,9.902173913043478,1723.0,5.760869565217392,1342.0,-0.6304347826086957,2311.0,26303.7109375,91928.57142857119,707.0,-12.134146341463415,398.0,3.0,3.0,5412222.0,10.412698412698413,-849.0,24.481707317073173,25.884146341463417,-803.0,0.010878010878010906,707.0,0.010878010878010906,600.0,-2.8708133971291865,3.866028708133971,1836.0,-808.0,8.78468899521531,11.473365433329914
4185,9.880434782608695,1716.0,5.83695652173913,1344.0,-0.6847826086956521,2316.0,26308.59375,91928.57142857119,707.0,-12.560975609756099,412.0,3.0,3.0,5412382.0,10.417582417582418,-872.0,24.695121951219516,26.58536585365854,-810.0,0.010878010878010906,707.0,0.010878010878010906,592.0,-2.832535885167464,3.9617224880382773,1812.0,-828.0,8.669856459330143,11.496172413078568
4186,9.695652173913043,1714.0,5.858695652173913,1361.0,-0.6086956521739131,2309.0,26313.4765625,91928.57142857119,707.0,-13.231707317073171,434.0,3.0,3.0,5412542.0,10.422466422466423,-850.0,24.81707317073171,25.914634146341466,-814.0,0.010878010878010906,707.0,0.010878010878010906,600.0,-2.8708133971291865,3.942583732057416,1776.0,-824.0,8.497607655502392,11.344624110973516
4187,9.5,1715.0,5.8478260869565215,1379.0,-0.6413043478260869,2312.0,26318.359375,88323.5294117645,708.0,-13.201219512195124,433.0,3.0,3.0,5412702.0,10.427350427350428,-813.0,24.908536585365855,24.78658536585366,-817.0,0.01132201132201135,708.0,0.011322011322011348,588.0,-2.813397129186603,3.923444976076555,1764.0,-820.0,8.440191387559809,11.174002917926497
4188,9.5,1715.0,5.8478260869565215,1379.0,-0.6847826086956521,2316.0,26323.2421875,84990.56603773567,709.0,-13.29268292682927,436.0,3.0,3.0,5412862.0,10.432234432234432,-763.0,24.969512195121954,23.262195121951223,-819.0,0.011766011766011792,709.0,0.01176601176601179,608.0,-2.909090909090909,3.9617224880382773,1724.0,-828.0,8.248803827751196,11.176582535125004
4189,9.554347826086957,1716.0,5.83695652173913,1374.0,-0.8043478260869565,2327.0,26328.125,95840.42553191462,706.0,-13.536585365853659,444.0,3.0,3.0,5413022.0,10.437118437118437,-732.0,25.121951219512198,22.31707317073171,-824.0,0.010434010434010463,706.0,0.010434010434010463,592.0,-2.832535885167464,3.9617224880382773,1748.0,-828.0,8.363636363636363,11.22508793924824
4190,9.532608695652174,1711.0,5.891304347826087,1376.0,-0.7608695652173912,2323.0,26333.0078125,104755.81395348875,704.0,-14.02439024390244,460.0,3.0,3.0,5413182.0,10.442002442002442,-717.0,25.426829268292686,21.85975609756098,-834.0,0.009546009546009513,704.0,0.009546009546009511,608.0,-2.909090909090909,3.923444976076555,1748.0,-820.0,8.363636363636363,11.231964118461743
4191,9.478260869565217,1714.0,5.858695652173913,1381.0,-0.6956521739130435,2317.0,26337.890625,109865.85365853697,703.0,-14.786585365853659,485.0,3.0,3.0,5413342.0,10.446886446886447,-699.0,25.701219512195124,21.3109756097561,-843.0,0.00910200910200907,703.0,0.00910200910200907,612.0,-2.92822966507177,4.0,1740.0,-836.0,8.325358851674642,11.164482782619293
4192,9.48913043478261,1711.0,5.891304347826087,1380.0,-0.7717391304347826,2324.0,26342.7734375,95840.42553191462,706.0,-15.396341463414636,505.0,3.0,3.0,5413502.0,10.451770451770452,-722.0,26.00609756097561,22.012195121951223,-853.0,0.010434010434010463,706.0,0.010434010434010463,620.0,-2.9665071770334928,3.9617224880382773,1744.0,-828.0,8.344497607655502,11.195831573066664
4193,9.456521739130434,1709.0,5.913043478260869,1383.0,-0.8369565217391304,2330.0,26347.65625,91928.57142857119,707.0,-16.402439024390244,538.0,3.0,3.0,5413662.0,10.456654456654457,-738.0,26.34146341463415,22.500000000000004,-864.0,0.010878010878010906,707.0,0.010878010878010906,620.0,-2.9665071770334928,4.038277511961723,1716.0,-844.0,8.210526315789473,11.184381198695418
