,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4187,1528.0,7.6521739130434785,1549.0,7.880434782608695,2142.0,1.2065217391304348,37856.4453125,88323.5294117645,708.0,-6452.0,196.70731707317074,3.0,3.0,10.427350427350428,8374943.0,29.176829268292686,2395.0,-957.0,-73.01829268292684,708.0,0.01132201132201135,0.011322011322011348,208.0,-0.9952153110047847,1316.0,6.0669856459330145,-1268.0,6.296650717703349,11.05046210189449
4188,1551.0,7.521739130434782,1561.0,7.630434782608695,2144.0,1.184782608695652,37861.328125,88323.5294117645,708.0,-6338.0,193.2317073170732,3.0,3.0,10.432234432234432,8375103.0,31.189024390243905,2441.0,-1023.0,-74.42073170731707,708.0,0.01132201132201135,0.011322011322011348,180.0,-0.8612440191387559,1276.0,5.722488038277512,-1196.0,6.105263157894736,10.779786841483745
4189,1579.0,7.489130434782608,1564.0,7.326086956521739,2148.0,1.141304347826087,37866.2109375,88323.5294117645,708.0,-6240.0,190.2439024390244,3.0,3.0,10.437118437118437,8375263.0,33.68902439024391,2495.0,-1105.0,-76.06707317073172,708.0,0.01132201132201135,0.011322011322011348,180.0,-0.8612440191387559,1524.0,5.645933014354067,-1180.0,7.291866028708133,10.538557794028167
4190,1597.0,7.510869565217391,1562.0,7.130434782608695,2157.0,1.0434782608695652,37871.09375,91928.57142857119,707.0,-6113.0,186.37195121951223,3.0,3.0,10.442002442002442,8375423.0,37.04268292682927,2541.0,-1215.0,-77.46951219512196,707.0,0.010878010878010906,0.010878010878010906,192.0,-0.9186602870813396,1300.0,5.358851674641148,-1120.0,6.220095693779904,10.408895652068578
4191,1617.0,7.58695652173913,1555.0,6.913043478260869,2151.0,1.108695652173913,37875.9765625,91928.57142857119,707.0,-5973.0,182.10365853658539,3.0,3.0,10.446886446886447,8375583.0,39.75609756097561,2635.0,-1304.0,-80.33536585365854,707.0,0.010878010878010906,0.010878010878010906,188.0,-0.8995215311004784,1316.0,5.071770334928229,-1060.0,6.296650717703349,10.323821261734164
4192,1637.0,7.423913043478261,1570.0,6.695652173913043,2149.0,1.1304347826086956,37880.859375,100099.99999999968,705.0,-5775.0,176.06707317073173,3.0,3.0,10.451770451770452,8375743.0,43.07926829268293,2677.0,-1413.0,-81.6158536585366,705.0,0.009990009990010023,0.009990009990010021,200.0,-0.9569377990430622,1284.0,4.880382775119617,-1020.0,6.143540669856459,10.061020112736315
4193,1652.0,7.25,1586.0,6.532608695652174,2153.0,1.0869565217391304,37885.7421875,91928.57142857119,707.0,-5584.0,170.2439024390244,3.0,3.0,10.456654456654457,8375903.0,46.4329268292683,2669.0,-1523.0,-81.3719512195122,707.0,0.010878010878010906,0.010878010878010906,188.0,-0.8995215311004784,1236.0,4.708133971291866,-984.0,5.913875598086124,9.819315192550935
4194,1649.0,6.913043478260869,1617.0,6.565217391304348,2145.0,1.1739130434782608,37890.625,88323.5294117645,708.0,-5354.0,163.2317073170732,3.0,3.0,10.461538461538462,8376063.0,49.207317073170735,2666.0,-1614.0,-81.28048780487805,708.0,0.01132201132201135,0.011322011322011348,168.0,-0.8038277511961722,1160.0,4.746411483253588,-992.0,5.55023923444976,9.605744185697358
4195,1652.0,6.5978260869565215,1646.0,6.532608695652174,2127.0,1.3695652173913042,37895.5078125,79026.31578947355,711.0,-5150.0,157.01219512195124,3.0,3.0,10.466422466422467,8376223.0,51.03658536585366,2692.0,-1674.0,-82.07317073170732,711.0,0.012654012654012677,0.012654012654012677,168.0,-0.8038277511961722,1088.0,4.650717703349282,-972.0,5.205741626794258,9.385200814522964
4196,1653.0,6.391304347826087,1665.0,6.521739130434782,2135.0,1.2826086956521738,37900.390625,95840.42553191462,706.0,-4986.0,152.01219512195124,3.0,3.0,10.471306471306471,8376383.0,52.774390243902445,2666.0,-1731.0,-81.28048780487805,706.0,0.010434010434010463,0.010434010434010463,152.0,-0.7272727272727273,1028.0,4.650717703349282,-972.0,4.918660287081339,9.221005239026136
4197,1669.0,6.239130434782608,1679.0,6.3478260869565215,2135.0,1.2826086956521738,37905.2734375,88323.5294117645,708.0,-4802.0,146.40243902439025,3.0,3.0,10.476190476190476,8376543.0,54.84756097560976,2654.0,-1799.0,-80.91463414634147,708.0,0.01132201132201135,0.011322011322011348,144.0,-0.6889952153110047,1004.0,4.45933014354067,-932.0,4.803827751196172,8.992593045314512
