,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
4004,7.880434782608695,553.0,18.47826086956522,1528.0,1748.0,5.489130434782608,19541.015625,91928.57142857119,707.0,10319.0,-314.6036585365854,3.0,3.0,9.533577533577533,7756315.0,-104.0,236.55487804878052,-7759.0,3.1707317073170733,0.010878010878010906,0.010878010878010906,707.0,-800.0,3.827751196172249,18.00956937799043,1356.0,6.488038277511961,-3764.0,20.82493529537873
4005,7.543478260869565,537.0,18.652173913043477,1559.0,1749.0,5.478260869565217,19545.8984375,81899.99999999984,710.0,10097.0,-307.8353658536586,3.0,3.0,9.538461538461538,7756475.0,350.0,235.7926829268293,-7734.0,-10.670731707317074,0.012210012210012234,0.012210012210012234,710.0,-772.0,3.69377990430622,18.162679425837318,1260.0,6.028708133971292,-3796.0,20.8523139749439
4006,7.315217391304348,523.0,18.804347826086957,1580.0,1763.0,5.326086956521739,19550.78125,100099.99999999968,705.0,9913.0,-302.2256097560976,3.0,3.0,9.543345543345543,7756635.0,805.0,235.39634146341464,-7721.0,-24.542682926829272,0.009990009990010023,0.009990009990010021,705.0,-756.0,3.617224880382775,18.33492822966507,1236.0,5.913875598086124,-3832.0,20.86823195469453
4007,7.206521739130435,505.0,19.0,1590.0,1768.0,5.271739130434782,19555.6640625,88323.5294117645,708.0,9755.0,-297.4085365853659,3.0,3.0,9.548229548229548,7756795.0,1226.0,234.60365853658539,-7695.0,-37.37804878048781,0.01132201132201135,0.011322011322011348,708.0,-756.0,3.617224880382775,18.679425837320572,1224.0,5.85645933014354,-3904.0,20.993455862147062
4008,7.141304347826087,479.0,19.282608695652172,1596.0,1771.0,5.239130434782608,19560.546875,88323.5294117645,708.0,9638.0,-293.8414634146342,3.0,3.0,9.553113553113553,7756955.0,1631.0,232.9878048780488,-7642.0,-49.72560975609757,0.01132201132201135,0.011322011322011348,708.0,-760.0,3.6363636363636362,18.985645933014354,1212.0,5.7990430622009566,-3968.0,21.21946544120718
4009,7.1521739130434785,457.0,19.52173913043478,1595.0,1773.0,5.217391304347826,19565.4296875,88323.5294117645,708.0,9552.0,-291.219512195122,3.0,3.0,9.557997557997558,7757115.0,2008.0,230.7926829268293,-7570.0,-61.21951219512196,0.01132201132201135,0.011322011322011348,708.0,-732.0,3.5023923444976077,19.196172248803826,1208.0,5.779904306220096,-4012.0,21.43532277298041
4010,7.239130434782608,438.0,19.728260869565215,1587.0,1782.0,5.119565217391304,19570.3125,88323.5294117645,708.0,9465.0,-288.56707317073176,3.0,3.0,9.562881562881563,7757275.0,2339.0,228.2317073170732,-7486.0,-71.3109756097561,0.01132201132201135,0.011322011322011348,708.0,-708.0,3.38755980861244,19.464114832535884,1232.0,5.894736842105263,-4068.0,21.62912930296864
4011,7.239130434782608,420.0,19.92391304347826,1587.0,1790.0,5.032608695652174,19575.1953125,88323.5294117645,708.0,9392.0,-286.3414634146342,3.0,3.0,9.567765567765568,7757435.0,2609.0,224.39024390243904,-7360.0,-79.54268292682927,0.01132201132201135,0.011322011322011348,708.0,-676.0,3.2344497607655502,19.674641148325357,1244.0,5.952153110047846,-4112.0,21.78748426733644
4012,7.315217391304348,407.0,20.065217391304348,1580.0,1793.0,5.0,19580.078125,88323.5294117645,708.0,9337.0,-284.6646341463415,3.0,3.0,9.572649572649572,7757595.0,2816.0,221.12804878048783,-7253.0,-85.85365853658537,0.01132201132201135,0.011322011322011348,708.0,-684.0,3.2727272727272725,19.808612440191386,1260.0,6.028708133971292,-4140.0,21.934569848582488
4013,7.434782608695652,397.0,20.17391304347826,1569.0,1792.0,5.010869565217392,19584.9609375,91928.57142857119,707.0,9263.0,-282.4085365853659,3.0,3.0,9.577533577533577,7757755.0,3003.0,217.59146341463418,-7137.0,-91.5548780487805,0.010878010878010906,0.010878010878010906,707.0,-688.0,3.291866028708134,19.885167464114833,1300.0,6.220095693779904,-4156.0,22.07649369179824
4014,7.58695652173913,388.0,20.27173913043478,1555.0,1781.0,5.130434782608695,19589.84375,88323.5294117645,708.0,9186.0,-280.0609756097561,3.0,3.0,9.582417582417582,7757915.0,3125.0,214.26829268292684,-7028.0,-95.27439024390245,0.01132201132201135,0.011322011322011348,708.0,-692.0,3.311004784688995,20.0,1360.0,6.507177033492822,-4180.0,22.24469999109365
4015,7.815217391304348,377.0,20.391304347826086,1534.0,1779.0,5.1521739130434785,19594.7265625,81899.99999999984,710.0,9093.0,-277.2256097560976,3.0,3.0,9.587301587301587,7758075.0,3215.0,210.39634146341464,-6901.0,-98.01829268292684,0.012210012210012234,0.012210012210012234,710.0,-724.0,3.464114832535885,20.19138755980861,1400.0,6.698564593301435,-4220.0,22.43719705999978
4016,8.065217391304348,364.0,20.532608695652172,1511.0,1766.0,5.293478260869565,19599.609375,88323.5294117645,708.0,9007.0,-274.6036585365854,3.0,3.0,9.592185592185592,7758235.0,3236.0,206.28048780487808,-6766.0,-98.65853658536587,0.01132201132201135,0.011322011322011348,708.0,-752.0,3.5980861244019136,20.382775119617225,1464.0,7.0047846889952154,-4260.0,22.68604556805941
4017,8.326086956521738,349.0,20.695652173913043,1487.0,1751.0,5.456521739130435,19604.4921875,84990.56603773567,709.0,8924.0,-272.07317073170736,3.0,3.0,9.597069597069597,7758395.0,3222.0,201.31097560975613,-6603.0,-98.23170731707317,0.011766011766011792,0.01176601176601179,709.0,-812.0,3.8851674641148324,20.593301435406698,1548.0,7.4066985645933014,-4304.0,22.965351562751135
