,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2454,1984.0,4.891304347826087,2.9239130434782608,1803.0,10.326086956521738,1303.0,11972.65625,701.0,121743.24324324368,-1.1585365853658538,38.0,3.0,3.0,10847237.0,7.965811965811966,-23.0,1.5243902439024393,0.701219512195122,-50.0,0.008214008214008185,0.008214008214008185,701.0,-1816.0,8.688995215311005,0.8038277511961722,660.0,-168.0,3.1578947368421053,11.794159467403054
2455,1982.0,4.8478260869565215,2.9456521739130435,1807.0,10.347826086956522,1301.0,11977.5390625,702.0,115500.00000000041,0.39634146341463417,-13.0,3.0,3.0,10847397.0,7.970695970695971,54.0,0.030487804878048783,-1.6463414634146343,-1.0,0.008658008658008629,0.008658008658008627,702.0,-1868.0,8.937799043062201,0.7655502392344498,748.0,-160.0,3.5789473684210527,11.800669015990268
2456,1997.0,5.228260869565217,2.782608695652174,1772.0,10.402173913043478,1296.0,11982.421875,701.0,121743.24324324368,1.3109756097560976,-43.0,3.0,3.0,10847557.0,7.975579975579976,83.0,1.6463414634146343,-2.530487804878049,-54.0,0.008214008214008185,0.008214008214008185,701.0,-1868.0,8.937799043062201,0.36363636363636365,784.0,-76.0,3.751196172248804,11.970081244108087
2457,2000.0,4.923913043478261,2.75,1800.0,10.597826086956522,1278.0,11987.3046875,701.0,121743.24324324368,-0.06097560975609757,2.0,3.0,3.0,10847717.0,7.9804639804639805,131.0,1.0060975609756098,-3.9939024390243905,-33.0,0.008214008214008185,0.008214008214008185,701.0,-1904.0,9.110047846889952,0.42105263157894735,660.0,-88.0,3.1578947368421053,12.005054661646131
2458,1999.0,4.630434782608695,2.760869565217391,1827.0,10.565217391304348,1281.0,11992.1875,701.0,121743.24324324368,-0.9146341463414634,30.0,3.0,3.0,10847877.0,7.985347985347985,186.0,0.39634146341463417,-5.670731707317073,-13.0,0.008214008214008185,0.008214008214008185,701.0,-1892.0,9.052631578947368,0.4019138755980861,624.0,-84.0,2.985645933014354,11.861161222985546
2459,2008.0,4.728260869565217,2.6630434782608696,1818.0,10.619565217391305,1276.0,11997.0703125,702.0,115500.00000000041,0.030487804878048783,-1.0,3.0,3.0,10848037.0,7.99023199023199,217.0,-0.4573170731707317,-6.615853658536586,15.0,0.008658008658008629,0.008658008658008627,702.0,-1900.0,9.09090909090909,0.3827751196172249,664.0,-80.0,3.177033492822966,11.925745965104095
2460,2002.0,5.076086956521739,2.7282608695652173,1786.0,10.597826086956522,1278.0,12001.953125,703.0,109865.85365853697,0.9756097560975611,-32.0,3.0,3.0,10848197.0,7.995115995115995,208.0,-0.12195121951219513,-6.341463414634147,4.0,0.00910200910200907,0.00910200910200907,703.0,-1896.0,9.07177033492823,0.3827751196172249,756.0,-80.0,3.617224880382775,12.063332206813632
2461,2002.0,5.282608695652174,2.7282608695652173,1767.0,10.543478260869565,1283.0,12006.8359375,700.0,128700.00000000045,0.9756097560975611,-32.0,3.0,3.0,10848357.0,8.0,157.0,-0.8231707317073171,-4.786585365853659,27.0,0.007770007770007743,0.007770007770007743,700.0,-1896.0,9.07177033492823,0.5358851674641149,808.0,-112.0,3.866028708133971,12.104308978260999
2462,2005.0,5.423913043478261,2.6956521739130435,1754.0,10.434782608695652,1293.0,12011.71875,701.0,121743.24324324368,0.6097560975609757,-20.0,3.0,3.0,10848517.0,8.004884004884005,89.0,-0.6402439024390244,-2.713414634146342,21.0,0.008214008214008185,0.008214008214008185,701.0,-1864.0,8.91866028708134,0.4401913875598086,828.0,-92.0,3.9617224880382773,12.065241872282254
2463,2004.0,5.3478260869565215,2.7065217391304346,1761.0,10.467391304347826,1290.0,12016.6015625,703.0,109865.85365853697,1.7987804878048783,-59.0,3.0,3.0,10848677.0,8.00976800976801,73.0,-1.2500000000000002,-2.2256097560975614,41.0,0.00910200910200907,0.00910200910200907,703.0,-1864.0,8.91866028708134,0.4401913875598086,832.0,-92.0,3.9808612440191387,12.061956080961945
