,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
3927,881.0,3.5217391304347827,1929.0,14.91304347826087,2146.0,1.1630434782608696,29770.5078125,707.0,91928.57142857119,-18.56707317073171,609.0,3.0,3.0,14.158730158730158,14792673.0,-18.414634146341466,1502.0,604.0,-45.79268292682927,0.010878010878010906,0.010878010878010906,707.0,192.0,-0.9186602870813396,14.143540669856458,348.0,1.6650717703349283,-2956.0,15.36730888671337
3928,887.0,3.3369565217391304,1946.0,14.847826086956522,2170.0,0.9021739130434783,29775.390625,704.0,104755.81395348875,-16.920731707317074,555.0,3.0,3.0,14.163614163614163,14792833.0,-18.262195121951223,1727.0,599.0,-52.65243902439025,0.009546009546009513,0.009546009546009511,704.0,256.0,-1.2248803827751196,14.047846889952153,316.0,1.5119617224880382,-2936.0,15.244905250799695
3929,895.0,3.1956521739130435,1959.0,14.76086956521739,2190.0,0.6847826086956521,29780.2734375,706.0,95840.42553191462,-15.945121951219514,523.0,3.0,3.0,14.168498168498168,14792993.0,-17.896341463414636,1952.0,587.0,-59.51219512195122,0.010434010434010463,0.010434010434010463,706.0,296.0,-1.416267942583732,13.952153110047846,288.0,1.3779904306220094,-2916.0,15.118346151585769
3930,898.0,3.032608695652174,1974.0,14.728260869565217,2207.0,0.5,29785.15625,706.0,95840.42553191462,-15.640243902439027,513.0,3.0,3.0,14.173382173382173,14793153.0,-16.85975609756098,2152.0,553.0,-65.60975609756098,0.010434010434010463,0.010434010434010463,706.0,304.0,-1.4545454545454546,13.875598086124402,272.0,1.3014354066985645,-2900.0,15.045543650626625
3931,906.0,2.9456521739130435,1982.0,14.641304347826086,2220.0,0.358695652173913,29790.0390625,706.0,95840.42553191462,-15.426829268292684,506.0,3.0,3.0,14.178266178266178,14793313.0,-16.432926829268293,2336.0,539.0,-71.21951219512196,0.010434010434010463,0.010434010434010463,706.0,348.0,-1.6650717703349283,13.818181818181818,240.0,1.1483253588516746,-2888.0,14.938986655936144
3932,903.0,2.793478260869565,1996.0,14.67391304347826,2235.0,0.19565217391304346,29794.921875,706.0,95840.42553191462,-15.30487804878049,502.0,3.0,3.0,14.183150183150182,14793473.0,-15.243902439024392,2503.0,500.0,-76.3109756097561,0.010434010434010463,0.010434010434010463,706.0,372.0,-1.7799043062200957,13.933014354066986,208.0,0.9952153110047847,-2912.0,14.938725667695659
3933,899.0,2.6739130434782608,2007.0,14.717391304347826,2236.0,0.18478260869565216,29799.8046875,706.0,95840.42553191462,-15.853658536585368,520.0,3.0,3.0,14.188034188034187,14793633.0,-14.05487804878049,2642.0,461.0,-80.54878048780489,0.010434010434010463,0.010434010434010463,706.0,380.0,-1.8181818181818181,13.913875598086124,184.0,0.8803827751196172,-2908.0,14.959463973747608
3934,889.0,2.641304347826087,2010.0,14.826086956521738,2238.0,0.16304347826086957,29804.6875,707.0,91928.57142857119,-16.85975609756098,553.0,3.0,3.0,14.192918192918192,14793793.0,-12.926829268292684,2746.0,424.0,-83.71951219512196,0.010878010878010906,0.010878010878010906,707.0,380.0,-1.8181818181818181,14.047846889952153,200.0,0.9569377990430622,-2936.0,15.060409233350613
3935,876.0,2.630434782608696,2011.0,14.967391304347826,2234.0,0.20652173913043478,29809.5703125,707.0,91928.57142857119,-18.170731707317074,596.0,3.0,3.0,14.197802197802197,14793953.0,-12.500000000000002,2804.0,410.0,-85.48780487804879,0.010878010878010906,0.010878010878010906,707.0,360.0,-1.7224880382775118,14.258373205741627,200.0,0.9569377990430622,-2980.0,15.198178865632489
3936,860.0,2.7717391304347827,1998.0,15.141304347826086,2224.0,0.31521739130434784,29814.453125,709.0,84990.56603773567,-20.09146341463415,659.0,3.0,3.0,14.202686202686202,14794113.0,-12.164634146341465,2841.0,399.0,-86.6158536585366,0.011766011766011792,0.01176601176601179,709.0,352.0,-1.6842105263157894,14.4688995215311,220.0,1.0526315789473684,-3024.0,15.396135786763548
