,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
6121,0.8369565217391304,2613.0,2176.0,-3.9130434782608696,1496.0,8.228260869565217,38461.9140625,95840.42553191462,706.0,-101.0,3.079268292682927,3.0,3.0,1897283.0,13.875457875457876,-137.0,-0.853658536585366,28.0,4.176829268292684,0.010434010434010463,706.0,0.010434010434010463,6.698564593301435,-1400.0,-240.0,-7.062200956937799,-1.1483253588516746,1476.0,9.149682093912318
6122,0.9130434782608695,2611.0,2169.0,-3.891304347826087,1497.0,8.217391304347826,38466.796875,100099.99999999968,705.0,-83.0,2.530487804878049,3.0,3.0,1897443.0,13.88034188034188,-120.0,-0.8231707317073171,27.0,3.658536585365854,0.009990009990010023,705.0,0.009990009990010021,6.583732057416268,-1376.0,-256.0,-7.1387559808612435,-1.2248803827751196,1492.0,9.137911017807964
6123,0.8260869565217391,2609.0,2177.0,-3.869565217391304,1498.0,8.206521739130434,38471.6796875,104755.81395348875,704.0,-83.0,2.530487804878049,3.0,3.0,1897603.0,13.885225885225886,-116.0,-0.8841463414634148,29.0,3.536585365853659,0.009546009546009513,704.0,0.009546009546009511,6.583732057416268,-1376.0,-232.0,-7.043062200956937,-1.1100478468899522,1472.0,9.11059568229215
6124,0.8478260869565217,2605.0,2175.0,-3.8260869565217392,1501.0,8.17391304347826,38476.5625,95840.42553191462,706.0,-84.0,2.5609756097560976,3.0,3.0,1897763.0,13.89010989010989,-111.0,-0.7926829268292683,26.0,3.3841463414634148,0.010434010434010463,706.0,0.010434010434010463,6.602870813397129,-1380.0,-248.0,-7.100478468899521,-1.186602870813397,1484.0,9.064800324052031
6125,0.7826086956521738,2613.0,2181.0,-3.9130434782608696,1494.0,8.25,38481.4453125,100099.99999999968,705.0,-73.0,2.2256097560975614,3.0,3.0,1897923.0,13.894993894993895,-95.0,-1.128048780487805,37.0,2.8963414634146343,0.009990009990010023,705.0,0.009990009990010021,6.507177033492822,-1360.0,-240.0,-7.08133971291866,-1.1483253588516746,1480.0,9.164435914625097
6126,0.7608695652173912,2607.0,2183.0,-3.8478260869565215,1501.0,8.17391304347826,38486.328125,91928.57142857119,707.0,-68.0,2.073170731707317,3.0,3.0,1898083.0,13.8998778998779,-83.0,-1.128048780487805,37.0,2.530487804878049,0.010878010878010906,707.0,0.010878010878010906,6.545454545454545,-1368.0,-248.0,-7.157894736842105,-1.186602870813397,1496.0,9.066286038565146
6127,0.7065217391304348,2610.0,2188.0,-3.8804347826086953,1500.0,8.184782608695652,38491.2109375,88323.5294117645,708.0,-66.0,2.0121951219512195,3.0,3.0,1898243.0,13.904761904761905,-70.0,-1.1585365853658538,38.0,2.1341463414634148,0.01132201132201135,708.0,0.011322011322011348,6.526315789473684,-1364.0,-236.0,-7.157894736842105,-1.1291866028708133,1496.0,9.085571716823884
6128,0.8369565217391304,2616.0,2176.0,-3.9456521739130435,1501.0,8.17391304347826,38496.09375,88323.5294117645,708.0,-46.0,1.402439024390244,3.0,3.0,1898403.0,13.90964590964591,-58.0,-1.2195121951219514,40.0,1.7682926829268295,0.01132201132201135,708.0,0.011322011322011348,6.564593301435407,-1372.0,-264.0,-7.119617224880383,-1.263157894736842,1488.0,9.114906567767463
6129,0.8478260869565217,2607.0,2175.0,-3.8478260869565215,1506.0,8.119565217391305,38500.9765625,100099.99999999968,705.0,-37.0,1.128048780487805,3.0,3.0,1898563.0,13.914529914529915,-36.0,-1.3109756097560976,43.0,1.0975609756097562,0.009990009990010023,705.0,0.009990009990010021,6.507177033492822,-1360.0,-236.0,-7.177033492822966,-1.1291866028708133,1500.0,9.02507141183148
6130,0.8478260869565217,2614.0,2175.0,-3.9239130434782608,1500.0,8.184782608695652,38505.859375,100099.99999999968,705.0,-36.0,1.0975609756097562,3.0,3.0,1898723.0,13.91941391941392,-17.0,-1.402439024390244,46.0,0.5182926829268293,0.009990009990010023,705.0,0.009990009990010021,6.526315789473684,-1364.0,-240.0,-7.100478468899521,-1.1483253588516746,1484.0,9.116280436565653
6131,0.8804347826086957,2611.0,2172.0,-3.891304347826087,1508.0,8.097826086956522,38510.7421875,95840.42553191462,706.0,-28.0,0.853658536585366,3.0,3.0,1898883.0,13.924297924297925,-2.0,-1.6158536585365855,53.0,0.06097560975609757,0.010434010434010463,706.0,0.010434010434010463,6.526315789473684,-1364.0,-232.0,-7.119617224880383,-1.1100478468899522,1488.0,9.027303155894954
