,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
2826,3.358695652173913,1297.0,1944.0,10.391304347826086,2008.0,2.6630434782608696,13789.0625,702.0,115500.00000000041,7.164634146341464,-235.0,3.0,3.0,7555845.0,11.785103785103786,1482.0,-17.04268292682927,-45.1829268292683,559.0,702.0,0.008658008658008627,0.008658008658008629,-184.0,0.8803827751196172,9.148325358851674,324.0,1.5502392344497606,-1912.0,11.240633572009587
2827,3.3043478260869565,1311.0,1949.0,10.239130434782608,2004.0,2.7065217391304346,13793.9453125,702.0,115500.00000000041,8.567073170731708,-281.0,3.0,3.0,7556005.0,11.78998778998779,1212.0,-14.908536585365855,-36.951219512195124,489.0,702.0,0.008658008658008627,0.008658008658008629,-188.0,0.8995215311004784,8.995215311004785,340.0,1.6267942583732056,-1880.0,11.094312350959058
2828,3.391304347826087,1314.0,1941.0,10.206521739130434,2003.0,2.717391304347826,13798.828125,705.0,100099.99999999968,9.390243902439025,-308.0,3.0,3.0,7556165.0,11.794871794871796,920.0,-12.621951219512196,-28.04878048780488,414.0,705.0,0.009990009990010023,0.009990009990010021,-200.0,0.9569377990430622,8.861244019138756,356.0,1.7033492822966507,-1852.0,11.093162159270522
2829,3.4239130434782608,1321.0,1938.0,10.130434782608695,2004.0,2.7065217391304346,13803.7109375,705.0,100099.99999999968,10.54878048780488,-346.0,3.0,3.0,7556325.0,11.7997557997558,632.0,-10.30487804878049,-19.26829268292683,338.0,705.0,0.009990009990010023,0.009990009990010021,-188.0,0.8995215311004784,8.803827751196172,368.0,1.7607655502392343,-1840.0,11.030600588289573
2830,3.4456521739130435,1324.0,1936.0,10.097826086956522,1998.0,2.7717391304347827,13808.59375,706.0,95840.42553191462,11.371951219512196,-373.0,3.0,3.0,7556485.0,11.804639804639805,323.0,-7.8048780487804885,-9.847560975609756,256.0,706.0,0.010434010434010463,0.010434010434010463,-200.0,0.9569377990430622,8.746411483253588,368.0,1.7607655502392343,-1828.0,11.023663111379753
2831,3.391304347826087,1322.0,1941.0,10.119565217391305,1994.0,2.8152173913043477,13813.4765625,706.0,95840.42553191462,12.53048780487805,-411.0,3.0,3.0,7556645.0,11.80952380952381,22.0,-5.975609756097562,-0.6707317073170732,196.0,706.0,0.010434010434010463,0.010434010434010463,-216.0,1.0334928229665072,8.688995215311005,384.0,1.8373205741626792,-1816.0,11.037753137705268
2832,3.4565217391304346,1329.0,1935.0,10.043478260869565,1985.0,2.9130434782608696,13818.359375,708.0,88323.5294117645,12.896341463414636,-423.0,3.0,3.0,7556805.0,11.814407814407815,-267.0,-3.5975609756097566,8.140243902439025,118.0,708.0,0.01132201132201135,0.011322011322011348,-224.0,1.0717703349282297,8.650717703349281,372.0,1.7799043062200957,-1808.0,11.013846758325585
2833,3.4130434782608696,1333.0,1939.0,10.0,1994.0,2.8152173913043477,13823.2421875,706.0,95840.42553191462,13.475609756097562,-442.0,3.0,3.0,7556965.0,11.81929181929182,-549.0,-1.402439024390244,16.73780487804878,46.0,706.0,0.010434010434010463,0.010434010434010463,-216.0,1.0334928229665072,8.669856459330143,348.0,1.6650717703349283,-1812.0,10.935004103556684
2834,3.358695652173913,1332.0,1944.0,10.01086956521739,1990.0,2.858695652173913,13828.125,707.0,91928.57142857119,14.05487804878049,-461.0,3.0,3.0,7557125.0,11.824175824175825,-802.0,0.6402439024390244,24.451219512195124,-21.0,707.0,0.010878010878010906,0.010878010878010906,-228.0,1.0909090909090908,8.708133971291865,340.0,1.6267942583732056,-1820.0,10.93940065851351
2835,3.3152173913043477,1327.0,1948.0,10.065217391304348,1985.0,2.9130434782608696,13833.0078125,706.0,95840.42553191462,14.085365853658537,-462.0,3.0,3.0,7557285.0,11.82905982905983,-1064.0,2.408536585365854,32.43902439024391,-79.0,706.0,0.010434010434010463,0.010434010434010463,-216.0,1.0334928229665072,8.822966507177034,340.0,1.6267942583732056,-1844.0,10.990227012762771
