,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
1720,1414.0,3.282608695652174,1951.0,9.119565217391305,1883.0,4.021739130434782,57500.0,91928.57142857119,707.0,15.76219512195122,-517.0,3.0,3.0,6.383394383394384,3044957.0,451.0,-24.939024390243905,818.0,-13.750000000000002,0.010878010878010906,707.0,0.010878010878010906,-464.0,2.2200956937799043,7.732057416267942,336.0,-1616.0,1.6076555023923444,10.493634986804853
1721,1413.0,3.3260869565217392,1947.0,9.130434782608695,1883.0,4.021739130434782,57504.8828125,91928.57142857119,707.0,12.621951219512196,-414.0,3.0,3.0,6.388278388278389,3045117.0,503.0,-24.634146341463417,808.0,-15.335365853658537,0.010878010878010906,707.0,0.010878010878010906,-452.0,2.1626794258373203,7.6746411483253585,372.0,-1604.0,1.7799043062200957,10.516752321657341
1722,1411.0,3.369565217391304,1943.0,9.152173913043478,1886.0,3.9891304347826084,57509.765625,100099.99999999968,705.0,9.390243902439025,-308.0,3.0,3.0,6.3931623931623935,3045277.0,543.0,-24.542682926829272,805.0,-16.554878048780488,0.009990009990010021,705.0,0.009990009990010023,-456.0,2.1818181818181817,7.712918660287081,356.0,-1612.0,1.7033492822966507,10.53704981076562
1723,1411.0,3.369565217391304,1943.0,9.152173913043478,1889.0,3.9565217391304346,57514.6484375,91928.57142857119,707.0,5.884146341463415,-193.0,3.0,3.0,6.398046398046398,3045437.0,585.0,-24.481707317073173,803.0,-17.835365853658537,0.010878010878010906,707.0,0.010878010878010906,-448.0,2.1435406698564594,7.712918660287081,376.0,-1612.0,1.7990430622009568,10.524748042640194
1724,1412.0,3.4891304347826084,1932.0,9.141304347826086,1889.0,3.9565217391304346,57519.53125,88323.5294117645,708.0,2.439024390243903,-80.0,3.0,3.0,6.402930402930403,3045597.0,624.0,-24.451219512195124,802.0,-19.02439024390244,0.011322011322011348,708.0,0.01132201132201135,-444.0,2.124401913875598,7.712918660287081,372.0,-1612.0,1.7799043062200957,10.55421909203718
1725,1412.0,3.4565217391304346,1935.0,9.141304347826086,1892.0,3.9239130434782608,57524.4140625,91928.57142857119,707.0,-0.853658536585366,28.0,3.0,3.0,6.407814407814408,3045757.0,652.0,-24.26829268292683,796.0,-19.878048780487806,0.010878010878010906,707.0,0.010878010878010906,-444.0,2.124401913875598,7.789473684210526,392.0,-1628.0,1.875598086124402,10.531290580239643
1726,1417.0,3.532608695652174,1928.0,9.08695652173913,1895.0,3.891304347826087,57529.296875,88323.5294117645,708.0,-4.695121951219512,154.0,3.0,3.0,6.412698412698413,3045917.0,669.0,-24.26829268292683,796.0,-20.396341463414636,0.011322011322011348,708.0,0.01132201132201135,-428.0,2.047846889952153,7.732057416267942,412.0,-1616.0,1.971291866028708,10.497349787064584
1727,1408.0,3.652173913043478,1917.0,9.184782608695652,1907.0,3.760869565217391,57534.1796875,95840.42553191462,706.0,-7.987804878048781,262.0,3.0,3.0,6.417582417582418,3046077.0,683.0,-23.59756097560976,774.0,-20.823170731707318,0.010434010434010463,706.0,0.010434010434010463,-432.0,2.0669856459330145,7.751196172248804,408.0,-1620.0,1.9521531100478469,10.57557306942238
1728,1409.0,3.5869565217391304,1923.0,9.17391304347826,1900.0,3.8369565217391304,57539.0625,100099.99999999968,705.0,-11.432926829268293,375.0,3.0,3.0,6.422466422466423,3046237.0,684.0,-23.475609756097562,770.0,-20.853658536585368,0.009990009990010021,705.0,0.009990009990010023,-420.0,2.0095693779904304,7.712918660287081,436.0,-1612.0,2.0861244019138754,10.57114813858286
1729,1406.0,3.6739130434782608,1915.0,9.206521739130434,1908.0,3.75,57543.9453125,91928.57142857119,707.0,-14.847560975609758,487.0,3.0,3.0,6.427350427350428,3046397.0,680.0,-23.07926829268293,757.0,-20.731707317073173,0.010878010878010906,707.0,0.010878010878010906,-416.0,1.9904306220095693,7.885167464114832,428.0,-1648.0,2.047846889952153,10.598121512047356
1730,1396.0,3.7065217391304346,1912.0,9.315217391304348,1913.0,3.6956521739130435,57548.828125,95840.42553191462,706.0,-18.323170731707318,601.0,3.0,3.0,6.4322344322344325,3046557.0,684.0,-22.53048780487805,739.0,-20.853658536585368,0.010434010434010463,706.0,0.010434010434010463,-420.0,2.0095693779904304,7.923444976076555,428.0,-1656.0,2.047846889952153,10.685009285932027
1731,1392.0,3.7391304347826084,1909.0,9.358695652173912,1907.0,3.760869565217391,57553.7109375,91928.57142857119,707.0,-21.432926829268293,703.0,3.0,3.0,6.437118437118437,3046717.0,676.0,-22.195121951219516,728.0,-20.60975609756098,0.010878010878010906,707.0,0.010878010878010906,-416.0,1.9904306220095693,7.923444976076555,452.0,-1656.0,2.1626794258373203,10.756877827925486
1732,1387.0,3.760869565217391,1907.0,9.41304347826087,1911.0,3.717391304347826,57558.59375,91928.57142857119,707.0,-24.695121951219516,810.0,3.0,3.0,6.442002442002442,3046877.0,681.0,-22.134146341463417,726.0,-20.762195121951223,0.010878010878010906,707.0,0.010878010878010906,-388.0,1.8564593301435406,8.095693779904305,456.0,-1692.0,2.1818181818181817,10.796690489212367
1733,1383.0,3.7717391304347827,1906.0,9.456521739130434,1912.0,3.7065217391304346,57563.4765625,91928.57142857119,707.0,-27.77439024390244,911.0,3.0,3.0,6.446886446886447,3047037.0,698.0,-21.82926829268293,716.0,-21.28048780487805,0.010878010878010906,707.0,0.010878010878010906,-376.0,1.7990430622009568,8.057416267942584,456.0,-1684.0,2.1818181818181817,10.834672255003651
1734,1381.0,3.760869565217391,1907.0,9.478260869565217,1923.0,3.5869565217391304,57568.359375,88323.5294117645,708.0,-30.60975609756098,1004.0,3.0,3.0,6.451770451770452,3047197.0,709.0,-21.52439024390244,706.0,-21.615853658536587,0.011322011322011348,708.0,0.01132201132201135,-380.0,1.8181818181818181,8.191387559808613,452.0,-1712.0,2.1626794258373203,10.80961729604506
1735,1374.0,3.760869565217391,1907.0,9.554347826086957,1914.0,3.684782608695652,57573.2421875,91928.57142857119,707.0,-33.75,1107.0,3.0,3.0,6.456654456654457,3047357.0,737.0,-20.762195121951223,681.0,-22.469512195121954,0.010878010878010906,707.0,0.010878010878010906,-388.0,1.8564593301435406,8.191387559808613,444.0,-1712.0,2.124401913875598,10.909047856791945
1736,1370.0,3.6739130434782608,1915.0,9.597826086956522,1911.0,3.717391304347826,57578.125,91928.57142857119,707.0,-36.25,1189.0,3.0,3.0,6.461538461538462,3047517.0,766.0,-20.60975609756098,676.0,-23.353658536585368,0.010878010878010906,707.0,0.010878010878010906,-384.0,1.8373205741626792,8.248803827751196,440.0,-1724.0,2.1052631578947367,10.928627578801635
1737,1365.0,3.75,1908.0,9.652173913043478,1915.0,3.6739130434782608,57583.0078125,84990.56603773567,709.0,-38.963414634146346,1278.0,3.0,3.0,6.4664224664224665,3047677.0,786.0,-20.243902439024392,664.0,-23.963414634146343,0.01176601176601179,709.0,0.011766011766011792,-380.0,1.8181818181818181,8.325358851674642,452.0,-1740.0,2.1626794258373203,10.987474609694292
1738,1364.0,3.782608695652174,1905.0,9.66304347826087,1920.0,3.619565217391304,57587.890625,95840.42553191462,706.0,-41.58536585365854,1364.0,3.0,3.0,6.471306471306471,3047837.0,802.0,-19.512195121951223,640.0,-24.451219512195124,0.010434010434010463,706.0,0.010434010434010463,-372.0,1.7799043062200957,8.325358851674642,472.0,-1740.0,2.2583732057416266,10.990167886348793
1739,1358.0,3.8369565217391304,1900.0,9.728260869565217,1923.0,3.5869565217391304,57592.7734375,91928.57142857119,707.0,-43.78048780487805,1436.0,3.0,3.0,6.476190476190476,3047997.0,810.0,-19.115853658536587,627.0,-24.695121951219516,0.010878010878010906,707.0,0.010878010878010906,-380.0,1.8181818181818181,8.363636363636363,484.0,-1748.0,2.3157894736842106,11.055657012809194
1740,1352.0,3.858695652173913,1898.0,9.793478260869565,1924.0,3.5760869565217392,57597.65625,88323.5294117645,708.0,-46.00609756097561,1509.0,3.0,3.0,6.481074481074481,3048157.0,826.0,-18.53658536585366,608.0,-25.182926829268293,0.011322011322011348,708.0,0.01132201132201135,-372.0,1.7799043062200957,8.535885167464114,512.0,-1784.0,2.449760765550239,11.11711052849775
1741,1347.0,3.9782608695652173,1887.0,9.847826086956522,1913.0,3.6956521739130435,57602.5390625,81899.99999999984,710.0,-48.170731707317074,1580.0,3.0,3.0,6.485958485958486,3048317.0,828.0,-17.957317073170735,589.0,-25.243902439024392,0.012210012210012234,710.0,0.012210012210012234,-352.0,1.6842105263157894,8.574162679425838,504.0,-1792.0,2.4114832535885165,11.245625068256695
1742,1336.0,3.9456521739130435,1890.0,9.967391304347826,1920.0,3.619565217391304,57607.421875,88323.5294117645,708.0,-50.396341463414636,1653.0,3.0,3.0,6.490842490842491,3048477.0,826.0,-17.164634146341466,563.0,-25.182926829268293,0.011322011322011348,708.0,0.01132201132201135,-356.0,1.7033492822966507,8.650717703349281,516.0,-1808.0,2.4688995215311005,11.314517791512033
1743,1338.0,4.043478260869565,1881.0,9.945652173913043,1935.0,3.4565217391304346,57612.3046875,91928.57142857119,707.0,-52.713414634146346,1729.0,3.0,3.0,6.495726495726496,3048637.0,827.0,-16.615853658536587,545.0,-25.213414634146343,0.010878010878010906,707.0,0.010878010878010906,-364.0,1.7416267942583732,8.650717703349281,528.0,-1808.0,2.526315789473684,11.278885412294395
1744,1333.0,4.08695652173913,1877.0,10.0,1932.0,3.4891304347826084,57617.1875,95840.42553191462,706.0,-54.42073170731708,1785.0,3.0,3.0,6.500610500610501,3048797.0,832.0,-15.945121951219514,523.0,-25.365853658536587,0.010434010434010463,706.0,0.010434010434010463,-352.0,1.6842105263157894,8.688995215311005,544.0,-1816.0,2.602870813397129,11.352411409102134
1745,1329.0,4.043478260869565,1881.0,10.043478260869565,1929.0,3.5217391304347827,57622.0703125,84990.56603773567,709.0,-56.646341463414636,1858.0,3.0,3.0,6.5054945054945055,3048957.0,839.0,-15.396341463414636,505.0,-25.57926829268293,0.01176601176601179,709.0,0.011766011766011792,-356.0,1.7033492822966507,8.708133971291865,508.0,-1820.0,2.430622009569378,11.385245650644515
1746,1325.0,4.08695652173913,1877.0,10.08695652173913,1929.0,3.5217391304347827,57626.953125,88323.5294117645,708.0,-58.9329268292683,1933.0,3.0,3.0,6.51037851037851,3049117.0,847.0,-14.786585365853659,485.0,-25.823170731707318,0.011322011322011348,708.0,0.01132201132201135,-352.0,1.6842105263157894,8.803827751196172,532.0,-1840.0,2.5454545454545454,11.439080032278694
1747,1319.0,4.108695652173913,1875.0,10.152173913043478,1932.0,3.4891304347826084,57631.8359375,104755.81395348875,704.0,-60.57926829268293,1987.0,3.0,3.0,6.515262515262515,3049277.0,851.0,-14.420731707317074,473.0,-25.945121951219516,0.009546009546009511,704.0,0.009546009546009513,-352.0,1.6842105263157894,8.861244019138756,544.0,-1852.0,2.602870813397129,11.494435449981859
1748,1316.0,4.130434782608695,1873.0,10.184782608695652,1930.0,3.510869565217391,57636.71875,91928.57142857119,707.0,-62.01219512195122,2034.0,3.0,3.0,6.52014652014652,3049437.0,872.0,-13.932926829268293,457.0,-26.58536585365854,0.010878010878010906,707.0,0.010878010878010906,-368.0,1.7607655502392343,8.899521531100477,532.0,-1860.0,2.5454545454545454,11.537612117927301
