,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4171,5.33695652173913,1545.0,1762.0,7.695652173913043,6.739130434782608,1633.0,20356.4453125,81899.99999999984,710.0,-2681.0,81.73780487804879,3.0,3.0,10.34920634920635,3951705.0,-141.0,-42.46951219512196,4.298780487804878,1393.0,0.012210012210012234,0.012210012210012234,710.0,-1052.0,5.033492822966507,804.0,6.086124401913875,-1272.0,3.8468899521531097,11.537852760102272
4172,5.282608695652174,1556.0,1767.0,7.576086956521739,6.608695652173913,1645.0,20361.328125,84990.56603773567,709.0,-2639.0,80.45731707317074,3.0,3.0,10.354090354090355,3951865.0,-92.0,-41.00609756097561,2.804878048780488,1345.0,0.011766011766011792,0.01176601176601179,709.0,-1036.0,4.956937799043062,780.0,5.875598086124402,-1228.0,3.7320574162679425,11.356844034643656
4173,5.25,1566.0,1770.0,7.467391304347826,6.434782608695652,1661.0,20366.2109375,88323.5294117645,708.0,-2582.0,78.71951219512196,3.0,3.0,10.35897435897436,3952025.0,-61.0,-39.08536585365854,1.8597560975609757,1282.0,0.01132201132201135,0.011322011322011348,708.0,-976.0,4.669856459330143,780.0,5.779904306220096,-1208.0,3.7320574162679425,11.168297099979993
4174,5.260869565217392,1579.0,1769.0,7.326086956521739,6.271739130434782,1676.0,20371.09375,88323.5294117645,708.0,-2535.0,77.28658536585367,3.0,3.0,10.363858363858364,3952185.0,-60.0,-37.59146341463415,1.829268292682927,1233.0,0.01132201132201135,0.011322011322011348,708.0,-960.0,4.5933014354066986,780.0,5.588516746411483,-1168.0,3.7320574162679425,10.985581932559395
4175,5.33695652173913,1587.0,1762.0,7.239130434782608,6.173913043478261,1685.0,20375.9765625,95840.42553191462,706.0,-2504.0,76.34146341463415,3.0,3.0,10.36874236874237,3952345.0,-132.0,-35.76219512195122,4.024390243902439,1173.0,0.010434010434010463,0.010434010434010463,706.0,-920.0,4.401913875598086,840.0,5.492822966507177,-1148.0,4.019138755980861,10.908955799486982
4176,5.326086956521739,1597.0,1763.0,7.130434782608695,6.184782608695652,1684.0,20380.859375,84990.56603773567,709.0,-2460.0,75.0,3.0,3.0,10.373626373626374,3952505.0,-226.0,-34.57317073170732,6.890243902439025,1134.0,0.011766011766011792,0.01176601176601179,709.0,-940.0,4.497607655502392,788.0,5.435406698564593,-1136.0,3.7703349282296648,10.83798128685832
4177,4.804347826086956,1589.0,1811.0,7.217391304347826,6.1521739130434785,1687.0,20385.7421875,84990.56603773567,709.0,-2365.0,72.10365853658537,3.0,3.0,10.378510378510379,3952665.0,-238.0,-32.40853658536586,7.25609756097561,1063.0,0.011766011766011792,0.01176601176601179,709.0,-944.0,4.516746411483253,660.0,5.607655502392344,-1172.0,3.1578947368421053,10.631168286243746
4178,4.804347826086956,1581.0,1811.0,7.304347826086956,6.25,1678.0,20390.625,88323.5294117645,708.0,-2292.0,69.87804878048782,3.0,3.0,10.383394383394384,3952825.0,-292.0,-31.707317073170735,8.902439024390246,1040.0,0.01132201132201135,0.011322011322011348,708.0,-964.0,4.6124401913875595,684.0,5.684210526315789,-1188.0,3.2727272727272725,10.746988191976751
4179,4.706521739130435,1576.0,1820.0,7.358695652173913,6.217391304347826,1681.0,20395.5078125,91928.57142857119,707.0,-2151.0,65.57926829268293,3.0,3.0,10.388278388278389,3952985.0,-318.0,-31.06707317073171,9.695121951219512,1019.0,0.010878010878010906,0.010878010878010906,707.0,-932.0,4.45933014354067,704.0,5.684210526315789,-1188.0,3.3684210526315788,10.721833015562712
4180,4.804347826086956,1576.0,1811.0,7.358695652173913,6.1521739130434785,1687.0,20400.390625,88323.5294117645,708.0,-2048.0,62.43902439024391,3.0,3.0,10.393162393162394,3953145.0,-318.0,-30.243902439024392,9.695121951219512,992.0,0.01132201132201135,0.011322011322011348,708.0,-936.0,4.4784688995215305,728.0,5.722488038277512,-1196.0,3.4832535885167464,10.727600085372423
4181,4.83695652173913,1571.0,1808.0,7.413043478260869,6.0978260869565215,1692.0,20405.2734375,88323.5294117645,708.0,-1993.0,60.76219512195122,3.0,3.0,10.398046398046398,3953305.0,-323.0,-30.213414634146343,9.847560975609756,991.0,0.01132201132201135,0.011322011322011348,708.0,-928.0,4.440191387559809,700.0,5.722488038277512,-1196.0,3.3492822966507174,10.748620608736184
4182,4.706521739130435,1565.0,1820.0,7.478260869565217,6.141304347826087,1688.0,20410.15625,88323.5294117645,708.0,-1946.0,59.32926829268293,3.0,3.0,10.402930402930403,3953465.0,-300.0,-29.35975609756098,9.146341463414634,963.0,0.01132201132201135,0.011322011322011348,708.0,-948.0,4.535885167464115,668.0,5.837320574162679,-1220.0,3.1961722488038276,10.76063899621232
4183,4.456521739130435,1561.0,1843.0,7.521739130434782,6.217391304347826,1681.0,20415.0390625,88323.5294117645,708.0,-1899.0,57.896341463414636,3.0,3.0,10.407814407814408,3953625.0,-221.0,-29.451219512195124,6.737804878048781,966.0,0.01132201132201135,0.011322011322011348,708.0,-944.0,4.516746411483253,588.0,5.85645933014354,-1224.0,2.813397129186603,10.72814523526951
4184,4.228260869565217,1554.0,1864.0,7.5978260869565215,6.239130434782608,1679.0,20419.921875,88323.5294117645,708.0,-1825.0,55.64024390243903,3.0,3.0,10.412698412698413,3953785.0,-115.0,-28.56707317073171,3.50609756097561,937.0,0.01132201132201135,0.011322011322011348,708.0,-940.0,4.497607655502392,576.0,5.85645933014354,-1224.0,2.755980861244019,10.701957755988579
4185,4.282608695652174,1561.0,1859.0,7.521739130434782,6.369565217391304,1667.0,20424.8046875,81899.99999999984,710.0,-1761.0,53.68902439024391,3.0,3.0,10.417582417582418,3953945.0,47.0,-28.10975609756098,-1.4329268292682928,922.0,0.012210012210012234,0.012210012210012234,710.0,-964.0,4.6124401913875595,576.0,5.875598086124402,-1228.0,2.755980861244019,10.746564932339568
4186,4.663043478260869,1564.0,1824.0,7.489130434782608,6.33695652173913,1670.0,20429.6875,88323.5294117645,708.0,-1732.0,52.804878048780495,3.0,3.0,10.422466422466423,3954105.0,148.0,-26.951219512195124,-4.51219512195122,884.0,0.01132201132201135,0.011322011322011348,708.0,-984.0,4.708133971291866,684.0,5.894736842105263,-1232.0,3.2727272727272725,10.86223122142732
4187,4.869565217391305,1566.0,1805.0,7.467391304347826,6.315217391304348,1672.0,20434.5703125,88323.5294117645,708.0,-1652.0,50.36585365853659,3.0,3.0,10.427350427350428,3954265.0,251.0,-25.213414634146343,-7.652439024390245,827.0,0.01132201132201135,0.011322011322011348,708.0,-976.0,4.669856459330143,724.0,5.7990430622009566,-1212.0,3.464114832535885,10.925043203489388
4188,5.130434782608695,1563.0,1781.0,7.5,6.358695652173913,1668.0,20439.453125,91928.57142857119,707.0,-1608.0,49.024390243902445,3.0,3.0,10.432234432234432,3954425.0,355.0,-24.146341463414636,-10.823170731707318,792.0,0.010878010878010906,0.010878010878010906,707.0,-988.0,4.7272727272727275,776.0,5.7990430622009566,-1212.0,3.712918660287081,11.090733585096007
4189,5.282608695652174,1564.0,1767.0,7.489130434782608,6.369565217391304,1667.0,20444.3359375,88323.5294117645,708.0,-1567.0,47.774390243902445,3.0,3.0,10.437118437118437,3954585.0,440.0,-22.652439024390247,-13.414634146341465,743.0,0.01132201132201135,0.011322011322011348,708.0,-968.0,4.631578947368421,808.0,5.952153110047846,-1244.0,3.866028708133971,11.160841830219091
4190,5.456521739130435,1560.0,1751.0,7.532608695652174,6.260869565217391,1677.0,20449.21875,88323.5294117645,708.0,-1536.0,46.82926829268293,3.0,3.0,10.442002442002442,3954745.0,546.0,-21.371951219512198,-16.646341463414636,701.0,0.01132201132201135,0.011322011322011348,708.0,-964.0,4.6124401913875595,824.0,5.952153110047846,-1244.0,3.942583732057416,11.212150149016162
4191,5.315217391304348,1564.0,1764.0,7.489130434782608,6.228260869565217,1680.0,20454.1015625,100099.99999999968,705.0,-1502.0,45.79268292682927,3.0,3.0,10.446886446886447,3954905.0,643.0,-19.634146341463417,-19.603658536585368,644.0,0.009990009990010023,0.009990009990010021,705.0,-960.0,4.5933014354066986,804.0,5.818181818181818,-1216.0,3.8468899521531097,11.096388783985923
4192,5.228260869565217,1560.0,1772.0,7.532608695652174,6.184782608695652,1684.0,20458.984375,88323.5294117645,708.0,-1468.0,44.75609756097561,3.0,3.0,10.451770451770452,3955065.0,772.0,-17.59146341463415,-23.53658536585366,577.0,0.01132201132201135,0.011322011322011348,708.0,-944.0,4.516746411483253,788.0,5.894736842105263,-1232.0,3.7703349282296648,11.060128453090668
4193,5.1521739130434785,1559.0,1779.0,7.543478260869565,6.173913043478261,1685.0,20463.8671875,84990.56603773567,709.0,-1431.0,43.62804878048781,3.0,3.0,10.456654456654457,3955225.0,916.0,-16.03658536585366,-27.926829268292686,526.0,0.011766011766011792,0.01176601176601179,709.0,-932.0,4.45933014354067,760.0,5.85645933014354,-1224.0,3.6363636363636362,11.02570462922386
4194,5.130434782608695,1562.0,1781.0,7.510869565217391,6.141304347826087,1688.0,20468.75,91928.57142857119,707.0,-1382.0,42.13414634146342,3.0,3.0,10.461538461538462,3955385.0,1061.0,-14.664634146341465,-32.34756097560976,481.0,0.010878010878010906,0.010878010878010906,707.0,-928.0,4.440191387559809,772.0,5.9330143540669855,-1240.0,3.69377990430622,10.974977985259816
4195,5.173913043478261,1560.0,1777.0,7.532608695652174,6.076086956521739,1694.0,20473.6328125,95840.42553191462,706.0,-1331.0,40.57926829268293,3.0,3.0,10.466422466422467,3955545.0,1195.0,-12.77439024390244,-36.4329268292683,419.0,0.010434010434010463,0.010434010434010463,706.0,-932.0,4.45933014354067,760.0,5.85645933014354,-1224.0,3.6363636363636362,10.97398754539583
4196,5.141304347826087,1565.0,1780.0,7.478260869565217,6.108695652173913,1691.0,20478.515625,100099.99999999968,705.0,-1279.0,38.993902439024396,3.0,3.0,10.471306471306471,3955705.0,1329.0,-10.914634146341465,-40.518292682926834,358.0,0.009990009990010023,0.009990009990010021,705.0,-908.0,4.344497607655502,760.0,5.894736842105263,-1232.0,3.6363636363636362,10.939541059895255
4197,5.195652173913043,1567.0,1775.0,7.456521739130435,6.065217391304348,1695.0,20483.3984375,88323.5294117645,708.0,-1214.0,37.01219512195122,3.0,3.0,10.476190476190476,3955865.0,1429.0,-8.597560975609756,-43.56707317073171,282.0,0.01132201132201135,0.011322011322011348,708.0,-920.0,4.401913875598086,788.0,5.818181818181818,-1216.0,3.7703349282296648,10.926178653225143
4198,5.260869565217392,1567.0,1769.0,7.456521739130435,6.0978260869565215,1692.0,20488.28125,84990.56603773567,709.0,-1171.0,35.701219512195124,3.0,3.0,10.481074481074481,3956025.0,1491.0,-6.371951219512196,-45.457317073170735,209.0,0.011766011766011792,0.01176601176601179,709.0,-932.0,4.45933014354067,808.0,5.779904306220096,-1208.0,3.866028708133971,10.975424730511474
4199,5.391304347826087,1566.0,1757.0,7.467391304347826,6.130434782608695,1689.0,20493.1640625,84990.56603773567,709.0,-1122.0,34.207317073170735,3.0,3.0,10.485958485958486,3956185.0,1536.0,-4.634146341463415,-46.82926829268293,152.0,0.011766011766011792,0.01176601176601179,709.0,-908.0,4.344497607655502,832.0,5.913875598086124,-1236.0,3.9808612440191387,11.063920014486571
4200,5.358695652173913,1556.0,1760.0,7.576086956521739,6.25,1678.0,20498.046875,91928.57142857119,707.0,-1072.0,32.6829268292683,3.0,3.0,10.49084249084249,3956345.0,1535.0,-2.4695121951219514,-46.79878048780488,81.0,0.010878010878010906,0.010878010878010906,707.0,-940.0,4.497607655502392,860.0,5.7990430622009566,-1212.0,4.114832535885167,11.188172892184248
4201,5.510869565217392,1564.0,1746.0,7.489130434782608,6.369565217391304,1667.0,20502.9296875,79026.31578947355,711.0,-995.0,30.33536585365854,3.0,3.0,10.495726495726496,3956505.0,1498.0,-0.6402439024390244,-45.670731707317074,21.0,0.012654012654012677,0.012654012654012677,711.0,-964.0,4.6124401913875595,872.0,5.913875598086124,-1236.0,4.172248803827751,11.270675183529494
4202,5.673913043478261,1557.0,1731.0,7.565217391304348,6.33695652173913,1670.0,20507.8125,91928.57142857119,707.0,-956.0,29.146341463414636,3.0,3.0,10.5006105006105,3956665.0,1400.0,1.7378048780487807,-42.6829268292683,-57.0,0.010878010878010906,0.010878010878010906,707.0,-972.0,4.650717703349282,904.0,5.9330143540669855,-1240.0,4.325358851674641,11.383445056794477
4203,5.771739130434782,1549.0,1722.0,7.6521739130434785,6.434782608695652,1661.0,20512.6953125,79026.31578947355,711.0,-909.0,27.713414634146343,3.0,3.0,10.505494505494505,3956825.0,1251.0,2.25609756097561,-38.140243902439025,-74.0,0.012654012654012677,0.012654012654012677,711.0,-1000.0,4.784688995215311,928.0,6.028708133971292,-1260.0,4.440191387559809,11.544486363906678
4204,5.913043478260869,1542.0,1709.0,7.728260869565217,6.489130434782608,1656.0,20517.578125,84990.56603773567,709.0,-867.0,26.432926829268297,3.0,3.0,10.51037851037851,3956985.0,1067.0,3.5670731707317076,-32.53048780487805,-117.0,0.011766011766011792,0.01176601176601179,709.0,-1020.0,4.880382775119617,952.0,6.105263157894736,-1276.0,4.555023923444976,11.696106747267581
