,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
7896,1952.0,8.347826086956522,1485.0,3.2717391304347827,2299.0,-0.5,91538.0859375,713.0,73844.26229508186,-7290.0,222.25609756097563,3.0,3.0,185806.0,18.53968253968254,246.859756097561,4442.0,-8097.0,-135.4268292682927,0.013542013542013561,0.01354201354201356,713.0,592.0,-2.832535885167464,1496.0,0.708133971291866,-148.0,7.157894736842105,8.980004304881483
7897,1974.0,8.358695652173912,1484.0,3.032608695652174,2296.0,-0.46739130434782605,91542.96875,716.0,67231.34328358203,-7107.0,216.6768292682927,3.0,3.0,185966.0,18.544566544566546,248.87195121951223,4268.0,-8163.0,-130.1219512195122,0.014874014874014888,0.014874014874014886,716.0,576.0,-2.755980861244019,1496.0,0.5167464114832536,-108.0,7.157894736842105,8.904098109185242
7898,1977.0,8.217391304347826,1497.0,3.0,2295.0,-0.45652173913043476,91547.8515625,713.0,73844.26229508186,-6908.0,210.609756097561,3.0,3.0,186126.0,18.54945054945055,250.36585365853662,4030.0,-8212.0,-122.8658536585366,0.013542013542013561,0.01354201354201356,713.0,552.0,-2.6411483253588517,1460.0,0.4593301435406698,-96.0,6.985645933014354,8.75979063374633
7899,1989.0,7.978260869565217,1519.0,2.869565217391304,2272.0,-0.20652173913043478,91552.734375,714.0,71499.99999999991,-6667.0,203.26219512195124,3.0,3.0,186286.0,18.554334554334556,251.46341463414637,3791.0,-8248.0,-115.57926829268294,0.013986013986014003,0.013986013986014003,714.0,508.0,-2.430622009569378,1400.0,0.24880382775119617,-52.0,6.698564593301435,8.481138029087312
7900,2011.0,7.684782608695652,1546.0,2.630434782608696,2260.0,-0.07608695652173914,91557.6171875,714.0,71499.99999999991,-6462.0,197.01219512195124,3.0,3.0,186446.0,18.55921855921856,251.34146341463418,3634.0,-8244.0,-110.79268292682927,0.013986013986014003,0.013986013986014003,714.0,476.0,-2.277511961722488,1296.0,-0.03827751196172249,8.0,6.200956937799043,8.122860340632574
7901,2024.0,7.369565217391304,1575.0,2.4891304347826084,2252.0,0.010869565217391304,91562.5,711.0,79026.31578947355,-6237.0,190.15243902439025,3.0,3.0,186606.0,18.564102564102566,252.19512195121953,3556.0,-8272.0,-108.41463414634147,0.012654012654012677,0.012654012654012677,711.0,448.0,-2.1435406698564594,1232.0,-0.19138755980861244,40.0,5.894736842105263,7.778584701743165
7902,2038.0,7.032608695652174,1606.0,2.3369565217391304,2229.0,0.2608695652173913,91567.3828125,712.0,76347.45762711852,-6026.0,183.71951219512198,3.0,3.0,186766.0,18.56898656898657,251.95121951219514,3505.0,-8264.0,-106.85975609756099,0.013098013098013119,0.013098013098013117,712.0,404.0,-1.9330143540669855,1148.0,-0.3062200956937799,64.0,5.492822966507177,7.415322230403635
7903,2052.0,6.717391304347826,1635.0,2.1847826086956523,2211.0,0.45652173913043476,91572.265625,712.0,76347.45762711852,-5792.0,176.58536585365854,3.0,3.0,186926.0,18.573870573870575,251.9817073170732,3422.0,-8265.0,-104.32926829268294,0.013098013098013119,0.013098013098013117,712.0,336.0,-1.6076555023923444,1096.0,-0.49760765550239233,104.0,5.244019138755981,7.078490875976704
7904,2068.0,6.489130434782608,1656.0,2.010869565217391,2183.0,0.7608695652173912,91577.1484375,712.0,76347.45762711852,-5565.0,169.66463414634148,3.0,3.0,187086.0,18.57875457875458,250.91463414634148,3372.0,-8230.0,-102.8048780487805,0.013098013098013119,0.013098013098013117,712.0,252.0,-1.2057416267942582,1056.0,-0.6698564593301435,140.0,5.052631578947368,6.836031941354108
7905,2082.0,6.369565217391304,1667.0,1.858695652173913,2156.0,1.0543478260869565,91582.03125,712.0,76347.45762711852,-5324.0,162.31707317073173,3.0,3.0,187246.0,18.583638583638585,249.63414634146343,3288.0,-8188.0,-100.2439024390244,0.013098013098013119,0.013098013098013117,712.0,180.0,-0.8612440191387559,1024.0,-0.7655502392344498,160.0,4.899521531100478,6.71846410456926
