,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4187,1417.0,3.0978260869565215,1968.0,9.08695652173913,1811.0,4.804347826086956,40351.5625,100099.99999999968,705.0,-36.85975609756098,1209.0,3.0,3.0,1698581.0,15.428571428571429,-111.0,17.926829268292686,3.3841463414634148,-588.0,0.009990009990010023,705.0,0.009990009990010021,3.0430622009569377,-636.0,296.0,7.6746411483253585,-1604.0,1.416267942583732,10.73550480075493
4188,1419.0,3.0652173913043477,1971.0,9.065217391304348,1811.0,4.804347826086956,40356.4453125,91928.57142857119,707.0,-35.94512195121951,1179.0,3.0,3.0,1698741.0,15.433455433455434,-106.0,17.28658536585366,3.231707317073171,-567.0,0.010878010878010906,707.0,0.010878010878010906,2.985645933014354,-624.0,292.0,7.693779904306219,-1608.0,1.3971291866028708,10.70773001348035
4189,1422.0,3.0869565217391304,1969.0,9.032608695652174,1810.0,4.815217391304348,40361.328125,88323.5294117645,708.0,-34.72560975609756,1139.0,3.0,3.0,1698901.0,15.438339438339439,-93.0,16.554878048780488,2.8353658536585367,-543.0,0.01132201132201135,708.0,0.011322011322011348,3.0813397129186604,-644.0,296.0,7.617224880382775,-1592.0,1.416267942583732,10.691287992632079
4190,1424.0,3.282608695652174,1951.0,9.01086956521739,1816.0,4.75,40366.2109375,95840.42553191462,706.0,-33.71951219512196,1106.0,3.0,3.0,1699061.0,15.443223443223443,-77.0,16.128048780487806,2.347560975609756,-529.0,0.010434010434010463,706.0,0.010434010434010463,3.0813397129186604,-644.0,292.0,7.578947368421052,-1584.0,1.3971291866028708,10.702046074005303
4191,1419.0,3.0652173913043477,1971.0,9.065217391304348,1806.0,4.858695652173913,40371.09375,104755.81395348875,704.0,-32.83536585365854,1077.0,3.0,3.0,1699221.0,15.448107448107448,-62.0,15.457317073170733,1.8902439024390245,-507.0,0.009546009546009513,704.0,0.009546009546009511,3.1578947368421053,-660.0,292.0,7.521531100478469,-1572.0,1.3971291866028708,10.732224720346435
4192,1430.0,3.0869565217391304,1969.0,8.945652173913043,1797.0,4.956521739130435,40375.9765625,88323.5294117645,708.0,-31.737804878048784,1041.0,3.0,3.0,1699381.0,15.452991452991453,-47.0,14.664634146341465,1.4329268292682928,-481.0,0.01132201132201135,708.0,0.011322011322011348,3.138755980861244,-656.0,284.0,7.521531100478469,-1572.0,1.3588516746411483,10.682747826950493
4193,1434.0,3.0217391304347827,1975.0,8.902173913043478,1806.0,4.858695652173913,40380.859375,84990.56603773567,709.0,-30.792682926829272,1010.0,3.0,3.0,1699541.0,15.457875457875458,-18.0,14.146341463414636,0.5487804878048781,-464.0,0.011766011766011792,709.0,0.01176601176601179,3.138755980861244,-656.0,284.0,7.444976076555023,-1556.0,1.3588516746411483,10.582368883710597
4194,1437.0,3.0217391304347827,1975.0,8.869565217391305,1802.0,4.9021739130434785,40385.7421875,91928.57142857119,707.0,-29.908536585365855,981.0,3.0,3.0,1699701.0,15.462759462759463,5.0,13.231707317073171,-0.15243902439024393,-434.0,0.010878010878010906,707.0,0.010878010878010906,3.1004784688995213,-648.0,288.0,7.38755980861244,-1544.0,1.3779904306220094,10.57503681278143
4195,1446.0,3.0217391304347827,1975.0,8.771739130434783,1802.0,4.9021739130434785,40390.625,91928.57142857119,707.0,-29.542682926829272,969.0,3.0,3.0,1699861.0,15.467643467643468,50.0,12.469512195121952,-1.5243902439024393,-409.0,0.010878010878010906,707.0,0.010878010878010906,3.138755980861244,-656.0,256.0,7.38755980861244,-1544.0,1.2248803827751196,10.493122691483482
4196,1449.0,2.9565217391304346,1981.0,8.73913043478261,1805.0,4.869565217391305,40395.5078125,91928.57142857119,707.0,-28.384146341463417,931.0,3.0,3.0,1700021.0,15.472527472527473,100.0,11.676829268292684,-3.0487804878048785,-383.0,0.010878010878010906,707.0,0.010878010878010906,3.1196172248803826,-652.0,248.0,7.2727272727272725,-1520.0,1.186602870813397,10.431974259770858
