,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
7088,2724.0,7.0978260869565215,-5.119565217391304,1600.0,2.7391304347826084,2001.0,46059.5703125,88323.5294117645,708.0,-9.0,0.27439024390243905,3.0,3.0,7945519.0,14.593406593406593,-1.7987804878048783,-65.0,59.0,1.981707317073171,0.011322011322011348,708.0,0.01132201132201135,0.7655502392344498,-160.0,1196.0,-8.459330143540669,1768.0,5.722488038277512,9.170164595826826
7089,2723.0,7.130434782608695,-5.108695652173913,1597.0,2.717391304347826,2003.0,46064.453125,76347.45762711852,712.0,-36.0,1.0975609756097562,3.0,3.0,7945679.0,14.598290598290598,-1.7682926829268295,-48.0,58.0,1.4634146341463417,0.013098013098013117,712.0,0.013098013098013119,0.8038277511961722,-168.0,1192.0,-8.497607655502392,1776.0,5.70334928229665,9.18292366060623
7090,2719.0,7.108695652173913,-5.065217391304348,1599.0,2.6956521739130435,2005.0,46069.3359375,79026.31578947355,711.0,-37.0,1.128048780487805,3.0,3.0,7945839.0,14.603174603174603,-1.6463414634146343,-29.0,54.0,0.8841463414634148,0.012654012654012677,711.0,0.012654012654012677,0.708133971291866,-148.0,1180.0,-8.497607655502392,1776.0,5.645933014354067,9.135454106892029
7091,2716.0,7.0978260869565215,-5.032608695652174,1600.0,2.7065217391304346,2004.0,46074.21875,81899.99999999984,710.0,-38.0,1.1585365853658538,3.0,3.0,7945999.0,14.608058608058608,-1.8597560975609757,-13.0,61.0,0.39634146341463417,0.012210012210012234,710.0,0.012210012210012234,0.6889952153110047,-144.0,1196.0,-8.555023923444976,1788.0,5.722488038277512,9.11216469169758
7092,2718.0,7.163043478260869,-5.054347826086956,1594.0,2.608695652173913,2013.0,46079.1015625,81899.99999999984,710.0,-50.0,1.5243902439024393,3.0,3.0,7946159.0,14.612942612942613,-1.676829268292683,15.0,55.0,-0.4573170731707317,0.012210012210012234,710.0,0.012210012210012234,0.6507177033492823,-136.0,1188.0,-8.593301435406698,1796.0,5.684210526315789,9.14663418007939
7093,2728.0,7.108695652173913,-5.163043478260869,1599.0,2.684782608695652,2006.0,46083.984375,84990.56603773567,709.0,-60.0,1.829268292682927,3.0,3.0,7946319.0,14.617826617826617,-1.6158536585365855,22.0,53.0,-0.6707317073170732,0.01176601176601179,709.0,0.011766011766011792,0.6889952153110047,-144.0,1196.0,-8.669856459330143,1812.0,5.722488038277512,9.186872671894557
7094,2731.0,7.119565217391304,-5.195652173913043,1598.0,2.6739130434782608,2007.0,46088.8671875,79026.31578947355,711.0,-72.0,2.1951219512195124,3.0,3.0,7946479.0,14.622710622710622,-1.5243902439024393,30.0,50.0,-0.9146341463414634,0.012654012654012677,711.0,0.012654012654012677,0.708133971291866,-148.0,1208.0,-8.708133971291865,1820.0,5.779904306220096,9.210473460200545
7095,2729.0,7.065217391304348,-5.173913043478261,1603.0,2.7065217391304346,2004.0,46093.75,76347.45762711852,712.0,-88.0,2.682926829268293,3.0,3.0,7946639.0,14.627594627594627,-1.4634146341463417,33.0,48.0,-1.0060975609756098,0.013098013098013117,712.0,0.013098013098013119,0.7464114832535885,-156.0,1180.0,-8.650717703349281,1808.0,5.645933014354067,9.16580235943638
7096,2727.0,7.108695652173913,-5.1521739130434785,1599.0,2.684782608695652,2006.0,46098.6328125,73844.26229508186,713.0,-89.0,2.713414634146342,3.0,3.0,7946799.0,14.632478632478632,-1.0975609756097562,50.0,36.0,-1.5243902439024393,0.01354201354201356,713.0,0.013542013542013561,0.6889952153110047,-144.0,1180.0,-8.650717703349281,1808.0,5.645933014354067,9.18076835354409
7097,2728.0,7.0978260869565215,-5.163043478260869,1600.0,2.652173913043478,2009.0,46103.515625,81899.99999999984,710.0,-97.0,2.957317073170732,3.0,3.0,7946959.0,14.637362637362637,-0.9451219512195123,78.0,31.0,-2.378048780487805,0.012210012210012234,710.0,0.012210012210012234,0.6124401913875598,-128.0,1176.0,-8.516746411483254,1780.0,5.626794258373206,9.168979200768261
7098,2718.0,7.010869565217391,-5.054347826086956,1608.0,2.5978260869565215,2014.0,46108.3984375,79026.31578947355,711.0,-105.0,3.2012195121951224,3.0,3.0,7947119.0,14.642246642246642,-0.8841463414634148,100.0,29.0,-3.0487804878048785,0.012654012654012677,711.0,0.012654012654012677,0.631578947368421,-132.0,1152.0,-8.535885167464114,1784.0,5.511961722488038,9.02482267890252
7099,2716.0,6.923913043478261,-5.032608695652174,1616.0,2.608695652173913,2013.0,46113.28125,81899.99999999984,710.0,-104.0,3.1707317073170733,3.0,3.0,7947279.0,14.647130647130647,-0.7317073170731708,126.0,24.0,-3.8414634146341466,0.012210012210012234,710.0,0.012210012210012234,0.5741626794258373,-120.0,1140.0,-8.421052631578947,1760.0,5.454545454545454,8.948352648553438
