,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
4319,1266.0,3.9782608695652173,1887.0,10.728260869565217,1854.0,4.33695652173913,32954.1015625,710.0,81899.99999999984,-61.0,1.8597560975609757,3.0,3.0,16.073260073260073,1032875.0,193.0,-1.3414634146341464,44.0,-5.884146341463415,0.012210012210012234,710.0,0.012210012210012234,-524.0,2.5071770334928227,9.588516746411482,500.0,2.3923444976076556,-2004.0,12.23647550167995
4320,1263.0,4.010869565217392,1884.0,10.76086956521739,1865.0,4.217391304347826,32958.984375,709.0,84990.56603773567,-65.0,1.981707317073171,3.0,3.0,16.078144078144078,1033035.0,260.0,-2.2256097560975614,73.0,-7.926829268292684,0.01176601176601179,709.0,0.011766011766011792,-516.0,2.4688995215311005,9.511961722488039,492.0,2.354066985645933,-1988.0,12.233960024570857
4321,1267.0,4.021739130434782,1883.0,10.717391304347826,1863.0,4.239130434782608,32963.8671875,709.0,84990.56603773567,-63.0,1.9207317073170733,3.0,3.0,16.083028083028083,1033195.0,322.0,-2.8658536585365857,94.0,-9.817073170731708,0.01176601176601179,709.0,0.011766011766011792,-520.0,2.488038277511962,9.511961722488039,500.0,2.3923444976076556,-1988.0,12.206845982762331
4322,1264.0,3.9456521739130435,1890.0,10.75,1864.0,4.228260869565217,32968.75,709.0,84990.56603773567,-66.0,2.0121951219512195,3.0,3.0,16.087912087912088,1033355.0,381.0,-3.353658536585366,110.0,-11.615853658536587,0.01176601176601179,709.0,0.011766011766011792,-508.0,2.430622009569378,9.473684210526315,496.0,2.373205741626794,-1980.0,12.206918573440273
4323,1274.0,3.9782608695652173,1887.0,10.641304347826086,1873.0,4.130434782608695,32973.6328125,709.0,84990.56603773567,-63.0,1.9207317073170733,3.0,3.0,16.092796092796092,1033515.0,435.0,-3.7195121951219514,122.0,-13.26219512195122,0.01176601176601179,709.0,0.011766011766011792,-504.0,2.4114832535885165,9.492822966507177,496.0,2.373205741626794,-1984.0,12.088192969288665
4324,1271.0,4.0,1885.0,10.67391304347826,1876.0,4.0978260869565215,32978.515625,708.0,88323.5294117645,-57.0,1.7378048780487807,3.0,3.0,16.097680097680097,1033675.0,483.0,-4.146341463414634,136.0,-14.725609756097562,0.011322011322011348,708.0,0.01132201132201135,-488.0,2.3349282296650715,9.416267942583731,516.0,2.4688995215311005,-1968.0,12.112992953794564
4325,1273.0,4.043478260869565,1881.0,10.652173913043478,1877.0,4.08695652173913,32983.3984375,709.0,84990.56603773567,-64.0,1.9512195121951221,3.0,3.0,16.102564102564102,1033835.0,527.0,-4.51219512195122,148.0,-16.06707317073171,0.01176601176601179,709.0,0.011766011766011792,-488.0,2.3349282296650715,9.435406698564593,528.0,2.526315789473684,-1972.0,12.104616438798661
4326,1277.0,4.282608695652174,1859.0,10.608695652173912,1884.0,4.010869565217392,32988.28125,708.0,88323.5294117645,-78.0,2.378048780487805,3.0,3.0,16.107448107448107,1033995.0,554.0,-5.121951219512195,168.0,-16.890243902439025,0.011322011322011348,708.0,0.01132201132201135,-468.0,2.2392344497607652,9.39712918660287,540.0,2.5837320574162677,-1964.0,12.123210604032103
4327,1280.0,4.217391304347826,1865.0,10.576086956521738,1871.0,4.1521739130434785,32993.1640625,709.0,84990.56603773567,-74.0,2.25609756097561,3.0,3.0,16.112332112332112,1034155.0,585.0,-5.27439024390244,173.0,-17.835365853658537,0.01176601176601179,709.0,0.011766011766011792,-476.0,2.277511961722488,9.282296650717702,568.0,2.7177033492822966,-1940.0,12.119428737777069
4328,1276.0,4.260869565217392,1861.0,10.619565217391305,1877.0,4.08695652173913,32998.046875,710.0,81899.99999999984,-80.0,2.439024390243903,3.0,3.0,16.117216117216117,1034315.0,607.0,-5.884146341463415,193.0,-18.50609756097561,0.012210012210012234,710.0,0.012210012210012234,-468.0,2.2392344497607652,9.263157894736842,564.0,2.6985645933014353,-1936.0,12.150448076873918
