,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
5912,1844.0,0.43478260869565216,2213.0,4.445652173913043,10.304347826086957,1305.0,48515.625,100099.99999999968,705.0,-382.0,11.646341463414636,3.0,3.0,9404260.0,12.854700854700855,734.0,6.310975609756098,-207.0,-22.378048780487806,705.0,0.009990009990010021,0.009990009990010023,-1888.0,9.033492822966506,2.449760765550239,-324.0,-512.0,-1.5502392344497606,11.230870103835453
5913,1833.0,0.25,2230.0,4.565217391304348,10.5,1287.0,48520.5078125,109865.85365853697,703.0,-290.0,8.841463414634147,3.0,3.0,9404420.0,12.85958485958486,836.0,6.646341463414635,-218.0,-25.487804878048784,703.0,0.00910200910200907,0.00910200910200907,-1904.0,9.110047846889952,2.736842105263158,-368.0,-572.0,-1.7607655502392343,11.452236018781122
5914,1820.0,0.03260869565217391,2250.0,4.706521739130435,10.695652173913043,1269.0,48525.390625,95840.42553191462,706.0,-181.0,5.5182926829268295,3.0,3.0,9404580.0,12.864468864468865,825.0,5.152439024390245,-169.0,-25.152439024390247,706.0,0.010434010434010463,0.010434010434010463,-1952.0,9.339712918660286,2.77511961722488,-408.0,-580.0,-1.9521531100478469,11.685434764409509
5915,1816.0,0.08695652173913043,2245.0,4.75,10.771739130434783,1262.0,48530.2734375,91928.57142857119,707.0,-127.0,3.8719512195121957,3.0,3.0,9404740.0,12.86935286935287,801.0,3.231707317073171,-106.0,-24.420731707317074,707.0,0.010878010878010906,0.010878010878010906,-1944.0,9.301435406698564,2.736842105263158,-360.0,-572.0,-1.7224880382775118,11.77286818624981
5916,1817.0,0.4782608695652174,2209.0,4.739130434782608,10.858695652173912,1254.0,48535.15625,88323.5294117645,708.0,-146.0,4.451219512195123,3.0,3.0,9404900.0,12.874236874236875,973.0,3.536585365853659,-116.0,-29.664634146341466,708.0,0.011322011322011348,0.01132201132201135,-1992.0,9.531100478468899,2.5645933014354068,-268.0,-536.0,-1.2822966507177034,11.857460183520782
5917,1835.0,0.7391304347826086,2185.0,4.543478260869565,10.847826086956522,1255.0,48540.0390625,95840.42553191462,706.0,-200.0,6.097560975609757,3.0,3.0,9405060.0,12.87912087912088,853.0,1.981707317073171,-65.0,-26.00609756097561,706.0,0.010434010434010463,0.010434010434010463,-1952.0,9.339712918660286,2.526315789473684,-216.0,-528.0,-1.0334928229665072,11.784092638785165
5918,1847.0,1.0434782608695652,2157.0,4.413043478260869,10.641304347826086,1274.0,48544.921875,81899.99999999984,710.0,-246.0,7.500000000000001,3.0,3.0,9405220.0,12.884004884004884,546.0,0.8231707317073171,-27.0,-16.646341463414636,710.0,0.012210012210012234,0.012210012210012234,-1828.0,8.746411483253588,2.2392344497607652,-120.0,-468.0,-0.5741626794258373,11.567245041278866
5919,1859.0,1.434782608695652,2121.0,4.282608695652174,10.206521739130434,1314.0,48549.8046875,91928.57142857119,707.0,-325.0,9.908536585365855,3.0,3.0,9405380.0,12.88888888888889,255.0,1.0670731707317074,-35.0,-7.77439024390244,707.0,0.010878010878010906,0.010878010878010906,-1804.0,8.631578947368421,2.124401913875598,-60.0,-444.0,-0.28708133971291866,11.161201744688304
5920,1853.0,1.9130434782608696,2077.0,4.3478260869565215,10.445652173913043,1292.0,48554.6875,95840.42553191462,706.0,-402.0,12.256097560975611,3.0,3.0,9405540.0,12.893772893772894,-33.0,-0.12195121951219513,4.0,1.0060975609756098,706.0,0.010434010434010463,0.010434010434010463,-1868.0,8.937799043062201,2.2966507177033493,36.0,-480.0,0.17224880382775118,11.474971737242337
5921,1842.0,2.0869565217391304,2061.0,4.467391304347826,10.902173913043478,1250.0,48559.5703125,91928.57142857119,707.0,-419.0,12.77439024390244,3.0,3.0,9405700.0,12.898656898656899,-403.0,-2.5914634146341466,85.0,12.286585365853659,707.0,0.010878010878010906,0.010878010878010906,-1988.0,9.511961722488039,2.430622009569378,72.0,-508.0,0.34449760765550236,11.96538209252165
5922,1848.0,2.032608695652174,2066.0,4.4021739130434785,11.065217391304348,1235.0,48564.453125,95840.42553191462,706.0,-363.0,11.067073170731708,3.0,3.0,9405860.0,12.903540903540904,-863.0,-3.7500000000000004,123.0,26.3109756097561,706.0,0.010434010434010463,0.010434010434010463,-2016.0,9.645933014354066,2.3923444976076556,44.0,-500.0,0.21052631578947367,12.080963090215347
5923,1856.0,1.8152173913043477,2086.0,4.315217391304348,11.043478260869565,1237.0,48569.3359375,95840.42553191462,706.0,-271.0,8.26219512195122,3.0,3.0,9406020.0,12.908424908424909,-1223.0,-3.079268292682927,101.0,37.28658536585366,706.0,0.010434010434010463,0.010434010434010463,-2012.0,9.626794258373206,2.1818181818181817,-20.0,-456.0,-0.09569377990430622,11.994770836085529
5924,1876.0,1.3695652173913042,2127.0,4.0978260869565215,11.239130434782608,1219.0,48574.21875,100099.99999999968,705.0,-168.0,5.121951219512195,3.0,3.0,9406180.0,12.913308913308914,-1461.0,-2.987804878048781,98.0,44.54268292682927,705.0,0.009990009990010021,0.009990009990010023,-2052.0,9.818181818181818,1.971291866028708,-116.0,-412.0,-0.5550239234449761,12.04101077375509
5925,1888.0,0.9347826086956521,2167.0,3.967391304347826,11.391304347826086,1205.0,48579.1015625,95840.42553191462,706.0,-94.0,2.8658536585365857,3.0,3.0,9406340.0,12.918192918192918,-1570.0,-4.329268292682928,142.0,47.86585365853659,706.0,0.010434010434010463,0.010434010434010463,-2080.0,9.952153110047847,1.9330143540669855,-236.0,-404.0,-1.1291866028708133,12.098587811481805
5926,1886.0,0.42391304347826086,2214.0,3.9891304347826084,11.326086956521738,1211.0,48583.984375,95840.42553191462,706.0,-59.0,1.7987804878048783,3.0,3.0,9406500.0,12.923076923076923,-1535.0,-5.426829268292684,178.0,46.79878048780488,706.0,0.010434010434010463,0.010434010434010463,-2068.0,9.894736842105262,1.9138755980861244,-356.0,-400.0,-1.7033492822966507,12.015536177833754
5927,1885.0,-0.07608695652173914,2260.0,4.0,11.206521739130434,1222.0,48588.8671875,100099.99999999968,705.0,-54.0,1.6463414634146343,3.0,3.0,9406660.0,12.927960927960928,-1376.0,-6.432926829268293,211.0,41.951219512195124,705.0,0.009990009990010021,0.009990009990010023,-2036.0,9.741626794258373,1.9330143540669855,-488.0,-404.0,-2.3349282296650715,11.89924025787175
5928,1885.0,-0.5217391304347826,2301.0,4.0,11.16304347826087,1226.0,48593.75,115500.00000000041,702.0,-102.0,3.1097560975609757,3.0,3.0,9406820.0,12.932844932844933,-1110.0,-8.658536585365855,284.0,33.84146341463415,702.0,0.008658008658008629,0.008658008658008627,-2036.0,9.741626794258373,1.971291866028708,-588.0,-412.0,-2.813397129186603,11.86953037899012
5929,1877.0,-0.7391304347826086,2321.0,4.08695652173913,11.16304347826087,1226.0,48598.6328125,109865.85365853697,703.0,-177.0,5.396341463414634,3.0,3.0,9406980.0,12.937728937728938,-772.0,-11.067073170731708,363.0,23.53658536585366,703.0,0.00910200910200907,0.00910200910200907,-2024.0,9.68421052631579,2.1626794258373203,-616.0,-452.0,-2.9473684210526314,11.910628325481005
5930,1879.0,-0.7717391304347826,2324.0,4.065217391304348,10.978260869565217,1243.0,48603.515625,95840.42553191462,706.0,-241.0,7.347560975609757,3.0,3.0,9407140.0,12.942612942612943,-424.0,-11.79878048780488,387.0,12.926829268292684,706.0,0.010434010434010463,0.010434010434010463,-1988.0,9.511961722488039,1.9904306220095693,-600.0,-416.0,-2.8708133971291865,11.732168829514618
5931,1883.0,-0.6413043478260869,2312.0,4.021739130434782,10.771739130434783,1262.0,48608.3984375,95840.42553191462,706.0,-294.0,8.963414634146343,3.0,3.0,9407300.0,12.947496947496948,-99.0,-11.097560975609758,364.0,3.0182926829268295,706.0,0.010434010434010463,0.010434010434010463,-1916.0,9.167464114832535,1.894736842105263,-556.0,-396.0,-2.660287081339713,11.515902951742467
5932,1888.0,-0.46739130434782605,2296.0,3.967391304347826,10.576086956521738,1280.0,48613.28125,95840.42553191462,706.0,-327.0,9.969512195121952,3.0,3.0,9407460.0,12.952380952380953,201.0,-10.609756097560977,348.0,-6.128048780487806,706.0,0.010434010434010463,0.010434010434010463,-1888.0,9.033492822966506,1.8181818181818181,-492.0,-380.0,-2.354066985645933,11.305408604075483
5933,1898.0,-0.14130434782608695,2266.0,3.858695652173913,10.41304347826087,1295.0,48618.1640625,100099.99999999968,705.0,-292.0,8.902439024390246,3.0,3.0,9407620.0,12.957264957264957,513.0,-9.664634146341465,317.0,-15.640243902439027,705.0,0.009990009990010021,0.009990009990010023,-1868.0,8.937799043062201,1.6842105263157894,-416.0,-352.0,-1.9904306220095693,11.10589814175205
