,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4081,2462.0,3.9130434782608696,-2.2717391304347827,1893.0,4.391304347826087,1849.0,19916.9921875,84990.56603773567,709.0,3225.0,-98.32317073170732,3.0,3.0,14.910866910866911,25875.0,-72.28658536585367,-861.0,26.250000000000004,2371.0,0.011766011766011792,709.0,0.01176601176601179,-508.0,2.430622009569378,480.0,-5.263157894736842,1100.0,2.2966507177033493,6.305256681114957
4082,2438.0,3.902173913043478,-2.010869565217391,1894.0,4.33695652173913,1854.0,19921.875,84990.56603773567,709.0,3397.0,-103.56707317073172,3.0,3.0,14.915750915750916,26035.0,-79.0548780487805,-967.0,29.481707317073173,2593.0,0.011766011766011792,709.0,0.01176601176601179,-500.0,2.3923444976076556,492.0,-4.880382775119617,1020.0,2.354066985645933,6.170879153525063
4083,2396.0,3.967391304347826,-1.5543478260869565,1888.0,4.173913043478261,1869.0,19926.7578125,81899.99999999984,710.0,3502.0,-106.76829268292684,3.0,3.0,14.920634920634921,26195.0,-82.22560975609757,-1009.0,30.762195121951223,2697.0,0.012210012210012234,710.0,0.012210012210012234,-456.0,2.1818181818181817,480.0,-4.574162679425837,956.0,2.2966507177033493,5.964707957712092
4084,2385.0,3.8478260869565215,-1.434782608695652,1899.0,4.206521739130435,1866.0,19931.640625,88323.5294117645,708.0,3619.0,-110.33536585365854,3.0,3.0,14.925518925518926,26355.0,-88.62804878048782,-1048.0,31.951219512195124,2907.0,0.01132201132201135,708.0,0.011322011322011348,-476.0,2.277511961722488,488.0,-4.574162679425837,956.0,2.3349282296650715,5.8787066495493345
4085,2347.0,3.8478260869565215,-1.0217391304347825,1899.0,4.043478260869565,1881.0,19936.5234375,84990.56603773567,709.0,4084.0,-124.51219512195124,3.0,3.0,14.93040293040293,26515.0,-93.23170731707317,-1258.0,38.35365853658537,3058.0,0.011766011766011792,709.0,0.01176601176601179,-404.0,1.9330143540669855,524.0,-3.311004784688995,692.0,2.5071770334928227,5.674454413619826
4086,2417.0,4.010869565217392,-1.7826086956521738,1884.0,3.9565217391304346,1889.0,19941.40625,88323.5294117645,708.0,4333.0,-132.10365853658539,3.0,3.0,14.935286935286936,26675.0,-97.65243902439025,-1430.0,43.59756097560976,3203.0,0.01132201132201135,708.0,0.011322011322011348,-376.0,1.7990430622009568,516.0,-4.535885167464115,948.0,2.4688995215311005,5.909215912725952
4087,2399.0,4.054347826086956,-1.5869565217391304,1880.0,3.7282608695652173,1910.0,19946.2890625,88323.5294117645,708.0,4435.0,-135.21341463414635,3.0,3.0,14.94017094017094,26835.0,-99.48170731707317,-1532.0,46.707317073170735,3263.0,0.01132201132201135,708.0,0.011322011322011348,-344.0,1.645933014354067,508.0,-4.7272727272727275,988.0,2.430622009569378,5.732023762016133
4088,2402.0,4.043478260869565,-1.6195652173913042,1881.0,3.4239130434782608,1938.0,19951.171875,81899.99999999984,710.0,4434.0,-135.1829268292683,3.0,3.0,14.945054945054945,26995.0,-100.57926829268294,-1497.0,45.64024390243903,3299.0,0.012210012210012234,710.0,0.012210012210012234,-296.0,1.416267942583732,484.0,-4.708133971291866,984.0,2.3157894736842106,5.540387032402076
4089,2384.0,4.065217391304348,-1.4239130434782608,1879.0,3.293478260869565,1950.0,19956.0546875,88323.5294117645,708.0,4297.0,-131.00609756097563,3.0,3.0,14.94993894993895,27155.0,-105.3048780487805,-1623.0,49.48170731707317,3454.0,0.01132201132201135,708.0,0.011322011322011348,-264.0,1.263157894736842,472.0,-4.765550239234449,996.0,2.2583732057416266,5.422224621755471
4090,2390.0,3.9130434782608696,-1.4891304347826086,1893.0,3.152173913043478,1963.0,19960.9375,81899.99999999984,710.0,4495.0,-137.0426829268293,3.0,3.0,14.954822954822955,27315.0,-106.73780487804879,-1662.0,50.67073170731708,3501.0,0.012210012210012234,710.0,0.012210012210012234,-200.0,0.9569377990430622,460.0,-4.555023923444976,952.0,2.200956937799043,5.240765124733945
