,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
5146,1272.0,3.119565217391304,10.66304347826087,1966.0,4.804347826086956,1811.0,72265.625,709.0,84990.56603773567,-2.987804878048781,98.0,3.0,3.0,15.11111111111111,14862633.0,1782.0,-20.335365853658537,-54.32926829268293,667.0,709.0,0.011766011766011792,0.01176601176601179,2.9473684210526314,-616.0,316.0,9.37799043062201,-1960.0,1.5119617224880382,12.104294337088213
5147,1274.0,3.2391304347826084,10.641304347826086,1955.0,4.771739130434782,1814.0,72270.5078125,708.0,88323.5294117645,-1.829268292682927,60.0,3.0,3.0,15.115995115995116,14862793.0,1872.0,-19.451219512195124,-57.07317073170732,638.0,708.0,0.01132201132201135,0.011322011322011348,3.062200956937799,-640.0,316.0,9.454545454545455,-1976.0,1.5119617224880382,12.103669630550886
5148,1274.0,3.25,10.641304347826086,1954.0,4.739130434782608,1817.0,72275.390625,709.0,84990.56603773567,-1.8597560975609757,61.0,3.0,3.0,15.12087912087912,14862953.0,1928.0,-21.28048780487805,-58.78048780487806,698.0,709.0,0.011766011766011792,0.01176601176601179,2.9473684210526314,-616.0,348.0,9.473684210526315,-1980.0,1.6650717703349283,12.093767630517181
5149,1275.0,3.4239130434782608,10.630434782608695,1938.0,4.630434782608695,1827.0,72280.2734375,711.0,79026.31578947355,-2.5914634146341466,85.0,3.0,3.0,15.125763125763125,14863113.0,1989.0,-20.57926829268293,-60.64024390243903,675.0,711.0,0.012654012654012677,0.012654012654012677,2.909090909090909,-608.0,384.0,9.435406698564593,-1972.0,1.8373205741626792,12.090088935677429
5150,1275.0,3.619565217391304,10.630434782608695,1920.0,4.5978260869565215,1830.0,72285.15625,710.0,81899.99999999984,-3.1707317073170733,104.0,3.0,3.0,15.13064713064713,14863273.0,2044.0,-18.201219512195124,-62.31707317073171,597.0,710.0,0.012210012210012234,0.012210012210012234,2.9473684210526314,-616.0,432.0,9.435406698564593,-1972.0,2.0669856459330145,12.134553999061675
5151,1273.0,3.782608695652174,10.652173913043478,1905.0,4.608695652173913,1829.0,72290.0390625,709.0,84990.56603773567,-3.810975609756098,125.0,3.0,3.0,15.135531135531135,14863433.0,2082.0,-16.219512195121954,-63.47560975609757,532.0,709.0,0.011766011766011792,0.01176601176601179,2.8708133971291865,-600.0,468.0,9.473684210526315,-1980.0,2.2392344497607652,12.207252484998998
5152,1261.0,3.869565217391304,10.782608695652174,1897.0,4.521739130434782,1837.0,72294.921875,707.0,91928.57142857119,-4.298780487804878,141.0,3.0,3.0,15.14041514041514,14863593.0,2198.0,-14.481707317073171,-67.01219512195122,475.0,707.0,0.010878010878010906,0.010878010878010906,2.9665071770334928,-620.0,448.0,9.626794258373206,-2012.0,2.1435406698564594,12.316018432062515
5153,1260.0,3.869565217391304,10.793478260869565,1897.0,4.521739130434782,1837.0,72299.8046875,706.0,95840.42553191462,-6.676829268292684,219.0,3.0,3.0,15.145299145299145,14863753.0,2103.0,-14.26829268292683,-64.1158536585366,468.0,706.0,0.010434010434010463,0.010434010434010463,2.755980861244019,-576.0,508.0,9.492822966507177,-1984.0,2.430622009569378,12.325535797814778
5154,1264.0,4.065217391304348,10.75,1879.0,4.456521739130435,1843.0,72304.6875,709.0,84990.56603773567,-8.719512195121952,286.0,3.0,3.0,15.15018315018315,14863913.0,1981.0,-15.914634146341465,-60.39634146341464,522.0,709.0,0.011766011766011792,0.01176601176601179,2.660287081339713,-556.0,548.0,9.511961722488039,-1988.0,2.6220095693779903,12.326762691392476
5155,1274.0,4.25,10.641304347826086,1862.0,4.456521739130435,1843.0,72309.5703125,710.0,81899.99999999984,-9.26829268292683,304.0,3.0,3.0,15.155067155067155,14864073.0,2048.0,-16.85975609756098,-62.43902439024391,553.0,710.0,0.012210012210012234,0.012210012210012234,2.736842105263158,-572.0,580.0,9.358851674641148,-1956.0,2.77511961722488,12.294732377502347
5156,1281.0,4.434782608695652,10.565217391304348,1845.0,4.489130434782608,1840.0,72314.453125,706.0,95840.42553191462,-6.128048780487806,201.0,3.0,3.0,15.15995115995116,14864233.0,2039.0,-14.237804878048781,-62.16463414634147,467.0,706.0,0.010434010434010463,0.010434010434010463,2.851674641148325,-596.0,616.0,9.263157894736842,-1936.0,2.9473684210526314,12.306234492012607
5157,1283.0,4.467391304347826,10.543478260869565,1842.0,4.630434782608695,1827.0,72319.3359375,706.0,95840.42553191462,-4.695121951219512,154.0,3.0,3.0,15.164835164835164,14864393.0,1955.0,-12.652439024390246,-59.60365853658537,415.0,706.0,0.010434010434010463,0.010434010434010463,2.92822966507177,-612.0,616.0,9.09090909090909,-1900.0,2.9473684210526314,12.351657588339474
5158,1304.0,4.413043478260869,10.315217391304348,1847.0,4.793478260869565,1812.0,72324.21875,710.0,81899.99999999984,-7.865853658536586,258.0,3.0,3.0,15.16971916971917,14864553.0,1881.0,-13.079268292682928,-57.34756097560976,429.0,710.0,0.012210012210012234,0.012210012210012234,2.9473684210526314,-616.0,600.0,8.956937799043061,-1872.0,2.8708133971291865,12.200659671030808
5159,1319.0,4.271739130434782,10.152173913043478,1860.0,4.58695652173913,1831.0,72329.1015625,709.0,84990.56603773567,-10.76219512195122,353.0,3.0,3.0,15.174603174603174,14864713.0,1935.0,-11.707317073170733,-58.993902439024396,384.0,709.0,0.011766011766011792,0.01176601176601179,2.77511961722488,-580.0,584.0,8.727272727272727,-1824.0,2.7942583732057416,11.931243040500574
