,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
3766,9.380434782608695,1974.0,1390.0,3.032608695652174,7.5,1563.0,71958.0078125,84990.56603773567,709.0,-1091.0,33.26219512195122,3.0,3.0,9895330.0,9.372405372405373,1250.0,-19.695121951219512,646.0,-38.10975609756098,709.0,0.011766011766011792,0.01176601176601179,5.760765550239234,-1204.0,1740.0,0.708133971291866,-148.0,8.325358851674642,12.387060676840177
3767,9.369565217391305,1964.0,1391.0,3.141304347826087,7.543478260869565,1559.0,71962.890625,84990.56603773567,709.0,-1129.0,34.420731707317074,3.0,3.0,9895490.0,9.377289377289378,1279.0,-21.463414634146343,704.0,-38.993902439024396,709.0,0.011766011766011792,0.01176601176601179,5.952153110047846,-1244.0,1732.0,1.0717703349282297,-224.0,8.287081339712918,12.432240732902164
3768,9.358695652173912,1972.0,1392.0,3.0543478260869565,7.467391304347826,1566.0,71967.7734375,88323.5294117645,708.0,-1111.0,33.8719512195122,3.0,3.0,9895650.0,9.382173382173383,1275.0,-20.823170731707318,683.0,-38.8719512195122,708.0,0.01132201132201135,0.011322011322011348,5.760765550239234,-1204.0,1736.0,0.7464114832535885,-156.0,8.30622009569378,12.356219399354746
3769,9.445652173913043,1952.0,1384.0,3.2717391304347827,7.532608695652174,1560.0,71972.65625,88323.5294117645,708.0,-1153.0,35.15243902439025,3.0,3.0,9895810.0,9.387057387057387,1299.0,-22.926829268292686,752.0,-39.60365853658537,708.0,0.01132201132201135,0.011322011322011348,5.971291866028708,-1248.0,1736.0,1.2248803827751196,-256.0,8.30622009569378,12.51658162958166
3770,9.380434782608695,1968.0,1390.0,3.0978260869565215,7.434782608695652,1569.0,71977.5390625,88323.5294117645,708.0,-1137.0,34.66463414634147,3.0,3.0,9895970.0,9.391941391941392,1242.0,-23.50609756097561,771.0,-37.86585365853659,708.0,0.01132201132201135,0.011322011322011348,5.722488038277512,-1196.0,1724.0,0.6698564593301435,-140.0,8.248803827751196,12.363861678875526
3771,9.380434782608695,1957.0,1390.0,3.217391304347826,7.521739130434782,1561.0,71982.421875,88323.5294117645,708.0,-1191.0,36.3109756097561,3.0,3.0,9896130.0,9.396825396825397,1231.0,-26.09756097560976,856.0,-37.53048780487805,708.0,0.01132201132201135,0.011322011322011348,5.837320574162679,-1220.0,1712.0,1.1674641148325358,-244.0,8.191387559808613,12.44671535234826
3772,9.23913043478261,1972.0,1403.0,3.0543478260869565,7.510869565217391,1562.0,71987.3046875,88323.5294117645,708.0,-1156.0,35.243902439024396,3.0,3.0,9896290.0,9.401709401709402,1218.0,-24.75609756097561,812.0,-37.13414634146342,708.0,0.01132201132201135,0.011322011322011348,5.760765550239234,-1204.0,1704.0,0.5167464114832536,-108.0,8.153110047846889,12.29242585738703
3773,9.206521739130434,1976.0,1406.0,3.010869565217391,7.5978260869565215,1554.0,71992.1875,81899.99999999984,710.0,-1188.0,36.21951219512196,3.0,3.0,9896450.0,9.406593406593407,1195.0,-27.073170731707318,888.0,-36.4329268292683,710.0,0.012210012210012234,0.012210012210012234,5.818181818181818,-1216.0,1684.0,0.8038277511961722,-168.0,8.057416267942584,12.310659581008268
3774,9.065217391304348,1978.0,1419.0,2.9891304347826084,7.510869565217391,1562.0,71997.0703125,95840.42553191462,706.0,-1172.0,35.73170731707317,3.0,3.0,9896610.0,9.411477411477412,1150.0,-28.53658536585366,936.0,-35.0609756097561,706.0,0.010434010434010463,0.010434010434010463,5.760765550239234,-1204.0,1664.0,0.3062200956937799,-64.0,7.961722488038277,12.146037573359443
3775,8.98913043478261,2002.0,1426.0,2.7282608695652173,7.391304347826087,1573.0,72001.953125,88323.5294117645,708.0,-1163.0,35.457317073170735,3.0,3.0,9896770.0,9.416361416361417,1143.0,-29.420731707317074,965.0,-34.84756097560976,708.0,0.01132201132201135,0.011322011322011348,5.722488038277512,-1196.0,1624.0,0.3827751196172249,-80.0,7.770334928229665,11.9532110040829
