,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
4547,1291.0,10.41304347826087,1295.0,10.456521739130434,4.945652173913043,1798.0,36870.1171875,709.0,84990.56603773567,-3386.0,103.23170731707317,3.0,3.0,11.189255189255189,4539253.0,939.0,-58.10975609756098,1906.0,-28.62804878048781,709.0,0.011766011766011792,0.01176601176601179,3.0430622009569377,-636.0,9.09090909090909,1964.0,9.39712918660287,-1900.0,15.563733382013115
4548,1301.0,10.478260869565217,1289.0,10.347826086956522,4.83695652173913,1808.0,36875.0,710.0,81899.99999999984,-3578.0,109.08536585365854,3.0,3.0,11.194139194139193,4539413.0,700.0,-58.8719512195122,1931.0,-21.34146341463415,710.0,0.012210012210012234,0.012210012210012234,3.0239234449760763,-632.0,9.014354066985646,1956.0,9.358851674641148,-1884.0,15.50056785958999
4549,1295.0,10.467391304347826,1290.0,10.41304347826087,4.815217391304348,1810.0,36879.8828125,709.0,84990.56603773567,-3790.0,115.54878048780489,3.0,3.0,11.199023199023198,4539573.0,469.0,-59.93902439024391,1966.0,-14.29878048780488,709.0,0.011766011766011792,0.01176601176601179,2.9665071770334928,-620.0,9.110047846889952,1976.0,9.454545454545455,-1904.0,15.530102180089079
4550,1311.0,10.206521739130434,1314.0,10.239130434782608,4.782608695652174,1813.0,36884.765625,710.0,81899.99999999984,-3884.0,118.41463414634147,3.0,3.0,11.203907203907203,4539733.0,428.0,-63.47560975609757,2082.0,-13.04878048780488,710.0,0.012210012210012234,0.012210012210012234,2.889952153110048,-604.0,8.937799043062201,1880.0,8.995215311004785,-1868.0,15.227810873778324
4551,1323.0,9.597826086956522,1370.0,10.108695652173912,4.5978260869565215,1830.0,36889.6484375,709.0,84990.56603773567,-3809.0,116.12804878048782,3.0,3.0,11.208791208791208,4539893.0,521.0,-64.57317073170732,2118.0,-15.884146341463417,709.0,0.011766011766011792,0.01176601176601179,2.8708133971291865,-600.0,8.669856459330143,1760.0,8.421052631578947,-1812.0,14.678010700011114
4552,1336.0,8.978260869565217,1427.0,9.967391304347826,4.304347826086956,1857.0,36894.53125,705.0,100099.99999999968,-3700.0,112.8048780487805,3.0,3.0,11.213675213675213,4540053.0,757.0,-56.12804878048781,1841.0,-23.07926829268293,705.0,0.009990009990010023,0.009990009990010021,2.5454545454545454,-532.0,8.574162679425838,1596.0,7.636363636363636,-1792.0,14.08848706795354
4553,1305.0,8.771739130434783,1446.0,10.304347826086957,4.043478260869565,1881.0,36899.4140625,710.0,81899.99999999984,-3889.0,118.56707317073172,3.0,3.0,11.218559218559218,4540213.0,825.0,-40.274390243902445,1321.0,-25.152439024390247,710.0,0.012210012210012234,0.012210012210012234,2.5071770334928227,-524.0,9.110047846889952,1568.0,7.502392344497608,-1904.0,14.123480730312501
4554,1256.0,8.92391304347826,1432.0,10.83695652173913,4.304347826086956,1857.0,36904.296875,710.0,81899.99999999984,-4255.0,129.72560975609758,3.0,3.0,11.223443223443223,4540373.0,840.0,-38.62804878048781,1267.0,-25.60975609756098,710.0,0.012210012210012234,0.012210012210012234,2.5454545454545454,-532.0,9.760765550239235,1588.0,7.598086124401914,-2040.0,14.683434913860081
4555,1228.0,8.956521739130434,1429.0,11.141304347826086,4.543478260869565,1835.0,36909.1796875,709.0,84990.56603773567,-4464.0,136.09756097560978,3.0,3.0,11.228327228327228,4540533.0,959.0,-54.63414634146342,1792.0,-29.237804878048784,709.0,0.011766011766011792,0.01176601176601179,2.449760765550239,-512.0,9.971291866028707,1620.0,7.751196172248804,-2084.0,14.999704628471816
4556,1227.0,9.054347826086957,1420.0,11.152173913043478,4.33695652173913,1854.0,36914.0625,710.0,81899.99999999984,-4525.0,137.95731707317074,3.0,3.0,11.233211233211232,4540693.0,1127.0,-65.3658536585366,2144.0,-34.359756097560975,710.0,0.012210012210012234,0.012210012210012234,2.2583732057416266,-472.0,9.818181818181818,1696.0,8.114832535885167,-2052.0,15.005378682792003
4557,1251.0,9.33695652173913,1394.0,10.891304347826086,4.163043478260869,1870.0,36918.9453125,712.0,76347.45762711852,-4607.0,140.45731707317074,3.0,3.0,11.238095238095237,4540853.0,1305.0,-62.34756097560976,2045.0,-39.78658536585366,712.0,0.013098013098013119,0.013098013098013117,2.277511961722488,-476.0,9.473684210526315,1732.0,8.287081339712918,-1980.0,14.937543254756207
4558,1272.0,9.521739130434783,1377.0,10.66304347826087,4.119565217391305,1874.0,36923.828125,710.0,81899.99999999984,-4743.0,144.60365853658539,3.0,3.0,11.242979242979242,4541013.0,1378.0,-55.1829268292683,1810.0,-42.01219512195122,710.0,0.012210012210012234,0.012210012210012234,2.4114832535885165,-504.0,9.224880382775119,1784.0,8.535885167464114,-1928.0,14.877326032176445
4559,1282.0,9.728260869565217,1358.0,10.554347826086957,4.184782608695652,1868.0,36928.7109375,711.0,79026.31578947355,-4895.0,149.2378048780488,3.0,3.0,11.247863247863247,4541173.0,1351.0,-53.04878048780488,1740.0,-41.18902439024391,711.0,0.012654012654012677,0.012654012654012677,2.3923444976076556,-500.0,9.24401913875598,1836.0,8.78468899521531,-1932.0,14.951445517486993
4560,1283.0,9.967391304347826,1336.0,10.543478260869565,4.173913043478261,1869.0,36933.59375,712.0,76347.45762711852,-5056.0,154.14634146341464,3.0,3.0,11.252747252747252,4541333.0,1308.0,-52.59146341463415,1725.0,-39.87804878048781,712.0,0.013098013098013119,0.013098013098013117,2.277511961722488,-476.0,9.282296650717702,1876.0,8.976076555023923,-1940.0,15.097528716513034
4561,1275.0,10.032608695652174,1330.0,10.630434782608695,4.271739130434782,1860.0,36938.4765625,710.0,81899.99999999984,-5210.0,158.84146341463415,3.0,3.0,11.257631257631258,4541493.0,1307.0,-52.37804878048781,1718.0,-39.84756097560976,710.0,0.012210012210012234,0.012210012210012234,2.277511961722488,-476.0,9.263157894736842,1908.0,9.129186602870814,-1936.0,15.228497499945952
4562,1280.0,10.152173913043478,1319.0,10.576086956521738,4.271739130434782,1860.0,36943.359375,714.0,71499.99999999991,-5307.0,161.7987804878049,3.0,3.0,11.262515262515263,4541653.0,1290.0,-52.40853658536586,1719.0,-39.32926829268293,714.0,0.013986013986014003,0.013986013986014003,2.3157894736842106,-484.0,9.224880382775119,1920.0,9.186602870813397,-1928.0,15.269839739534842
4563,1278.0,10.195652173913043,1315.0,10.597826086956522,4.130434782608695,1873.0,36948.2421875,711.0,79026.31578947355,-5364.0,163.53658536585368,3.0,3.0,11.267399267399268,4541813.0,1275.0,-52.19512195121952,1712.0,-38.8719512195122,711.0,0.012654012654012677,0.012654012654012677,2.3157894736842106,-484.0,9.320574162679426,1944.0,9.301435406698564,-1948.0,15.27500351928528
4564,1275.0,10.304347826086957,1305.0,10.630434782608695,4.130434782608695,1873.0,36953.125,713.0,73844.26229508186,-5463.0,166.5548780487805,3.0,3.0,11.272283272283273,4541973.0,1252.0,-51.40243902439025,1686.0,-38.170731707317074,713.0,0.013542013542013561,0.01354201354201356,2.2583732057416266,-472.0,9.282296650717702,1944.0,9.301435406698564,-1940.0,15.370303161670675
4565,1268.0,10.445652173913043,1292.0,10.706521739130434,4.108695652173913,1875.0,36958.0078125,712.0,76347.45762711852,-5591.0,170.45731707317074,3.0,3.0,11.277167277167278,4542133.0,1250.0,-51.21951219512196,1680.0,-38.10975609756098,712.0,0.013098013098013119,0.013098013098013117,2.2200956937799043,-464.0,9.39712918660287,1952.0,9.339712918660286,-1964.0,15.512015892560182
4566,1269.0,10.478260869565217,1289.0,10.695652173913043,4.054347826086956,1880.0,36962.890625,710.0,81899.99999999984,-5728.0,174.63414634146343,3.0,3.0,11.282051282051283,4542293.0,1251.0,-51.85975609756098,1701.0,-38.140243902439025,710.0,0.012210012210012234,0.012210012210012234,2.124401913875598,-444.0,9.454545454545455,1976.0,9.454545454545455,-1976.0,15.512210112388512
4567,1267.0,10.532608695652174,1284.0,10.717391304347826,3.9565217391304346,1889.0,36967.7734375,709.0,84990.56603773567,-5846.0,178.2317073170732,3.0,3.0,11.286935286935288,4542453.0,1262.0,-51.768292682926834,1698.0,-38.47560975609756,709.0,0.011766011766011792,0.01176601176601179,2.0669856459330145,-432.0,9.39712918660287,1968.0,9.416267942583731,-1964.0,15.538738255677321
