,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2811,2281.0,10.130434782608695,1321.0,-0.30434782608695654,-0.32608695652173914,2283.0,19833.984375,81899.99999999984,710.0,107.16463414634147,-3515.0,3.0,3.0,5.714285714285714,15555223.0,49.48170731707317,-157.0,4.786585365853659,-1623.0,0.012210012210012234,710.0,0.012210012210012234,524.0,-2.5071770334928227,-3.215311004784689,1880.0,672.0,8.995215311004785,10.14024995683763
2812,2304.0,10.130434782608695,1321.0,-0.5543478260869565,-0.25,2276.0,19838.8671875,81899.99999999984,710.0,108.29268292682927,-3552.0,3.0,3.0,5.719169719169719,15555383.0,51.89024390243903,-109.0,3.3231707317073176,-1702.0,0.012210012210012234,710.0,0.012210012210012234,484.0,-2.3157894736842106,-3.54066985645933,1844.0,740.0,8.822966507177034,10.1486703758165
2813,2322.0,9.967391304347826,1336.0,-0.75,-0.05434782608695652,2258.0,19843.75,76347.45762711852,712.0,108.96341463414635,-3574.0,3.0,3.0,5.724053724053724,15555543.0,52.6829268292683,-119.0,3.628048780487805,-1728.0,0.013098013098013119,712.0,0.013098013098013117,468.0,-2.2392344497607652,-3.712918660287081,1848.0,776.0,8.842105263157894,9.995716237478385
2814,2335.0,10.032608695652174,1330.0,-0.8913043478260869,-0.010869565217391304,2254.0,19848.6328125,71499.99999999991,714.0,109.45121951219514,-3590.0,3.0,3.0,5.728937728937729,15555703.0,52.804878048780495,-110.0,3.353658536585366,-1732.0,0.013986013986014003,714.0,0.013986013986014003,468.0,-2.2392344497607652,-3.9808612440191387,1852.0,832.0,8.861244019138756,10.072128813114798
2815,2366.0,10.141304347826086,1320.0,-1.2282608695652173,-0.05434782608695652,2258.0,19853.515625,76347.45762711852,712.0,109.23780487804879,-3583.0,3.0,3.0,5.733821733821734,15555863.0,53.963414634146346,-38.0,1.1585365853658538,-1770.0,0.013098013098013119,712.0,0.013098013098013117,472.0,-2.2583732057416266,-4.287081339712919,1880.0,896.0,8.995215311004785,10.215558346225711
2816,2377.0,10.141304347826086,1320.0,-1.3478260869565217,-0.17391304347826086,2269.0,19858.3984375,84990.56603773567,709.0,110.06097560975611,-3610.0,3.0,3.0,5.738705738705739,15556023.0,54.66463414634147,13.0,-0.39634146341463417,-1793.0,0.011766011766011792,709.0,0.01176601176601179,484.0,-2.3157894736842106,-4.363636363636363,1872.0,912.0,8.956937799043061,10.231956547142325
2817,2381.0,10.152173913043478,1319.0,-1.391304347826087,-0.13043478260869565,2265.0,19863.28125,81899.99999999984,710.0,110.97560975609757,-3640.0,3.0,3.0,5.743589743589744,15556183.0,55.518292682926834,36.0,-1.0975609756097562,-1821.0,0.012210012210012234,710.0,0.012210012210012234,476.0,-2.277511961722488,-4.440191387559809,1852.0,928.0,8.861244019138756,10.247896183191674
2818,2387.0,10.16304347826087,1318.0,-1.4565217391304348,-0.14130434782608695,2266.0,19868.1640625,88323.5294117645,708.0,113.38414634146342,-3719.0,3.0,3.0,5.7484737484737485,15556343.0,56.34146341463415,36.0,-1.0975609756097562,-1848.0,0.01132201132201135,708.0,0.011322011322011348,484.0,-2.3157894736842106,-4.440191387559809,1884.0,928.0,9.014354066985646,10.267856409022036
2819,2400.0,10.17391304347826,1317.0,-1.5978260869565217,-0.22826086956521738,2274.0,19873.046875,79026.31578947355,711.0,114.75609756097562,-3764.0,3.0,3.0,5.753357753357753,15556503.0,57.53048780487806,77.0,-2.347560975609756,-1887.0,0.012654012654012677,711.0,0.012654012654012677,504.0,-2.4114832535885165,-4.535885167464115,1888.0,948.0,9.033492822966506,10.301148375059478
2820,2407.0,10.065217391304348,1327.0,-1.6739130434782608,-0.31521739130434784,2282.0,19877.9296875,79026.31578947355,711.0,115.39634146341464,-3785.0,3.0,3.0,5.758241758241758,15556663.0,58.68902439024391,94.0,-2.8658536585365857,-1925.0,0.012654012654012677,711.0,0.012654012654012677,516.0,-2.4688995215311005,-4.765550239234449,1844.0,996.0,8.822966507177034,10.208327385772993
2821,2415.0,9.902173913043478,1342.0,-1.7608695652173914,-0.2826086956521739,2279.0,19882.8125,81899.99999999984,710.0,115.27439024390245,-3781.0,3.0,3.0,5.763125763125763,15556823.0,59.96951219512196,90.0,-2.7439024390243905,-1967.0,0.012210012210012234,710.0,0.012210012210012234,532.0,-2.5454545454545454,-4.784688995215311,1824.0,1000.0,8.727272727272727,10.06148982530549
2822,2423.0,9.771739130434783,1354.0,-1.8478260869565217,-0.34782608695652173,2285.0,19887.6953125,81899.99999999984,710.0,114.60365853658537,-3759.0,3.0,3.0,5.768009768009768,15556983.0,61.463414634146346,98.0,-2.987804878048781,-2016.0,0.012210012210012234,710.0,0.012210012210012234,540.0,-2.5837320574162677,-4.976076555023924,1792.0,1040.0,8.574162679425838,9.950996425869867
2823,2432.0,9.652173913043478,1365.0,-1.9456521739130435,-0.33695652173913043,2284.0,19892.578125,81899.99999999984,710.0,114.20731707317074,-3746.0,3.0,3.0,5.772893772893773,15557143.0,63.56707317073171,158.0,-4.817073170731708,-2085.0,0.012210012210012234,710.0,0.012210012210012234,520.0,-2.488038277511962,-5.052631578947368,1752.0,1056.0,8.382775119617225,9.852084212339648
2824,2438.0,9.5,1379.0,-2.010869565217391,-0.22826086956521738,2274.0,19897.4609375,79026.31578947355,711.0,113.50609756097562,-3723.0,3.0,3.0,5.777777777777778,15557303.0,65.76219512195122,211.0,-6.432926829268293,-2157.0,0.012654012654012677,711.0,0.012654012654012677,488.0,-2.3349282296650715,-5.167464114832535,1712.0,1080.0,8.191387559808613,9.713171440517883
2825,2442.0,9.369565217391305,1391.0,-2.0543478260869565,-0.021739130434782608,2255.0,19902.34375,81899.99999999984,710.0,112.83536585365854,-3701.0,3.0,3.0,5.7826617826617825,15557463.0,67.8658536585366,205.0,-6.250000000000001,-2226.0,0.012210012210012234,710.0,0.012210012210012234,440.0,-2.1052631578947367,-5.186602870813397,1704.0,1084.0,8.153110047846889,9.592161901432295
2826,2444.0,9.26086956521739,1401.0,-2.0760869565217392,0.22826086956521738,2232.0,19907.2265625,79026.31578947355,711.0,112.10365853658537,-3677.0,3.0,3.0,5.787545787545787,15557623.0,69.26829268292684,163.0,-4.969512195121951,-2272.0,0.012654012654012677,711.0,0.012654012654012677,388.0,-1.8564593301435406,-5.186602870813397,1684.0,1084.0,8.057416267942584,9.493468553673315
2827,2445.0,9.26086956521739,1401.0,-2.0869565217391304,0.45652173913043476,2211.0,19912.109375,81899.99999999984,710.0,111.00609756097562,-3641.0,3.0,3.0,5.792429792429792,15557783.0,69.72560975609757,106.0,-3.231707317073171,-2287.0,0.012210012210012234,710.0,0.012210012210012234,352.0,-1.6842105263157894,-5.167464114832535,1676.0,1080.0,8.019138755980862,9.504078320694644
2828,2454.0,9.26086956521739,1401.0,-2.1847826086956523,0.6413043478260869,2194.0,19916.9921875,76347.45762711852,712.0,109.78658536585367,-3601.0,3.0,3.0,5.797313797313797,15557943.0,69.48170731707317,55.0,-1.676829268292683,-2279.0,0.013098013098013119,712.0,0.013098013098013117,320.0,-1.5311004784688995,-5.320574162679426,1700.0,1112.0,8.133971291866029,9.536679265749129
